act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#Buckingham_2H6,6,1,547,79
1,1,1,#CardinalBeaufort_1H6,48,7,547,79
1,1,1,#Gloucester_2H4,104,14,547,79
1,1,1,#HenryVI_1H6,190,28,547,79
1,1,1,#QueenMargaret_1H6,63,9,547,79
1,1,1,#Salisbury_2H6,6,1,547,79
1,1,1,#Somerset_1H6,6,1,547,79
1,1,1,#Suffolk_1H6,154,23,547,79
1,1,1,#Warwick_2H6,6,1,547,79
1,1,1,#York_1H6,6,1,547,79
1,1,2,#CardinalBeaufort_1H6,39,5,537,74
1,1,2,#Gloucester_2H4,351,49,537,74
1,1,2,#Salisbury_2H6,24,3,537,74
1,1,2,#Warwick_2H6,58,9,537,74
1,1,2,#York_1H6,65,8,537,74
1,1,3,#Buckingham_2H6,38,5,191,26
1,1,3,#CardinalBeaufort_1H6,153,21,191,26
1,1,4,#Buckingham_2H6,14,2,56,8
1,1,4,#Somerset_1H6,42,6,56,8
1,1,5,#Salisbury_2H6,198,26,268,35
1,1,5,#Warwick_2H6,61,7,268,35
1,1,5,#York_1H6,9,2,268,35
1,1,6,#York_1H6,377,49,377,49
1,2,7,#DuchessOfGloucester_2H6,246,32,435,57
1,2,7,#Gloucester_2H4,189,25,435,57
1,2,8,#DuchessOfGloucester_2H6,7,1,40,5
1,2,8,#Gloucester_2H4,9,1,40,5
1,2,8,#MESSENGERS.X.1_2H6,24,3,40,5
1,2,9,#DuchessOfGloucester_2H6,75,9,75,9
1,2,10,#DuchessOfGloucester_2H6,75,11,125,18
1,2,10,#Hume_2H6,50,7,125,18
1,2,11,#Hume_2H6,173,21,173,21
1,3,12,#PETITIONERS.0.1_2H6,25,3,25,3
1,3,13,#PETITIONERS.0.2_2H6,13,2,13,2
1,3,14,#PETITIONERS.0.1_2H6,53,8,185,30
1,3,14,#PETITIONERS.0.2_2H6,26,4,185,30
1,3,14,#QueenMargaret_1H6,33,5,185,30
1,3,14,#Suffolk_1H6,36,7,185,30
1,3,14,#Thump_2H6,37,6,185,30
1,3,15,#Suffolk_1H6,22,3,22,3
1,3,16,#PETITIONERS_2H6,4,1,35,5
1,3,16,#QueenMargaret_1H6,31,4,35,5
1,3,17,#QueenMargaret_1H6,313,41,468,60
1,3,17,#Suffolk_1H6,155,19,468,60
1,3,18,#Buckingham_2H6,26,4,281,37
1,3,18,#CardinalBeaufort_1H6,21,3,281,37
1,3,18,#Gloucester_2H4,31,4,281,37
1,3,18,#HenryVI_1H6,17,2,281,37
1,3,18,#QueenMargaret_1H6,48,6,281,37
1,3,18,#Salisbury_2H6,14,2,281,37
1,3,18,#Somerset_1H6,30,4,281,37
1,3,18,#Suffolk_1H6,47,6,281,37
1,3,18,#Warwick_2H6,32,4,281,37
1,3,18,#York_1H6,15,2,281,37
1,3,19,#DuchessOfGloucester_2H6,61,7,86,11
1,3,19,#HenryVI_1H6,8,1,86,11
1,3,19,#QueenMargaret_1H6,17,3,86,11
1,3,20,#Buckingham_2H6,28,4,28,4
1,3,21,#Gloucester_2H4,78,10,188,25
1,3,21,#Suffolk_1H6,26,4,188,25
1,3,21,#Warwick_2H6,24,3,188,25
1,3,21,#York_1H6,60,8,188,25
1,3,22,#Gloucester_2H4,61,8,364,46
1,3,22,#HenryVI_1H6,49,7,364,46
1,3,22,#Horner_2H6,93,11,364,46
1,3,22,#Somerset_1H6,6,1,364,46
1,3,22,#Suffolk_1H6,55,7,364,46
1,3,22,#Thump_2H6,64,7,364,46
1,3,22,#York_1H6,36,5,364,46
1,4,23,#Bolingbroke_2H6,57,8,78,11
1,4,23,#Hume_2H6,21,3,78,11
1,4,24,#Bolingbroke_2H6,20,3,20,3
1,4,25,#Bolingbroke_2H6,71,8,85,10
1,4,25,#DuchessOfGloucester_2H6,14,2,85,10
1,4,26,#Bolingbroke_2H6,33,5,121,18
1,4,26,#Jourdain_2H6,27,4,121,18
1,4,26,#Spirit_2H6,61,9,121,18
1,4,27,#Buckingham_2H6,31,4,97,14
1,4,27,#DuchessOfGloucester_2H6,16,2,97,14
1,4,27,#York_1H6,50,8,97,14
1,4,28,#Buckingham_2H6,9,2,9,2
1,4,29,#Buckingham_2H6,19,2,172,25
1,4,29,#York_1H6,153,23,172,25
1,4,30,#York_1H6,4,1,4,1
1,4,31,#York_1H6,14,2,14,2
2,1,32,#CardinalBeaufort_1H6,116,18,450,65
2,1,32,#Gloucester_2H4,131,20,450,65
2,1,32,#HenryVI_1H6,103,14,450,65
2,1,32,#QueenMargaret_1H6,40,5,450,65
2,1,32,#Suffolk_1H6,60,8,450,65
2,1,33,#CITIZENS.STALBANS.0.1_2H6,29,4,63,9
2,1,33,#Gloucester_2H4,10,2,63,9
2,1,33,#HenryVI_1H6,15,2,63,9
