node1,node2,n_lines,n_tokens
#Clifford_3H6,1.01,281,2187
#EdwardIV_3H6,1.01,281,2187
#Exeter_3H6,1.01,281,2187
#HenryVI_1H6,1.01,281,2187
#Montague_3H6,1.01,281,2187
#Norfolk_3H6,1.01,281,2187
#Northumberland_3H6,1.01,281,2187
#PrinceEdward_3H6,1.01,281,2187
#QueenMargaret_1H6,1.01,281,2187
#RichardIII_R3,1.01,281,2187
#SOLDIERS.LANCASTER_3H6,1.01,281,2187
#SOLDIERS.YORK_3H6,1.01,281,2187
#Warwick_2H6,1.01,281,2187
#Westmorland_3H6,1.01,281,2187
#York_1H6,1.01,281,2187
#EdwardIV_3H6,1.02,76,595
#HughMortimer_3H6,1.02,76,595
#JohnMortimer_3H6,1.02,76,595
#MESSENGERS.X.1_3H6,1.02,76,595
#Montague_3H6,1.02,76,595
#RichardIII_R3,1.02,76,595
#York_1H6,1.02,76,595
#Clifford_3H6,1.03,53,409
#Rutland_3H6,1.03,53,409
#SOLDIERS.LANCASTER_3H6,1.03,53,409
#Tutor_3H6,1.03,53,409
#Clifford_3H6,1.04,186,1469
#Northumberland_3H6,1.04,186,1469
#PrinceEdward_3H6,1.04,186,1469
#QueenMargaret_1H6,1.04,186,1469
#SOLDIERS.LANCASTER_3H6,1.04,186,1469
#York_1H6,1.04,186,1469
#EdwardIV_3H6,2.01,211,1671
#MESSENGERS.X.2_3H6,2.01,211,1671
#MESSENGERS.X.3_3H6,2.01,211,1671
#Montague_3H6,2.01,211,1671
#RichardIII_R3,2.01,211,1671
#SOLDIERS.WARWICK_3H6,2.01,211,1671
#SOLDIERS.YORK_3H6,2.01,211,1671
#Warwick_2H6,2.01,211,1671
#Clarence_3H6,2.02,181,1406
#Clifford_3H6,2.02,181,1406
#EdwardIV_3H6,2.02,181,1406
#HenryVI_1H6,2.02,181,1406
#MESSENGERS.X.4_3H6,2.02,181,1406
#Montague_3H6,2.02,181,1406
#Norfolk_3H6,2.02,181,1406
#Northumberland_3H6,2.02,181,1406
#PrinceEdward_3H6,2.02,181,1406
#QueenMargaret_1H6,2.02,181,1406
#RichardIII_R3,2.02,181,1406
#SOLDIERS.YORK_3H6,2.02,181,1406
#Warwick_2H6,2.02,181,1406
