node,node_type
#ALDERMEN_3H6,character
#ATTENDANTS.EDWARD.1_3H6,character
#ATTENDANTS.EDWARD_3H6,character
#Bourbon_3H6,character
#Clarence_3H6,character
#Clifford_3H6,character
#EdwardIV_3H6,character
#EdwardV.Infant_3H6,character
#Exeter_3H6,character
#Father_3H6,character
#GAMEKEEPERS.1_3H6,character
#GAMEKEEPERS.2_3H6,character
#Hastings_3H6,character
#HenryVII_R3,character
#HenryVI_1H6,character
#HughMortimer_3H6,character
#Huntsman_3H6,character
#JohnMortimer_3H6,character
#KingLewis_3H6,character
#LadyBona_3H6,character
#Lieutenant_3H6,character
#MESSENGERS.1_3H6,character
#MESSENGERS.2_3H6,character
#MESSENGERS.Post_3H6,character
#MESSENGERS.X.1_3H6,character
#MESSENGERS.X.2_3H6,character
#MESSENGERS.X.3_3H6,character
#MESSENGERS.X.4_3H6,character
#MESSENGERS.X.5_3H6,character
#MayorOfCoventry_3H6,character
#MayorOfYork_3H6,character
#Montague_3H6,character
#Montgomery_3H6,character
#Norfolk_3H6,character
#Northumberland_3H6,character
#Nurse_3H6,character
#Oxford_3H6,character
#Pembroke_3H6,character
#PrinceEdward_3H6,character
#QueenElizabeth_3H6,character
#QueenMargaret_1H6,character
#RichardIII_R3,character
#Rivers_3H6,character
#Rutland_3H6,character
#SOLDIERS.CLARENCE_3H6,character
#SOLDIERS.FRENCH_3H6,character
#SOLDIERS.LANCASTER_3H6,character
#SOLDIERS.MONTAGUE_3H6,character
#SOLDIERS.MONTGOMERY_3H6,character
#SOLDIERS.OXFORD_3H6,character
#SOLDIERS.SOMERSET_3H6,character
#SOLDIERS.WARWICK_3H6,character
#SOLDIERS.YORK.0.1_3H6,character
#SOLDIERS.YORK.0.2_3H6,character
#SOLDIERS.YORK_3H6,character
#Somerset_3H6,character
#Somerville_3H6,character
#Son_3H6,character
#Stafford_3H6,character
#Stanley_3H6,character
#Tutor_3H6,character
#WATCHMEN.1_3H6,character
#WATCHMEN.2_3H6,character
#WATCHMEN.3_3H6,character
#Warwick_2H6,character
#Westmorland_3H6,character
#York_1H6,character
1.01,text_unit
1.02,text_unit
1.03,text_unit
1.04,text_unit
2.01,text_unit
2.02,text_unit
2.03,text_unit
2.04,text_unit
2.05,text_unit
2.06,text_unit
3.01,text_unit
3.02,text_unit
3.03,text_unit
4.01,text_unit
4.02,text_unit
4.03,text_unit
4.04,text_unit
4.05,text_unit
4.06,text_unit
4.07,text_unit
4.08,text_unit
5.01,text_unit
5.02,text_unit
5.03,text_unit
5.04,text_unit
5.05,text_unit
5.06,text_unit
5.07,text_unit
