node1,node2,n_lines,n_tokens
#Prologue_H8,0.00,32,266
#Abergavenny_H8,1.01,269,1848
#Brandon_H8,1.01,269,1848
#Buckingham_H8,1.01,269,1848
#GUARDS_H8,1.01,269,1848
#Norfolk_H8,1.01,269,1848
#SECRETARIES.0.1_H8,1.01,269,1848
#SECRETARIES_H8,1.01,269,1848
#Sergeant_H8,1.01,269,1848
#Wolsey_H8,1.01,269,1848
#ATTENDANTS_H8,1.02,247,1725
#HenryVIII_H8,1.02,247,1725
#Katherine_H8,1.02,247,1725
#Lovell_H8,1.02,247,1725
#NOBLES_H8,1.02,247,1725
#Norfolk_H8,1.02,247,1725
#SECRETARIES.X.1_H8,1.02,247,1725
#Suffolk_H8,1.02,247,1725
#Surveyor_H8,1.02,247,1725
#Wolsey_H8,1.02,247,1725
#Chamberlain_H8,1.03,84,574
#Lovell_H8,1.03,84,574
#Sands_H8,1.03,84,574
#ATTENDANTS_H8,1.04,144,924
#Anne_H8,1.04,144,924
#Chamberlain_H8,1.04,144,924
#GENTLEMEN_H8,1.04,144,924
#Guilford_H8,1.04,144,924
#HenryVIII_H8,1.04,144,924
#LADIES_H8,1.04,144,924
#Lovell_H8,1.04,144,924
#MASKERS_H8,1.04,144,924
#SERVANTS.X.1_H8,1.04,144,924
#SERVANTS_H8,1.04,144,924
#Sands_H8,1.04,144,924
#Wolsey_H8,1.04,144,924
#Buckingham_H8,2.01,197,1426
#COMMONERS_H8,2.01,197,1426
#GENTLEMEN.1_H8,2.01,197,1426
#GENTLEMEN.2_H8,2.01,197,1426
#GUARDS_H8,2.01,197,1426
#Lovell_H8,2.01,197,1426
#Sands_H8,2.01,197,1426
#Vaux_H8,2.01,197,1426
#Campeius_H8,2.02,169,1194
#Chamberlain_H8,2.02,169,1194
#Gardiner_H8,2.02,169,1194
#HenryVIII_H8,2.02,169,1194
#Norfolk_H8,2.02,169,1194
#Suffolk_H8,2.02,169,1194
#Wolsey_H8,2.02,169,1194
#Anne_H8,2.03,129,886
#Chamberlain_H8,2.03,129,886
#OldLady_H8,2.03,129,886
#ATTENDANTS_H8,2.04,266,1918
#BISHOPS_H8,2.04,266,1918
#BishopOfLincoln_H8,2.04,266,1918
#Campeius_H8,2.04,266,1918
#Crier_H8,2.04,266,1918
#HenryVIII_H8,2.04,266,1918
#Katherine_H8,2.04,266,1918
#LORDS_H8,2.04,266,1918
#Scribe_H8,2.04,266,1918
#Usher_H8,2.04,266,1918
#Wolsey_H8,2.04,266,1918
#Campeius_H8,3.01,203,1512
#GENTLEMEN.X_H8,3.01,203,1512
#Katherine_H8,3.01,203,1512
#LADIES.KATHERINE.0.1_H8,3.01,203,1512
#LADIES.KATHERINE_H8,3.01,203,1512
#Wolsey_H8,3.01,203,1512
#ATTENDANTS_H8,3.02,540,3801
#Chamberlain_H8,3.02,540,3801
#Cromwell_H8,3.02,540,3801
#HenryVIII_H8,3.02,540,3801
#Lovell_H8,3.02,540,3801
#Norfolk_H8,3.02,540,3801
#Suffolk_H8,3.02,540,3801
#Surrey_H8,3.02,540,3801
#Wolsey_H8,3.02,540,3801
#GENTLEMEN.1_H8,4.01,143,983
#GENTLEMEN.2_H8,4.01,143,983
#GENTLEMEN.3_H8,4.01,143,983
#Capuchius_H8,4.02,195,1427
#Griffith_H8,4.02,195,1427
#Katherine_H8,4.02,195,1427
#LADIES.KATHERINE.Patience_H8,4.02,195,1427
#Messenger_H8,4.02,195,1427
#Cranmer_H8,5.01,216,1482
#Denny_H8,5.01,216,1482
#Gardiner_H8,5.01,216,1482
#HenryVIII_H8,5.01,216,1482
#Lovell_H8,5.01,216,1482
#OldLady_H8,5.01,216,1482
#Page_H8,5.01,216,1482
#Suffolk_H8,5.01,216,1482
#Butts_H8,5.02,258,1818
#Chamberlain_H8,5.02,258,1818
#Chancellor_H8,5.02,258,1818
#Cranmer_H8,5.02,258,1818
#Cromwell_H8,5.02,258,1818
#GUARDS_H8,5.02,258,1818
#Gardiner_H8,5.02,258,1818
#HenryVIII_H8,5.02,258,1818
#Keeper_H8,5.02,258,1818
#Norfolk_H8,5.02,258,1818
#SERVANTS_H8,5.02,258,1818
#Suffolk_H8,5.02,258,1818
#Surrey_H8,5.02,258,1818
#Chamberlain_H8,5.03,97,795
#Porter_H8,5.03,97,795
#SERVANTS.LARDER.1_H8,5.03,97,795
#SERVANTS.PORTER.1_H8,5.03,97,795
#ALDERMEN_H8,5.04,86,649
#Cranmer_H8,5.04,86,649
#ElizabethI.Infant_H8,5.04,86,649
#GUARDS_H8,5.04,86,649
#Garter_H8,5.04,86,649
#HenryVIII_H8,5.04,86,649
#LADIES_H8,5.04,86,649
#LORDS_H8,5.04,86,649
#LordMayor_H8,5.04,86,649
#Norfolk_H8,5.04,86,649
#Suffolk_H8,5.04,86,649
#Epilogue_H8,6.00,14,123
