source,target,key,n_lines,n_tokens,edge_index,edge_type
#Flavius_JC,1.01.0001,0,5,37,1,active
1.01.0001,#COMMONERS.Carpenter_JC,0,5,37,1,passive
1.01.0001,#COMMONERS.Cobbler_JC,0,5,37,1,passive
1.01.0001,#COMMONERS_JC,0,5,37,1,passive
1.01.0001,#Marullus_JC,0,5,37,1,passive
#COMMONERS.Carpenter_JC,1.01.0001,0,1,4,2,active
1.01.0001,#COMMONERS.Cobbler_JC,1,1,4,2,passive
1.01.0001,#COMMONERS_JC,1,1,4,2,passive
1.01.0001,#Flavius_JC,0,1,4,2,passive
1.01.0001,#Marullus_JC,1,1,4,2,passive
#Marullus_JC,1.01.0001,0,3,22,3,active
1.01.0001,#COMMONERS.Carpenter_JC,1,3,22,3,passive
1.01.0001,#COMMONERS.Cobbler_JC,2,3,22,3,passive
1.01.0001,#COMMONERS_JC,2,3,22,3,passive
1.01.0001,#Flavius_JC,1,3,22,3,passive
#COMMONERS.Cobbler_JC,1.01.0001,0,2,17,4,active
1.01.0001,#COMMONERS.Carpenter_JC,2,2,17,4,passive
1.01.0001,#COMMONERS_JC,3,2,17,4,passive
1.01.0001,#Flavius_JC,2,2,17,4,passive
1.01.0001,#Marullus_JC,2,2,17,4,passive
#Marullus_JC,1.01.0001,1,1,8,5,active
1.01.0001,#COMMONERS.Carpenter_JC,3,1,8,5,passive
1.01.0001,#COMMONERS.Cobbler_JC,3,1,8,5,passive
1.01.0001,#COMMONERS_JC,4,1,8,5,passive
1.01.0001,#Flavius_JC,3,1,8,5,passive
#COMMONERS.Cobbler_JC,1.01.0001,1,3,22,6,active
1.01.0001,#COMMONERS.Carpenter_JC,4,3,22,6,passive
1.01.0001,#COMMONERS_JC,5,3,22,6,passive
1.01.0001,#Flavius_JC,4,3,22,6,passive
1.01.0001,#Marullus_JC,3,3,22,6,passive
#Flavius_JC,1.01.0001,1,2,9,7,active
1.01.0001,#COMMONERS.Carpenter_JC,5,2,9,7,passive
1.01.0001,#COMMONERS.Cobbler_JC,4,2,9,7,passive
1.01.0001,#COMMONERS_JC,6,2,9,7,passive
1.01.0001,#Marullus_JC,4,2,9,7,passive
#COMMONERS.Cobbler_JC,1.01.0001,2,2,20,8,active
1.01.0001,#COMMONERS.Carpenter_JC,6,2,20,8,passive
1.01.0001,#COMMONERS_JC,7,2,20,8,passive
1.01.0001,#Flavius_JC,5,2,20,8,passive
1.01.0001,#Marullus_JC,5,2,20,8,passive
#Marullus_JC,1.01.0001,2,2,10,9,active
1.01.0001,#COMMONERS.Carpenter_JC,7,2,10,9,passive
1.01.0001,#COMMONERS.Cobbler_JC,5,2,10,9,passive
1.01.0001,#COMMONERS_JC,8,2,10,9,passive
1.01.0001,#Flavius_JC,6,2,10,9,passive
#COMMONERS.Cobbler_JC,1.01.0001,3,1,4,10,active
1.01.0001,#COMMONERS.Carpenter_JC,8,1,4,10,passive
1.01.0001,#COMMONERS_JC,9,1,4,10,passive
1.01.0001,#Flavius_JC,7,1,4,10,passive
1.01.0001,#Marullus_JC,6,1,4,10,passive
#Flavius_JC,1.01.0001,2,1,6,11,active
1.01.0001,#COMMONERS.Carpenter_JC,9,1,6,11,passive
1.01.0001,#COMMONERS.Cobbler_JC,6,1,6,11,passive
1.01.0001,#COMMONERS_JC,10,1,6,11,passive
1.01.0001,#Marullus_JC,7,1,6,11,passive
#COMMONERS.Cobbler_JC,1.01.0001,4,6,54,12,active
1.01.0001,#COMMONERS.Carpenter_JC,10,6,54,12,passive
1.01.0001,#COMMONERS_JC,11,6,54,12,passive
1.01.0001,#Flavius_JC,8,6,54,12,passive
1.01.0001,#Marullus_JC,8,6,54,12,passive
#Flavius_JC,1.01.0001,3,2,17,13,active
1.01.0001,#COMMONERS.Carpenter_JC,11,2,17,13,passive
1.01.0001,#COMMONERS.Cobbler_JC,7,2,17,13,passive
1.01.0001,#COMMONERS_JC,12,2,17,13,passive
1.01.0001,#Marullus_JC,9,2,17,13,passive
#COMMONERS.Cobbler_JC,1.01.0001,5,4,28,14,active
1.01.0001,#COMMONERS.Carpenter_JC,12,4,28,14,passive
1.01.0001,#COMMONERS_JC,13,4,28,14,passive
1.01.0001,#Flavius_JC,9,4,28,14,passive
1.01.0001,#Marullus_JC,10,4,28,14,passive
#Marullus_JC,1.01.0001,3,25,179,15,active
1.01.0001,#COMMONERS.Carpenter_JC,13,25,179,15,passive
1.01.0001,#COMMONERS.Cobbler_JC,8,25,179,15,passive
1.01.0001,#COMMONERS_JC,14,25,179,15,passive
1.01.0001,#Flavius_JC,10,25,179,15,passive
#Flavius_JC,1.01.0001,4,5,40,16,active
1.01.0001,#COMMONERS.Carpenter_JC,14,5,40,16,passive
1.01.0001,#COMMONERS.Cobbler_JC,9,5,40,16,passive
1.01.0001,#COMMONERS_JC,15,5,40,16,passive
1.01.0001,#Marullus_JC,11,5,40,16,passive
#Flavius_JC,1.01.0002,0,5,37,17,active
1.01.0002,#Marullus_JC,0,5,37,17,passive
#Marullus_JC,1.01.0002,0,2,12,18,active
1.01.0002,#Flavius_JC,0,2,12,18,passive
#Flavius_JC,1.01.0002,1,8,61,19,active
1.01.0002,#Marullus_JC,1,8,61,19,passive
#Caesar_JC,1.02.0003,0,1,1,20,active
1.02.0003,#Antony_JC,0,1,1,20,passive
1.02.0003,#Brutus_JC,0,1,1,20,passive
1.02.0003,#COMMONERS_JC,0,1,1,20,passive
1.02.0003,#Calphurnia_JC,0,1,1,20,passive
1.02.0003,#Casca_JC,0,1,1,20,passive
1.02.0003,#Cassius_JC,0,1,1,20,passive
1.02.0003,#Cicero_JC,0,1,1,20,passive
1.02.0003,#Decius_JC,0,1,1,20,passive
1.02.0003,#Flavius_JC,0,1,1,20,passive
1.02.0003,#Marullus_JC,0,1,1,20,passive
1.02.0003,#Portia_JC,0,1,1,20,passive
1.02.0003,#Soothsayer_JC,0,1,1,20,passive
#Casca_JC,1.02.0003,0,1,4,21,active
1.02.0003,#Antony_JC,1,1,4,21,passive
1.02.0003,#Brutus_JC,1,1,4,21,passive
1.02.0003,#COMMONERS_JC,1,1,4,21,passive
1.02.0003,#Caesar_JC,0,1,4,21,passive
1.02.0003,#Calphurnia_JC,1,1,4,21,passive
1.02.0003,#Cassius_JC,1,1,4,21,passive
1.02.0003,#Cicero_JC,1,1,4,21,passive
1.02.0003,#Decius_JC,1,1,4,21,passive
1.02.0003,#Flavius_JC,1,1,4,21,passive
1.02.0003,#Marullus_JC,1,1,4,21,passive
1.02.0003,#Portia_JC,1,1,4,21,passive
1.02.0003,#Soothsayer_JC,1,1,4,21,passive
#Caesar_JC,1.02.0003,1,1,1,22,active
1.02.0003,#Antony_JC,2,1,1,22,passive
1.02.0003,#Brutus_JC,2,1,1,22,passive
1.02.0003,#COMMONERS_JC,2,1,1,22,passive
1.02.0003,#Calphurnia_JC,2,1,1,22,passive
1.02.0003,#Casca_JC,1,1,1,22,passive
1.02.0003,#Cassius_JC,2,1,1,22,passive
1.02.0003,#Cicero_JC,2,1,1,22,passive
1.02.0003,#Decius_JC,2,1,1,22,passive
1.02.0003,#Flavius_JC,2,1,1,22,passive
1.02.0003,#Marullus_JC,2,1,1,22,passive
1.02.0003,#Portia_JC,2,1,1,22,passive
1.02.0003,#Soothsayer_JC,2,1,1,22,passive
#Calphurnia_JC,1.02.0003,0,1,3,23,active
1.02.0003,#Antony_JC,3,1,3,23,passive
1.02.0003,#Brutus_JC,3,1,3,23,passive
1.02.0003,#COMMONERS_JC,3,1,3,23,passive
1.02.0003,#Caesar_JC,1,1,3,23,passive
1.02.0003,#Casca_JC,2,1,3,23,passive
1.02.0003,#Cassius_JC,3,1,3,23,passive
1.02.0003,#Cicero_JC,3,1,3,23,passive
1.02.0003,#Decius_JC,3,1,3,23,passive
1.02.0003,#Flavius_JC,3,1,3,23,passive
1.02.0003,#Marullus_JC,3,1,3,23,passive
1.02.0003,#Portia_JC,3,1,3,23,passive
1.02.0003,#Soothsayer_JC,3,1,3,23,passive
#Caesar_JC,1.02.0003,2,2,13,24,active
1.02.0003,#Antony_JC,4,2,13,24,passive
1.02.0003,#Brutus_JC,4,2,13,24,passive
1.02.0003,#COMMONERS_JC,4,2,13,24,passive
1.02.0003,#Calphurnia_JC,3,2,13,24,passive
1.02.0003,#Casca_JC,3,2,13,24,passive
1.02.0003,#Cassius_JC,4,2,13,24,passive
1.02.0003,#Cicero_JC,4,2,13,24,passive
1.02.0003,#Decius_JC,4,2,13,24,passive
1.02.0003,#Flavius_JC,4,2,13,24,passive
1.02.0003,#Marullus_JC,4,2,13,24,passive
1.02.0003,#Portia_JC,4,2,13,24,passive
1.02.0003,#Soothsayer_JC,4,2,13,24,passive
#Antony_JC,1.02.0003,0,1,3,25,active
1.02.0003,#Brutus_JC,5,1,3,25,passive
1.02.0003,#COMMONERS_JC,5,1,3,25,passive
1.02.0003,#Caesar_JC,2,1,3,25,passive
1.02.0003,#Calphurnia_JC,4,1,3,25,passive
1.02.0003,#Casca_JC,4,1,3,25,passive
1.02.0003,#Cassius_JC,5,1,3,25,passive
1.02.0003,#Cicero_JC,5,1,3,25,passive
1.02.0003,#Decius_JC,5,1,3,25,passive
1.02.0003,#Flavius_JC,5,1,3,25,passive
1.02.0003,#Marullus_JC,5,1,3,25,passive
1.02.0003,#Portia_JC,5,1,3,25,passive
1.02.0003,#Soothsayer_JC,5,1,3,25,passive
#Caesar_JC,1.02.0003,3,4,25,26,active
1.02.0003,#Antony_JC,5,4,25,26,passive
1.02.0003,#Brutus_JC,6,4,25,26,passive
1.02.0003,#COMMONERS_JC,6,4,25,26,passive
1.02.0003,#Calphurnia_JC,5,4,25,26,passive
1.02.0003,#Casca_JC,5,4,25,26,passive
1.02.0003,#Cassius_JC,6,4,25,26,passive
1.02.0003,#Cicero_JC,6,4,25,26,passive
1.02.0003,#Decius_JC,6,4,25,26,passive
1.02.0003,#Flavius_JC,6,4,25,26,passive
1.02.0003,#Marullus_JC,6,4,25,26,passive
1.02.0003,#Portia_JC,6,4,25,26,passive
1.02.0003,#Soothsayer_JC,6,4,25,26,passive
#Antony_JC,1.02.0003,1,2,11,27,active
1.02.0003,#Brutus_JC,7,2,11,27,passive
1.02.0003,#COMMONERS_JC,7,2,11,27,passive
1.02.0003,#Caesar_JC,3,2,11,27,passive
1.02.0003,#Calphurnia_JC,6,2,11,27,passive
1.02.0003,#Casca_JC,6,2,11,27,passive
1.02.0003,#Cassius_JC,7,2,11,27,passive
1.02.0003,#Cicero_JC,7,2,11,27,passive
1.02.0003,#Decius_JC,7,2,11,27,passive
1.02.0003,#Flavius_JC,7,2,11,27,passive
1.02.0003,#Marullus_JC,7,2,11,27,passive
1.02.0003,#Portia_JC,7,2,11,27,passive
1.02.0003,#Soothsayer_JC,7,2,11,27,passive
#Caesar_JC,1.02.0003,4,1,7,28,active
1.02.0003,#Antony_JC,6,1,7,28,passive
1.02.0003,#Brutus_JC,8,1,7,28,passive
1.02.0003,#COMMONERS_JC,8,1,7,28,passive
1.02.0003,#Calphurnia_JC,7,1,7,28,passive
1.02.0003,#Casca_JC,7,1,7,28,passive
1.02.0003,#Cassius_JC,8,1,7,28,passive
1.02.0003,#Cicero_JC,8,1,7,28,passive
1.02.0003,#Decius_JC,8,1,7,28,passive
1.02.0003,#Flavius_JC,8,1,7,28,passive
1.02.0003,#Marullus_JC,8,1,7,28,passive
1.02.0003,#Portia_JC,8,1,7,28,passive
1.02.0003,#Soothsayer_JC,8,1,7,28,passive
#Soothsayer_JC,1.02.0003,0,1,1,29,active
1.02.0003,#Antony_JC,7,1,1,29,passive
1.02.0003,#Brutus_JC,9,1,1,29,passive
1.02.0003,#COMMONERS_JC,9,1,1,29,passive
1.02.0003,#Caesar_JC,4,1,1,29,passive
1.02.0003,#Calphurnia_JC,8,1,1,29,passive
1.02.0003,#Casca_JC,8,1,1,29,passive
1.02.0003,#Cassius_JC,9,1,1,29,passive
1.02.0003,#Cicero_JC,9,1,1,29,passive
1.02.0003,#Decius_JC,9,1,1,29,passive
1.02.0003,#Flavius_JC,9,1,1,29,passive
1.02.0003,#Marullus_JC,9,1,1,29,passive
1.02.0003,#Portia_JC,9,1,1,29,passive
#Caesar_JC,1.02.0003,5,1,3,30,active
1.02.0003,#Antony_JC,8,1,3,30,passive
1.02.0003,#Brutus_JC,10,1,3,30,passive
1.02.0003,#COMMONERS_JC,10,1,3,30,passive
1.02.0003,#Calphurnia_JC,9,1,3,30,passive
1.02.0003,#Casca_JC,9,1,3,30,passive
1.02.0003,#Cassius_JC,10,1,3,30,passive
1.02.0003,#Cicero_JC,10,1,3,30,passive
1.02.0003,#Decius_JC,10,1,3,30,passive
1.02.0003,#Flavius_JC,10,1,3,30,passive
1.02.0003,#Marullus_JC,10,1,3,30,passive
1.02.0003,#Portia_JC,10,1,3,30,passive
1.02.0003,#Soothsayer_JC,9,1,3,30,passive
#Casca_JC,1.02.0003,1,1,8,31,active
1.02.0003,#Antony_JC,9,1,8,31,passive
1.02.0003,#Brutus_JC,11,1,8,31,passive
1.02.0003,#COMMONERS_JC,11,1,8,31,passive
1.02.0003,#Caesar_JC,5,1,8,31,passive
1.02.0003,#Calphurnia_JC,10,1,8,31,passive
1.02.0003,#Cassius_JC,11,1,8,31,passive
1.02.0003,#Cicero_JC,11,1,8,31,passive
1.02.0003,#Decius_JC,11,1,8,31,passive
1.02.0003,#Flavius_JC,11,1,8,31,passive
1.02.0003,#Marullus_JC,11,1,8,31,passive
1.02.0003,#Portia_JC,11,1,8,31,passive
1.02.0003,#Soothsayer_JC,10,1,8,31,passive
#Caesar_JC,1.02.0003,6,3,27,32,active
1.02.0003,#Antony_JC,10,3,27,32,passive
1.02.0003,#Brutus_JC,12,3,27,32,passive
1.02.0003,#COMMONERS_JC,12,3,27,32,passive
1.02.0003,#Calphurnia_JC,11,3,27,32,passive
1.02.0003,#Casca_JC,10,3,27,32,passive
1.02.0003,#Cassius_JC,12,3,27,32,passive
1.02.0003,#Cicero_JC,12,3,27,32,passive
1.02.0003,#Decius_JC,12,3,27,32,passive
1.02.0003,#Flavius_JC,12,3,27,32,passive
1.02.0003,#Marullus_JC,12,3,27,32,passive
1.02.0003,#Portia_JC,12,3,27,32,passive
1.02.0003,#Soothsayer_JC,11,3,27,32,passive
#Soothsayer_JC,1.02.0003,1,1,5,33,active
1.02.0003,#Antony_JC,11,1,5,33,passive
1.02.0003,#Brutus_JC,13,1,5,33,passive
1.02.0003,#COMMONERS_JC,13,1,5,33,passive
1.02.0003,#Caesar_JC,6,1,5,33,passive
1.02.0003,#Calphurnia_JC,12,1,5,33,passive
1.02.0003,#Casca_JC,11,1,5,33,passive
1.02.0003,#Cassius_JC,13,1,5,33,passive
1.02.0003,#Cicero_JC,13,1,5,33,passive
1.02.0003,#Decius_JC,13,1,5,33,passive
1.02.0003,#Flavius_JC,13,1,5,33,passive
1.02.0003,#Marullus_JC,13,1,5,33,passive
1.02.0003,#Portia_JC,13,1,5,33,passive
#Caesar_JC,1.02.0003,7,1,4,34,active
1.02.0003,#Antony_JC,12,1,4,34,passive
1.02.0003,#Brutus_JC,14,1,4,34,passive
1.02.0003,#COMMONERS_JC,14,1,4,34,passive
1.02.0003,#Calphurnia_JC,13,1,4,34,passive
1.02.0003,#Casca_JC,12,1,4,34,passive
1.02.0003,#Cassius_JC,14,1,4,34,passive
1.02.0003,#Cicero_JC,14,1,4,34,passive
1.02.0003,#Decius_JC,14,1,4,34,passive
1.02.0003,#Flavius_JC,14,1,4,34,passive
1.02.0003,#Marullus_JC,14,1,4,34,passive
1.02.0003,#Portia_JC,14,1,4,34,passive
1.02.0003,#Soothsayer_JC,12,1,4,34,passive
#Brutus_JC,1.02.0003,0,1,9,35,active
1.02.0003,#Antony_JC,13,1,9,35,passive
1.02.0003,#COMMONERS_JC,15,1,9,35,passive
1.02.0003,#Caesar_JC,7,1,9,35,passive
1.02.0003,#Calphurnia_JC,14,1,9,35,passive
1.02.0003,#Casca_JC,13,1,9,35,passive
1.02.0003,#Cassius_JC,15,1,9,35,passive
1.02.0003,#Cicero_JC,15,1,9,35,passive
1.02.0003,#Decius_JC,15,1,9,35,passive
1.02.0003,#Flavius_JC,15,1,9,35,passive
1.02.0003,#Marullus_JC,15,1,9,35,passive
1.02.0003,#Portia_JC,15,1,9,35,passive
1.02.0003,#Soothsayer_JC,13,1,9,35,passive
#Caesar_JC,1.02.0003,8,1,9,36,active
1.02.0003,#Antony_JC,14,1,9,36,passive
1.02.0003,#Brutus_JC,15,1,9,36,passive
1.02.0003,#COMMONERS_JC,16,1,9,36,passive
1.02.0003,#Calphurnia_JC,15,1,9,36,passive
1.02.0003,#Casca_JC,14,1,9,36,passive
1.02.0003,#Cassius_JC,16,1,9,36,passive
1.02.0003,#Cicero_JC,16,1,9,36,passive
1.02.0003,#Decius_JC,16,1,9,36,passive
1.02.0003,#Flavius_JC,16,1,9,36,passive
1.02.0003,#Marullus_JC,16,1,9,36,passive
1.02.0003,#Portia_JC,16,1,9,36,passive
1.02.0003,#Soothsayer_JC,14,1,9,36,passive
#Cassius_JC,1.02.0003,0,2,8,37,active
1.02.0003,#Antony_JC,15,2,8,37,passive
1.02.0003,#Brutus_JC,16,2,8,37,passive
1.02.0003,#COMMONERS_JC,17,2,8,37,passive
1.02.0003,#Caesar_JC,8,2,8,37,passive
1.02.0003,#Calphurnia_JC,16,2,8,37,passive
1.02.0003,#Casca_JC,15,2,8,37,passive
1.02.0003,#Cicero_JC,17,2,8,37,passive
1.02.0003,#Decius_JC,17,2,8,37,passive
1.02.0003,#Flavius_JC,17,2,8,37,passive
1.02.0003,#Marullus_JC,17,2,8,37,passive
1.02.0003,#Portia_JC,17,2,8,37,passive
1.02.0003,#Soothsayer_JC,15,2,8,37,passive
#Caesar_JC,1.02.0003,9,1,9,38,active
1.02.0003,#Antony_JC,16,1,9,38,passive
1.02.0003,#Brutus_JC,17,1,9,38,passive
1.02.0003,#COMMONERS_JC,18,1,9,38,passive
1.02.0003,#Calphurnia_JC,17,1,9,38,passive
1.02.0003,#Casca_JC,16,1,9,38,passive
1.02.0003,#Cassius_JC,17,1,9,38,passive
1.02.0003,#Cicero_JC,18,1,9,38,passive
1.02.0003,#Decius_JC,18,1,9,38,passive
1.02.0003,#Flavius_JC,18,1,9,38,passive
1.02.0003,#Marullus_JC,18,1,9,38,passive
1.02.0003,#Portia_JC,18,1,9,38,passive
1.02.0003,#Soothsayer_JC,16,1,9,38,passive
#Soothsayer_JC,1.02.0003,2,1,5,39,active
1.02.0003,#Antony_JC,17,1,5,39,passive
1.02.0003,#Brutus_JC,18,1,5,39,passive
1.02.0003,#COMMONERS_JC,19,1,5,39,passive
1.02.0003,#Caesar_JC,9,1,5,39,passive
1.02.0003,#Calphurnia_JC,18,1,5,39,passive
1.02.0003,#Casca_JC,17,1,5,39,passive
1.02.0003,#Cassius_JC,18,1,5,39,passive
1.02.0003,#Cicero_JC,19,1,5,39,passive
1.02.0003,#Decius_JC,19,1,5,39,passive
1.02.0003,#Flavius_JC,19,1,5,39,passive
1.02.0003,#Marullus_JC,19,1,5,39,passive
1.02.0003,#Portia_JC,19,1,5,39,passive
#Caesar_JC,1.02.0003,10,1,9,40,active
1.02.0003,#Antony_JC,18,1,9,40,passive
1.02.0003,#Brutus_JC,19,1,9,40,passive
1.02.0003,#COMMONERS_JC,20,1,9,40,passive
1.02.0003,#Calphurnia_JC,19,1,9,40,passive
1.02.0003,#Casca_JC,18,1,9,40,passive
1.02.0003,#Cassius_JC,19,1,9,40,passive
1.02.0003,#Cicero_JC,20,1,9,40,passive
1.02.0003,#Decius_JC,20,1,9,40,passive
1.02.0003,#Flavius_JC,20,1,9,40,passive
1.02.0003,#Marullus_JC,20,1,9,40,passive
1.02.0003,#Portia_JC,20,1,9,40,passive
1.02.0003,#Soothsayer_JC,17,1,9,40,passive
#Cassius_JC,1.02.0004,0,1,9,41,active
1.02.0004,#Brutus_JC,0,1,9,41,passive
#Brutus_JC,1.02.0004,0,1,2,42,active
1.02.0004,#Cassius_JC,0,1,2,42,passive
#Cassius_JC,1.02.0004,1,1,4,43,active
1.02.0004,#Brutus_JC,1,1,4,43,passive
#Brutus_JC,1.02.0004,1,4,27,44,active
1.02.0004,#Cassius_JC,1,4,27,44,passive
#Cassius_JC,1.02.0004,2,5,41,45,active
1.02.0004,#Brutus_JC,2,5,41,45,passive
#Brutus_JC,1.02.0004,2,12,81,46,active
1.02.0004,#Cassius_JC,2,12,81,46,passive
#Cassius_JC,1.02.0004,3,4,32,47,active
1.02.0004,#Brutus_JC,3,4,32,47,passive
#Brutus_JC,1.02.0004,3,2,15,48,active
1.02.0004,#Cassius_JC,3,2,15,48,passive
#Cassius_JC,1.02.0004,4,9,61,49,active
1.02.0004,#Brutus_JC,4,9,61,49,passive
#Brutus_JC,1.02.0004,4,3,23,50,active
1.02.0004,#Cassius_JC,4,3,23,50,passive
#Cassius_JC,1.02.0004,5,13,99,51,active
1.02.0004,#Brutus_JC,5,13,99,51,passive
#Brutus_JC,1.02.0004,5,2,14,52,active
1.02.0004,#Cassius_JC,5,2,14,52,passive
#Cassius_JC,1.02.0004,6,2,15,53,active
1.02.0004,#Brutus_JC,6,2,15,53,passive
#Brutus_JC,1.02.0004,6,8,71,54,active
1.02.0004,#Cassius_JC,6,8,71,54,passive
