node1,node2,count
#ATTENDANTS.FRENCH_Jn,#Arthur_Jn,6
#ATTENDANTS.FRENCH_Jn,#Austria_Jn,6
#ATTENDANTS.FRENCH_Jn,#Bastard_Jn,4
#ATTENDANTS.FRENCH_Jn,#Blanche_Jn,4
#ATTENDANTS.FRENCH_Jn,#CITIZENS.0.1_Jn,3
#ATTENDANTS.FRENCH_Jn,#CITIZENS_Jn,3
#ATTENDANTS.FRENCH_Jn,#Constance_Jn,7
#ATTENDANTS.FRENCH_Jn,#Dauphin_Jn,11
#ATTENDANTS.FRENCH_Jn,#HERALDS.ENGLISH_Jn,2
#ATTENDANTS.FRENCH_Jn,#HERALDS.FRENCH_Jn,2
#ATTENDANTS.FRENCH_Jn,#KingPhilip_Jn,9
#ATTENDANTS.FRENCH_Jn,#MESSENGERS.FRENCH.1_Jn,1
#ATTENDANTS.FRENCH_Jn,#Pandulph_Jn,3
#ATTENDANTS.FRENCH_Jn,#SOLDIERS.ENGLISH_Jn,4
#ATTENDANTS.FRENCH_Jn,#SOLDIERS.FRENCH_Jn,6
#ATTENDANTS_Jn,#Pandulph_Jn,2
#Arthur_Jn,#ATTENDANTS.ENGLISH_Jn,2
#Arthur_Jn,#ATTENDANTS_Jn,3
#Arthur_Jn,#Austria_Jn,9
#Arthur_Jn,#Bastard_Jn,11
#Arthur_Jn,#Bigot_Jn,3
#Arthur_Jn,#Blanche_Jn,7
#Arthur_Jn,#CITIZENS.0.1_Jn,3
#Arthur_Jn,#CITIZENS_Jn,3
#Arthur_Jn,#Constance_Jn,10
#Arthur_Jn,#Dauphin_Jn,9
#Arthur_Jn,#EXECUTIONERS.0.1_Jn,3
#Arthur_Jn,#EXECUTIONERS_Jn,1
#Arthur_Jn,#HERALDS.ENGLISH_Jn,2
#Arthur_Jn,#HERALDS.FRENCH_Jn,2
#Arthur_Jn,#Hubert_Jn,8
#Arthur_Jn,#KingPhilip_Jn,9
#Arthur_Jn,#Pandulph_Jn,2
#Arthur_Jn,#SOLDIERS.ENGLISH_Jn,4
#Arthur_Jn,#SOLDIERS.FRENCH_Jn,6
#Austria_Jn,#ATTENDANTS_Jn,3
#Austria_Jn,#Bastard_Jn,6
#Austria_Jn,#Blanche_Jn,7
#Austria_Jn,#CITIZENS.0.1_Jn,3
#Austria_Jn,#CITIZENS_Jn,3
#Austria_Jn,#Constance_Jn,9
#Austria_Jn,#Dauphin_Jn,9
#Austria_Jn,#HERALDS.ENGLISH_Jn,2
#Austria_Jn,#HERALDS.FRENCH_Jn,2
#Austria_Jn,#KingPhilip_Jn,9
#Austria_Jn,#Pandulph_Jn,2
#Austria_Jn,#SOLDIERS.ENGLISH_Jn,4
#Austria_Jn,#SOLDIERS.FRENCH_Jn,6
#Bastard_Jn,#ATTENDANTS.ENGLISH_Jn,1
#Bastard_Jn,#ATTENDANTS_Jn,2
#Bastard_Jn,#Bigot_Jn,4
#Bastard_Jn,#Blanche_Jn,6
#Bastard_Jn,#CITIZENS.0.1_Jn,4
#Bastard_Jn,#CITIZENS_Jn,3
#Bastard_Jn,#Gurney_Jn,1
#Bastard_Jn,#HERALDS.ENGLISH_Jn,2
#Bastard_Jn,#HERALDS.FRENCH_Jn,2
#Bastard_Jn,#Hubert_Jn,6
#Bastard_Jn,#LadyFaulconbridge_Jn,2
#Bastard_Jn,#MESSENGERS.ENGLISH.1_Jn,2
#Bastard_Jn,#Melun_Jn,1
#Bastard_Jn,#Pandulph_Jn,2
#Bastard_Jn,#Peter_Jn,1
#Bastard_Jn,#PrinceHenry_Jn,1
#Bastard_Jn,#RobertFaulconbridge_Jn,1
#Bastard_Jn,#SOLDIERS.ENGLISH_Jn,5
#Bigot_Jn,#Melun_Jn,4
#Bigot_Jn,#PrinceHenry_Jn,4
#Bigot_Jn,#SOLDIERS.1_Jn,1
#Blanche_Jn,#ATTENDANTS_Jn,3
#Blanche_Jn,#CITIZENS.0.1_Jn,3
#Blanche_Jn,#CITIZENS_Jn,3
