act,scene,stagegroup,n_tokens,n_lines,onstage
1,1,1,214,30,#Chatillion_Jn #Essex_Jn #KingJohn_Jn #Pembroke_Jn #QueenEleanor_Jn #Salisbury_Jn
1,1,2,104,13,#Essex_Jn #KingJohn_Jn #QueenEleanor_Jn #Salisbury_Jn
1,1,3,28,4,#Essex_Jn #KingJohn_Jn #QueenEleanor_Jn #Salisbury_Jn #Sheriff_Jn
1,1,4,10,2,#Essex_Jn #KingJohn_Jn #QueenEleanor_Jn #Salisbury_Jn
1,1,5,1096,138,#Bastard_Jn #Essex_Jn #KingJohn_Jn #QueenEleanor_Jn #RobertFaulconbridge_Jn #Salisbury_Jn
1,1,6,258,35,#Bastard_Jn
1,1,7,134,17,#Bastard_Jn #Gurney_Jn #LadyFaulconbridge_Jn
1,1,8,361,45,#Bastard_Jn #LadyFaulconbridge_Jn
2,1,9,379,49,#ATTENDANTS.FRENCH_Jn #Arthur_Jn #Austria_Jn #Constance_Jn #Dauphin_Jn #KingPhilip_Jn #SOLDIERS.FRENCH_Jn
2,1,10,245,34,#ATTENDANTS.FRENCH_Jn #Arthur_Jn #Austria_Jn #Chatillion_Jn #Constance_Jn #Dauphin_Jn #KingPhilip_Jn #SOLDIERS.FRENCH_Jn
2,1,11,942,125,#ATTENDANTS.FRENCH_Jn #Arthur_Jn #Austria_Jn #Bastard_Jn #Blanche_Jn #Chatillion_Jn #Constance_Jn #Dauphin_Jn #KingJohn_Jn #KingPhilip_Jn #Pembroke_Jn #QueenEleanor_Jn #SOLDIERS.ENGLISH_Jn #SOLDIERS.FRENCH_Jn #Salisbury_Jn
2,1,12,754,103,#ATTENDANTS.FRENCH_Jn #Arthur_Jn #Austria_Jn #Bastard_Jn #Blanche_Jn #CITIZENS.0.1_Jn #CITIZENS_Jn #Chatillion_Jn #Constance_Jn #Dauphin_Jn #KingJohn_Jn #KingPhilip_Jn #Pembroke_Jn #QueenEleanor_Jn #SOLDIERS.ENGLISH_Jn #SOLDIERS.FRENCH_Jn #Salisbury_Jn
2,1,13,87,12,#CITIZENS.0.1_Jn #CITIZENS_Jn #HERALDS.FRENCH_Jn
2,1,14,173,24,#CITIZENS.0.1_Jn #CITIZENS_Jn #HERALDS.ENGLISH_Jn #HERALDS.FRENCH_Jn
2,1,15,1756,234,#ATTENDANTS.FRENCH_Jn #Arthur_Jn #Austria_Jn #Bastard_Jn #Blanche_Jn #CITIZENS.0.1_Jn #CITIZENS_Jn #Constance_Jn #Dauphin_Jn #HERALDS.ENGLISH_Jn #HERALDS.FRENCH_Jn #KingJohn_Jn #KingPhilip_Jn #Pembroke_Jn #QueenEleanor_Jn #SOLDIERS.ENGLISH_Jn #SOLDIERS.FRENCH_Jn #Salisbury_Jn
2,1,16,40,7,#ATTENDANTS.FRENCH_Jn #Arthur_Jn #Austria_Jn #Bastard_Jn #Blanche_Jn #CITIZENS.0.1_Jn #CITIZENS_Jn #Constance_Jn #Dauphin_Jn #HERALDS.ENGLISH_Jn #HERALDS.FRENCH_Jn #KingJohn_Jn #KingPhilip_Jn #Pembroke_Jn #QueenEleanor_Jn #SOLDIERS.ENGLISH_Jn #SOLDIERS.FRENCH_Jn
2,1,17,285,39,#Bastard_Jn #CITIZENS.0.1_Jn
3,1,18,613,77,#Arthur_Jn #Constance_Jn #Salisbury_Jn
3,1,19,478,63,#ATTENDANTS_Jn #Arthur_Jn #Austria_Jn #Bastard_Jn #Blanche_Jn #Constance_Jn #Dauphin_Jn #KingJohn_Jn #KingPhilip_Jn #QueenEleanor_Jn #Salisbury_Jn
