node1,node2,n_lines,n_tokens
#Chatillion_Jn,1.01.0001,30,214
#Essex_Jn,1.01.0001,30,214
#KingJohn_Jn,1.01.0001,30,214
#Pembroke_Jn,1.01.0001,30,214
#QueenEleanor_Jn,1.01.0001,30,214
#Salisbury_Jn,1.01.0001,30,214
#Essex_Jn,1.01.0002,13,104
#KingJohn_Jn,1.01.0002,13,104
#QueenEleanor_Jn,1.01.0002,13,104
#Salisbury_Jn,1.01.0002,13,104
#Essex_Jn,1.01.0003,4,28
#KingJohn_Jn,1.01.0003,4,28
#QueenEleanor_Jn,1.01.0003,4,28
#Salisbury_Jn,1.01.0003,4,28
#Sheriff_Jn,1.01.0003,4,28
#Essex_Jn,1.01.0004,2,10
#KingJohn_Jn,1.01.0004,2,10
#QueenEleanor_Jn,1.01.0004,2,10
#Salisbury_Jn,1.01.0004,2,10
#Bastard_Jn,1.01.0005,138,1096
#Essex_Jn,1.01.0005,138,1096
#KingJohn_Jn,1.01.0005,138,1096
#QueenEleanor_Jn,1.01.0005,138,1096
#RobertFaulconbridge_Jn,1.01.0005,138,1096
#Salisbury_Jn,1.01.0005,138,1096
#Bastard_Jn,1.01.0006,35,258
#Bastard_Jn,1.01.0007,17,134
#Gurney_Jn,1.01.0007,17,134
#LadyFaulconbridge_Jn,1.01.0007,17,134
#Bastard_Jn,1.01.0008,45,361
#LadyFaulconbridge_Jn,1.01.0008,45,361
#ATTENDANTS.FRENCH_Jn,2.01.0009,49,379
#Arthur_Jn,2.01.0009,49,379
#Austria_Jn,2.01.0009,49,379
#Constance_Jn,2.01.0009,49,379
#Dauphin_Jn,2.01.0009,49,379
#KingPhilip_Jn,2.01.0009,49,379
#SOLDIERS.FRENCH_Jn,2.01.0009,49,379
#ATTENDANTS.FRENCH_Jn,2.01.0010,34,245
#Arthur_Jn,2.01.0010,34,245
#Austria_Jn,2.01.0010,34,245
#Chatillion_Jn,2.01.0010,34,245
#Constance_Jn,2.01.0010,34,245
#Dauphin_Jn,2.01.0010,34,245
#KingPhilip_Jn,2.01.0010,34,245
#SOLDIERS.FRENCH_Jn,2.01.0010,34,245
#ATTENDANTS.FRENCH_Jn,2.01.0011,125,942
#Arthur_Jn,2.01.0011,125,942
#Austria_Jn,2.01.0011,125,942
#Bastard_Jn,2.01.0011,125,942
#Blanche_Jn,2.01.0011,125,942
#Chatillion_Jn,2.01.0011,125,942
#Constance_Jn,2.01.0011,125,942
#Dauphin_Jn,2.01.0011,125,942
#KingJohn_Jn,2.01.0011,125,942
#KingPhilip_Jn,2.01.0011,125,942
#Pembroke_Jn,2.01.0011,125,942
#QueenEleanor_Jn,2.01.0011,125,942
#SOLDIERS.ENGLISH_Jn,2.01.0011,125,942
#SOLDIERS.FRENCH_Jn,2.01.0011,125,942
#Salisbury_Jn,2.01.0011,125,942
#ATTENDANTS.FRENCH_Jn,2.01.0012,103,754
#Arthur_Jn,2.01.0012,103,754
#Austria_Jn,2.01.0012,103,754
#Bastard_Jn,2.01.0012,103,754
#Blanche_Jn,2.01.0012,103,754
#CITIZENS.0.1_Jn,2.01.0012,103,754
#CITIZENS_Jn,2.01.0012,103,754
#Chatillion_Jn,2.01.0012,103,754
#Constance_Jn,2.01.0012,103,754
#Dauphin_Jn,2.01.0012,103,754
#KingJohn_Jn,2.01.0012,103,754
#KingPhilip_Jn,2.01.0012,103,754
#Pembroke_Jn,2.01.0012,103,754
#QueenEleanor_Jn,2.01.0012,103,754
#SOLDIERS.ENGLISH_Jn,2.01.0012,103,754
#SOLDIERS.FRENCH_Jn,2.01.0012,103,754
#Salisbury_Jn,2.01.0012,103,754
#CITIZENS.0.1_Jn,2.01.0013,12,87
#CITIZENS_Jn,2.01.0013,12,87
#HERALDS.FRENCH_Jn,2.01.0013,12,87
#CITIZENS.0.1_Jn,2.01.0014,24,173
#CITIZENS_Jn,2.01.0014,24,173
#HERALDS.ENGLISH_Jn,2.01.0014,24,173
#HERALDS.FRENCH_Jn,2.01.0014,24,173
#ATTENDANTS.FRENCH_Jn,2.01.0015,234,1756
#Arthur_Jn,2.01.0015,234,1756
#Austria_Jn,2.01.0015,234,1756
#Bastard_Jn,2.01.0015,234,1756
#Blanche_Jn,2.01.0015,234,1756
#CITIZENS.0.1_Jn,2.01.0015,234,1756
#CITIZENS_Jn,2.01.0015,234,1756
#Constance_Jn,2.01.0015,234,1756
#Dauphin_Jn,2.01.0015,234,1756
#HERALDS.ENGLISH_Jn,2.01.0015,234,1756
#HERALDS.FRENCH_Jn,2.01.0015,234,1756
#KingJohn_Jn,2.01.0015,234,1756
#KingPhilip_Jn,2.01.0015,234,1756
#Pembroke_Jn,2.01.0015,234,1756
#QueenEleanor_Jn,2.01.0015,234,1756
#SOLDIERS.ENGLISH_Jn,2.01.0015,234,1756
#SOLDIERS.FRENCH_Jn,2.01.0015,234,1756
#Salisbury_Jn,2.01.0015,234,1756
#ATTENDANTS.FRENCH_Jn,2.01.0016,7,40
#Arthur_Jn,2.01.0016,7,40
#Austria_Jn,2.01.0016,7,40
#Bastard_Jn,2.01.0016,7,40
#Blanche_Jn,2.01.0016,7,40
#CITIZENS.0.1_Jn,2.01.0016,7,40
#CITIZENS_Jn,2.01.0016,7,40
#Constance_Jn,2.01.0016,7,40
#Dauphin_Jn,2.01.0016,7,40
#HERALDS.ENGLISH_Jn,2.01.0016,7,40
#HERALDS.FRENCH_Jn,2.01.0016,7,40
#KingJohn_Jn,2.01.0016,7,40
#KingPhilip_Jn,2.01.0016,7,40
#Pembroke_Jn,2.01.0016,7,40
#QueenEleanor_Jn,2.01.0016,7,40
#SOLDIERS.ENGLISH_Jn,2.01.0016,7,40
#SOLDIERS.FRENCH_Jn,2.01.0016,7,40
#Bastard_Jn,2.01.0017,39,285
#CITIZENS.0.1_Jn,2.01.0017,39,285
#Arthur_Jn,3.01.0018,77,613
#Constance_Jn,3.01.0018,77,613
#Salisbury_Jn,3.01.0018,77,613
#ATTENDANTS_Jn,3.01.0019,63,478
#Arthur_Jn,3.01.0019,63,478
#Austria_Jn,3.01.0019,63,478
#Bastard_Jn,3.01.0019,63,478
#Blanche_Jn,3.01.0019,63,478
#Constance_Jn,3.01.0019,63,478
#Dauphin_Jn,3.01.0019,63,478
#KingJohn_Jn,3.01.0019,63,478
#KingPhilip_Jn,3.01.0019,63,478
#QueenEleanor_Jn,3.01.0019,63,478
#Salisbury_Jn,3.01.0019,63,478
#ATTENDANTS_Jn,3.01.0020,214,1596
#Arthur_Jn,3.01.0020,214,1596
#Austria_Jn,3.01.0020,214,1596
#Bastard_Jn,3.01.0020,214,1596
#Blanche_Jn,3.01.0020,214,1596
#Constance_Jn,3.01.0020,214,1596
#Dauphin_Jn,3.01.0020,214,1596
#KingJohn_Jn,3.01.0020,214,1596
#KingPhilip_Jn,3.01.0020,214,1596
#Pandulph_Jn,3.01.0020,214,1596
#QueenEleanor_Jn,3.01.0020,214,1596
#Salisbury_Jn,3.01.0020,214,1596
#ATTENDANTS_Jn,3.01.0021,8,65
#Arthur_Jn,3.01.0021,8,65
#Austria_Jn,3.01.0021,8,65
#Blanche_Jn,3.01.0021,8,65
#Constance_Jn,3.01.0021,8,65
#Dauphin_Jn,3.01.0021,8,65
#KingJohn_Jn,3.01.0021,8,65
#KingPhilip_Jn,3.01.0021,8,65
#Pandulph_Jn,3.01.0021,8,65
#QueenEleanor_Jn,3.01.0021,8,65
#Salisbury_Jn,3.01.0021,8,65
#Bastard_Jn,3.02.0022,4,27
#Arthur_Jn,3.02.0023,7,47
#Bastard_Jn,3.02.0023,7,47
#Hubert_Jn,3.02.0023,7,47
#KingJohn_Jn,3.02.0023,7,47
#ATTENDANTS.ENGLISH_Jn,3.03.0024,18,132
#Arthur_Jn,3.03.0024,18,132
#Bastard_Jn,3.03.0024,18,132
#Hubert_Jn,3.03.0024,18,132
#KingJohn_Jn,3.03.0024,18,132
#QueenEleanor_Jn,3.03.0024,18,132
#ATTENDANTS.ENGLISH_Jn,3.03.0025,65,462
#Arthur_Jn,3.03.0025,65,462
#Hubert_Jn,3.03.0025,65,462
#KingJohn_Jn,3.03.0025,65,462
#QueenEleanor_Jn,3.03.0025,65,462
#ATTENDANTS.FRENCH_Jn,3.04.0026,16,121
#Dauphin_Jn,3.04.0026,16,121
#KingPhilip_Jn,3.04.0026,16,121
#Pandulph_Jn,3.04.0026,16,121
#ATTENDANTS.FRENCH_Jn,3.04.0027,91,714
#Constance_Jn,3.04.0027,91,714
#Dauphin_Jn,3.04.0027,91,714
#KingPhilip_Jn,3.04.0027,91,714
#Pandulph_Jn,3.04.0027,91,714
#ATTENDANTS.FRENCH_Jn,3.04.0028,1,8
#Dauphin_Jn,3.04.0028,1,8
#KingPhilip_Jn,3.04.0028,1,8
#Pandulph_Jn,3.04.0028,1,8
#Dauphin_Jn,3.04.0029,78,628
#Pandulph_Jn,3.04.0029,78,628
#EXECUTIONERS_Jn,4.01.0030,5,44
#Hubert_Jn,4.01.0030,5,44
#EXECUTIONERS.0.1_Jn,4.01.0031,2,17
#EXECUTIONERS_Jn,4.01.0031,2,17
#Hubert_Jn,4.01.0031,2,17
#EXECUTIONERS.0.1_Jn,4.01.0032,1,10
#Hubert_Jn,4.01.0032,1,10
#Arthur_Jn,4.01.0033,71,531
#EXECUTIONERS.0.1_Jn,4.01.0033,71,531
#Hubert_Jn,4.01.0033,71,531
