act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#Albany_Lr,3,1,1858,277
1,1,#Burgundy_Lr,68,12,647,96
1,1,#Cordelia_Lr,337,51,1984,296
1,1,#Cornwall_Lr,3,1,1858,277
1,1,#Edmund_Lr,13,3,2101,310
1,1,#France_Lr,240,35,773,115
1,1,#Gloucester_Lr,194,25,902,132
1,1,#Goneril_Lr,238,32,2177,323
1,1,#Kent_Lr,304,47,1454,214
1,1,#Lear_Lr,910,133,1858,277
1,1,#Regan_Lr,113,17,2177,323
1,2,#Edgar_Lr,49,11,325,46
1,2,#Edmund_Lr,967,122,1458,192
1,2,#Gloucester_Lr,442,59,780,101
1,3,#Goneril_Lr,208,26,218,29
1,3,#Oswald_Lr,10,3,218,29
1,4,#ATTENDANTS.LEAR.0.3_Lr,105,14,2205,323
1,4,#Albany_Lr,70,11,707,106
1,4,#Fool_Lr,746,106,1650,240
1,4,#Goneril_Lr,494,70,1222,179
1,4,#Kent_Lr,247,36,2090,303
1,4,#Lear_Lr,851,129,2175,315
1,4,#Oswald_Lr,25,6,156,26
1,5,#ATTENDANTS.X.1_Lr,3,1,255,39
1,5,#Fool_Lr,221,28,344,52
1,5,#Kent_Lr,12,2,50,7
1,5,#Lear_Lr,108,21,344,52
2,1,#Cornwall_Lr,104,15,359,52
2,1,#Curan_Lr,77,9,93,13
2,1,#Edgar_Lr,8,1,108,16
2,1,#Edmund_Lr,451,67,1029,152
2,1,#Gloucester_Lr,214,36,751,112
2,1,#Regan_Lr,175,24,359,52
2,2,#Cornwall_Lr,211,35,826,121
2,2,#Edmund_Lr,6,1,826,121
2,2,#Gloucester_Lr,112,15,896,130
2,2,#Kent_Lr,727,106,1276,189
2,2,#Oswald_Lr,174,26,1113,165
2,2,#Regan_Lr,46,6,826,121
2,3,#Edgar_Lr,152,21,152,21
2,4,#ATTENDANTS.X.2_Lr,25,4,2238,327
2,4,#Cornwall_Lr,74,13,1516,213
2,4,#Fool_Lr,317,41,2238,327
2,4,#Gloucester_Lr,77,12,1710,245
2,4,#Goneril_Lr,101,14,1005,137
2,4,#Kent_Lr,187,32,2208,322
2,4,#Lear_Lr,1197,176,2038,301
2,4,#Regan_Lr,445,61,1516,213
3,1,#ATTENDANTS.X.3_Lr,123,19,432,62
3,1,#Kent_Lr,309,43,432,62
3,2,#Fool_Lr,271,40,699,103
3,2,#Kent_Lr,123,18,314,45
3,2,#Lear_Lr,305,45,576,85
3,3,#Edmund_Lr,44,6,219,25
3,3,#Gloucester_Lr,175,19,179,20
3,4,#Edgar_Lr,555,73,1131,156
3,4,#Fool_Lr,85,12,1364,185
3,4,#Gloucester_Lr,182,24,524,77
3,4,#Kent_Lr,121,18,1439,197
3,4,#Lear_Lr,496,70,1439,197
3,5,#Cornwall_Lr,84,12,192,26
3,5,#Edmund_Lr,108,14,192,26
3,6,#Edgar_Lr,312,49,808,121
3,6,#Fool_Lr,99,13,704,105
3,6,#Gloucester_Lr,122,16,182,25
3,6,#Kent_Lr,103,14,749,110
3,6,#Lear_Lr,217,34,704,105
3,7,#Cornwall_Lr,269,43,773,119
3,7,#Gloucester_Lr,254,37,536,84
3,7,#Goneril_Lr,9,2,153,24
3,7,#Oswald_Lr,44,6,54,8
3,7,#Regan_Lr,121,21,773,119
3,7,#SERVANTS.0.1_Lr,76,10,296,42
3,7,#SERVANTS.0.2_Lr,35,5,74,10
3,7,#SERVANTS.0.3_Lr,39,5,61,8
4,0,#Cordelia_Lr,171,25,211,32
4,0,#Doctor_Lr,32,5,211,32
4,0,#MESSENGERS.X.2_Lr,8,2,62,10
4,1,#Edgar_Lr,247,33,640,90
4,1,#Gloucester_Lr,335,46,570,81
4,1,#OldMan_Lr,58,11,356,49
4,2,#Albany_Lr,278,45,528,82
4,2,#Edmund_Lr,6,1,210,30
4,2,#Goneril_Lr,287,44,684,106
4,2,#MESSENGERS.X.1_Lr,117,17,229,35
4,2,#Oswald_Lr,78,11,224,34
4,3,#ATTENDANTS.X.4_Lr,229,35,432,66
4,3,#Kent_Lr,203,31,432,66
4,5,#Oswald_Lr,59,12,314,45
4,5,#Regan_Lr,255,33,314,45
4,6,#ATTENDANTS.CORDELIA.1_Lr,101,16,231,35
4,6,#Edgar_Lr,833,120,2271,316
4,6,#Gloucester_Lr,406,64,2271,316
4,6,#Lear_Lr,822,100,957,125
4,6,#Oswald_Lr,109,16,477,64
4,7,#ATTENDANTS.CORDELIA.1_Lr,56,9,771,110
4,7,#Cordelia_Lr,281,41,702,99
4,7,#Doctor_Lr,92,14,702,99
4,7,#Kent_Lr,99,15,788,112
4,7,#Lear_Lr,260,33,545,75
5,1,#Albany_Lr,103,14,285,42
5,1,#Edgar_Lr,86,12,97,14
5,1,#Edmund_Lr,220,30,451,65
5,1,#Goneril_Lr,39,7,163,25
5,1,#Regan_Lr,91,14,295,45
5,2,#Edgar_Lr,73,10,91,13
5,2,#Gloucester_Lr,18,3,91,13
5,3,#ATTENDANTS.ALBANY_Lr,33,5,72,13
5,3,#ATTENDANTS.CORDELIA.1_Lr,6,1,602,88
5,3,#Albany_Lr,552,87,2323,350
5,3,#Cordelia_Lr,37,5,822,118
5,3,#Edgar_Lr,588,87,1726,256
5,3,#Edmund_Lr,554,77,2056,307
5,3,#Goneril_Lr,97,16,1692,259
5,3,#Herald_Lr,59,10,1784,266
5,3,#Kent_Lr,151,24,803,123
5,3,#Lear_Lr,435,59,822,118
5,3,#MESSENGERS.X.3_Lr,5,1,275,38
5,3,#Regan_Lr,117,19,1277,195
5,3,#SOLDIERS.CAPTAINS.1_Lr,22,3,335,45
5,3,#SOLDIERS.CAPTAINS.2_Lr,2,1,2323,350
1,1,#ATTENDANTS.0_Lr,0,0,966,142
1,1,#ATTENDANTS_Lr,0,0,1858,277
1,4,#ATTENDANTS.LEAR_Lr,0,0,2033,295
2,1,#ATTENDANTS.REGAN_Lr,0,0,359,52
2,1,#SERVANTS_Lr,0,0,54,11
2,2,#SERVANTS_Lr,0,0,826,121
2,4,#Oswald_Lr,0,0,1049,144
2,4,#SERVANTS_Lr,0,0,1516,213
3,7,#Edmund_Lr,0,0,153,24
3,7,#SERVANTS.0_Lr,0,0,536,84
3,7,#SERVANTS_Lr,0,0,847,129
4,0,#ATTENDANTS.CORDELIA_Lr,0,0,211,32
4,0,#SOLDIERS.CORDELIA_Lr,0,0,57,8
4,6,#SERVANTS.CORDELIA_Lr,0,0,125,18
4,7,#SERVANTS.CORDELIA_Lr,0,0,545,75
5,1,#ATTENDANTS.REGAN_Lr,0,0,295,45
5,1,#SOLDIERS.GONERIL_Lr,0,0,163,25
5,1,#SOLDIERS.REGAN_Lr,0,0,295,45
5,3,#SOLDIERS_Lr,0,0,2543,380
