act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
1,1,1,1,#Kent_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,13,2
1,1,1,2,#Gloucester_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,40,5
1,1,1,3,#Kent_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,7,1
1,1,1,4,#Gloucester_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,23,3
1,1,1,5,#Kent_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,4,1
1,1,1,6,#Gloucester_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,32,4
1,1,1,7,#Kent_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,13,2
1,1,1,8,#Gloucester_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,62,7
1,1,1,9,#Edmund_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,3,1
1,1,1,10,#Gloucester_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,11,2
1,1,1,11,#Edmund_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,5,1
1,1,1,12,#Kent_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,10,1
1,1,1,13,#Edmund_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,5,1
1,1,1,14,#Gloucester_Lr,#Edmund_Lr #Gloucester_Lr #Kent_Lr,15,2
1,1,2,15,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Gloucester_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,8,2
1,1,2,16,#Gloucester_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Gloucester_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,4,1
1,1,3,17,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,156,23
1,1,3,18,#Goneril_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,61,8
1,1,3,19,#Cordelia_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,9,2
1,1,3,20,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,47,7
1,1,3,21,#Regan_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,63,9
1,1,3,22,#Cordelia_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,18,3
1,1,3,23,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,64,8
1,1,3,24,#Cordelia_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,3,1
1,1,3,25,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,1,1
1,1,3,26,#Cordelia_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,1,1
1,1,3,27,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,7,1
1,1,3,28,#Cordelia_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,24,3
1,1,3,29,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,14,2
1,1,3,30,#Cordelia_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,78,11
1,1,3,31,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,6,1
1,1,3,32,#Cordelia_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,4,1
1,1,3,33,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,5,1
1,1,3,34,#Cordelia_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,6,1
1,1,3,35,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,97,14
1,1,3,36,#Kent_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,3,1
1,1,3,37,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,143,21
1,1,3,38,#Kent_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,27,4
1,1,3,39,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,10,1
1,1,3,40,#Kent_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,84,13
1,1,3,41,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,6,1
1,1,3,42,#Kent_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,23,4
1,1,3,43,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,4,1
1,1,3,44,#Kent_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,14,2
1,1,3,45,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,3,1
1,1,3,46,#Kent_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,10,2
1,1,3,47,#Lear_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,3,1
1,1,3,48,#Albany_Lr #Cornwall_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,3,1
1,1,3,49,#Kent_Lr,#ATTENDANTS_Lr #Albany_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr,29,4
