node,node_type
#ATTENDANTS.0_Lr,character
#ATTENDANTS.ALBANY_Lr,character
#ATTENDANTS.CORDELIA.1_Lr,character
#ATTENDANTS.CORDELIA_Lr,character
#ATTENDANTS.LEAR.0.3_Lr,character
#ATTENDANTS.LEAR_Lr,character
#ATTENDANTS.REGAN_Lr,character
#ATTENDANTS.X.1_Lr,character
#ATTENDANTS.X.2_Lr,character
#ATTENDANTS.X.3_Lr,character
#ATTENDANTS.X.4_Lr,character
#ATTENDANTS_Lr,character
#Albany_Lr,character
#Burgundy_Lr,character
#Cordelia_Lr,character
#Cornwall_Lr,character
#Curan_Lr,character
#Doctor_Lr,character
#Edgar_Lr,character
#Edmund_Lr,character
#Fool_Lr,character
#France_Lr,character
#Gloucester_Lr,character
#Goneril_Lr,character
#Herald_Lr,character
#Kent_Lr,character
#Lear_Lr,character
#MESSENGERS.X.1_Lr,character
#MESSENGERS.X.2_Lr,character
#MESSENGERS.X.3_Lr,character
#OldMan_Lr,character
#Oswald_Lr,character
#Regan_Lr,character
#SERVANTS.0.1_Lr,character
#SERVANTS.0.2_Lr,character
#SERVANTS.0.3_Lr,character
#SERVANTS.0_Lr,character
#SERVANTS.CORDELIA_Lr,character
#SERVANTS_Lr,character
#SOLDIERS.CAPTAINS.1_Lr,character
#SOLDIERS.CAPTAINS.2_Lr,character
#SOLDIERS.CORDELIA_Lr,character
#SOLDIERS.GONERIL_Lr,character
#SOLDIERS.REGAN_Lr,character
#SOLDIERS_Lr,character
1.01,text_unit
1.02,text_unit
1.03,text_unit
1.04,text_unit
1.05,text_unit
2.01,text_unit
2.02,text_unit
2.03,text_unit
2.04,text_unit
3.01,text_unit
3.02,text_unit
3.03,text_unit
3.04,text_unit
3.05,text_unit
3.06,text_unit
3.07,text_unit
4.00,text_unit
4.01,text_unit
4.02,text_unit
4.03,text_unit
4.05,text_unit
4.06,text_unit
4.07,text_unit
5.01,text_unit
5.02,text_unit
5.03,text_unit
