source,target,key,n_lines,n_tokens,edge_index,edge_type
#Kent_Lr,1.01.0001,0,2,13,1,active
1.01.0001,#Edmund_Lr,0,2,13,1,passive
1.01.0001,#Gloucester_Lr,0,2,13,1,passive
#Gloucester_Lr,1.01.0001,0,5,40,2,active
1.01.0001,#Edmund_Lr,1,5,40,2,passive
1.01.0001,#Kent_Lr,0,5,40,2,passive
#Kent_Lr,1.01.0001,1,1,7,3,active
1.01.0001,#Edmund_Lr,2,1,7,3,passive
1.01.0001,#Gloucester_Lr,1,1,7,3,passive
#Gloucester_Lr,1.01.0001,1,3,23,4,active
1.01.0001,#Edmund_Lr,3,3,23,4,passive
1.01.0001,#Kent_Lr,1,3,23,4,passive
#Kent_Lr,1.01.0001,2,1,4,5,active
1.01.0001,#Edmund_Lr,4,1,4,5,passive
1.01.0001,#Gloucester_Lr,2,1,4,5,passive
#Gloucester_Lr,1.01.0001,2,4,32,6,active
1.01.0001,#Edmund_Lr,5,4,32,6,passive
1.01.0001,#Kent_Lr,2,4,32,6,passive
#Kent_Lr,1.01.0001,3,2,13,7,active
1.01.0001,#Edmund_Lr,6,2,13,7,passive
1.01.0001,#Gloucester_Lr,3,2,13,7,passive
#Gloucester_Lr,1.01.0001,3,7,62,8,active
1.01.0001,#Edmund_Lr,7,7,62,8,passive
1.01.0001,#Kent_Lr,3,7,62,8,passive
#Edmund_Lr,1.01.0001,0,1,3,9,active
1.01.0001,#Gloucester_Lr,4,1,3,9,passive
1.01.0001,#Kent_Lr,4,1,3,9,passive
#Gloucester_Lr,1.01.0001,4,2,11,10,active
1.01.0001,#Edmund_Lr,8,2,11,10,passive
1.01.0001,#Kent_Lr,5,2,11,10,passive
#Edmund_Lr,1.01.0001,1,1,5,11,active
1.01.0001,#Gloucester_Lr,5,1,5,11,passive
1.01.0001,#Kent_Lr,6,1,5,11,passive
#Kent_Lr,1.01.0001,4,1,10,12,active
1.01.0001,#Edmund_Lr,9,1,10,12,passive
1.01.0001,#Gloucester_Lr,6,1,10,12,passive
#Edmund_Lr,1.01.0001,2,1,5,13,active
1.01.0001,#Gloucester_Lr,7,1,5,13,passive
1.01.0001,#Kent_Lr,7,1,5,13,passive
#Gloucester_Lr,1.01.0001,5,2,15,14,active
1.01.0001,#Edmund_Lr,10,2,15,14,passive
1.01.0001,#Kent_Lr,8,2,15,14,passive
#Lear_Lr,1.01.0002,0,2,8,15,active
1.01.0002,#ATTENDANTS_Lr,0,2,8,15,passive
1.01.0002,#Albany_Lr,0,2,8,15,passive
1.01.0002,#Cordelia_Lr,0,2,8,15,passive
1.01.0002,#Cornwall_Lr,0,2,8,15,passive
1.01.0002,#Edmund_Lr,0,2,8,15,passive
1.01.0002,#Gloucester_Lr,0,2,8,15,passive
1.01.0002,#Goneril_Lr,0,2,8,15,passive
1.01.0002,#Kent_Lr,0,2,8,15,passive
1.01.0002,#Regan_Lr,0,2,8,15,passive
#Gloucester_Lr,1.01.0002,0,1,4,16,active
1.01.0002,#ATTENDANTS_Lr,1,1,4,16,passive
1.01.0002,#Albany_Lr,1,1,4,16,passive
1.01.0002,#Cordelia_Lr,1,1,4,16,passive
1.01.0002,#Cornwall_Lr,1,1,4,16,passive
1.01.0002,#Edmund_Lr,1,1,4,16,passive
1.01.0002,#Goneril_Lr,1,1,4,16,passive
1.01.0002,#Kent_Lr,1,1,4,16,passive
1.01.0002,#Lear_Lr,0,1,4,16,passive
1.01.0002,#Regan_Lr,1,1,4,16,passive
#Lear_Lr,1.01.0003,0,23,156,17,active
1.01.0003,#ATTENDANTS_Lr,0,23,156,17,passive
1.01.0003,#Albany_Lr,0,23,156,17,passive
1.01.0003,#Cordelia_Lr,0,23,156,17,passive
1.01.0003,#Cornwall_Lr,0,23,156,17,passive
1.01.0003,#Edmund_Lr,0,23,156,17,passive
1.01.0003,#Goneril_Lr,0,23,156,17,passive
1.01.0003,#Kent_Lr,0,23,156,17,passive
1.01.0003,#Regan_Lr,0,23,156,17,passive
#Goneril_Lr,1.01.0003,0,8,61,18,active
1.01.0003,#ATTENDANTS_Lr,1,8,61,18,passive
1.01.0003,#Albany_Lr,1,8,61,18,passive
1.01.0003,#Cordelia_Lr,1,8,61,18,passive
1.01.0003,#Cornwall_Lr,1,8,61,18,passive
1.01.0003,#Edmund_Lr,1,8,61,18,passive
1.01.0003,#Kent_Lr,1,8,61,18,passive
1.01.0003,#Lear_Lr,0,8,61,18,passive
1.01.0003,#Regan_Lr,1,8,61,18,passive
#Cordelia_Lr,1.01.0003,0,2,9,19,active
1.01.0003,#ATTENDANTS_Lr,2,2,9,19,passive
1.01.0003,#Albany_Lr,2,2,9,19,passive
1.01.0003,#Cornwall_Lr,2,2,9,19,passive
1.01.0003,#Edmund_Lr,2,2,9,19,passive
1.01.0003,#Goneril_Lr,1,2,9,19,passive
1.01.0003,#Kent_Lr,2,2,9,19,passive
1.01.0003,#Lear_Lr,1,2,9,19,passive
1.01.0003,#Regan_Lr,2,2,9,19,passive
#Lear_Lr,1.01.0003,1,7,47,20,active
1.01.0003,#ATTENDANTS_Lr,3,7,47,20,passive
1.01.0003,#Albany_Lr,3,7,47,20,passive
1.01.0003,#Cordelia_Lr,2,7,47,20,passive
1.01.0003,#Cornwall_Lr,3,7,47,20,passive
1.01.0003,#Edmund_Lr,3,7,47,20,passive
1.01.0003,#Goneril_Lr,2,7,47,20,passive
1.01.0003,#Kent_Lr,3,7,47,20,passive
1.01.0003,#Regan_Lr,3,7,47,20,passive
#Regan_Lr,1.01.0003,0,9,63,21,active
1.01.0003,#ATTENDANTS_Lr,4,9,63,21,passive
1.01.0003,#Albany_Lr,4,9,63,21,passive
1.01.0003,#Cordelia_Lr,3,9,63,21,passive
1.01.0003,#Cornwall_Lr,4,9,63,21,passive
1.01.0003,#Edmund_Lr,4,9,63,21,passive
1.01.0003,#Goneril_Lr,3,9,63,21,passive
1.01.0003,#Kent_Lr,4,9,63,21,passive
1.01.0003,#Lear_Lr,2,9,63,21,passive
#Cordelia_Lr,1.01.0003,1,3,18,22,active
1.01.0003,#ATTENDANTS_Lr,5,3,18,22,passive
1.01.0003,#Albany_Lr,5,3,18,22,passive
1.01.0003,#Cornwall_Lr,5,3,18,22,passive
1.01.0003,#Edmund_Lr,5,3,18,22,passive
1.01.0003,#Goneril_Lr,4,3,18,22,passive
1.01.0003,#Kent_Lr,5,3,18,22,passive
1.01.0003,#Lear_Lr,3,3,18,22,passive
1.01.0003,#Regan_Lr,4,3,18,22,passive
#Lear_Lr,1.01.0003,2,8,64,23,active
1.01.0003,#ATTENDANTS_Lr,6,8,64,23,passive
1.01.0003,#Albany_Lr,6,8,64,23,passive
1.01.0003,#Cordelia_Lr,4,8,64,23,passive
1.01.0003,#Cornwall_Lr,6,8,64,23,passive
1.01.0003,#Edmund_Lr,6,8,64,23,passive
1.01.0003,#Goneril_Lr,5,8,64,23,passive
1.01.0003,#Kent_Lr,6,8,64,23,passive
1.01.0003,#Regan_Lr,5,8,64,23,passive
#Cordelia_Lr,1.01.0003,2,1,3,24,active
1.01.0003,#ATTENDANTS_Lr,7,1,3,24,passive
1.01.0003,#Albany_Lr,7,1,3,24,passive
1.01.0003,#Cornwall_Lr,7,1,3,24,passive
1.01.0003,#Edmund_Lr,7,1,3,24,passive
1.01.0003,#Goneril_Lr,6,1,3,24,passive
1.01.0003,#Kent_Lr,7,1,3,24,passive
1.01.0003,#Lear_Lr,4,1,3,24,passive
1.01.0003,#Regan_Lr,6,1,3,24,passive
#Lear_Lr,1.01.0003,3,1,1,25,active
1.01.0003,#ATTENDANTS_Lr,8,1,1,25,passive
1.01.0003,#Albany_Lr,8,1,1,25,passive
1.01.0003,#Cordelia_Lr,5,1,1,25,passive
1.01.0003,#Cornwall_Lr,8,1,1,25,passive
1.01.0003,#Edmund_Lr,8,1,1,25,passive
1.01.0003,#Goneril_Lr,7,1,1,25,passive
1.01.0003,#Kent_Lr,8,1,1,25,passive
1.01.0003,#Regan_Lr,7,1,1,25,passive
#Cordelia_Lr,1.01.0003,3,1,1,26,active
1.01.0003,#ATTENDANTS_Lr,9,1,1,26,passive
1.01.0003,#Albany_Lr,9,1,1,26,passive
1.01.0003,#Cornwall_Lr,9,1,1,26,passive
1.01.0003,#Edmund_Lr,9,1,1,26,passive
1.01.0003,#Goneril_Lr,8,1,1,26,passive
1.01.0003,#Kent_Lr,9,1,1,26,passive
1.01.0003,#Lear_Lr,5,1,1,26,passive
1.01.0003,#Regan_Lr,8,1,1,26,passive
#Lear_Lr,1.01.0003,4,1,7,27,active
1.01.0003,#ATTENDANTS_Lr,10,1,7,27,passive
1.01.0003,#Albany_Lr,10,1,7,27,passive
1.01.0003,#Cordelia_Lr,6,1,7,27,passive
1.01.0003,#Cornwall_Lr,10,1,7,27,passive
1.01.0003,#Edmund_Lr,10,1,7,27,passive
1.01.0003,#Goneril_Lr,9,1,7,27,passive
1.01.0003,#Kent_Lr,10,1,7,27,passive
1.01.0003,#Regan_Lr,9,1,7,27,passive
#Cordelia_Lr,1.01.0003,4,3,24,28,active
1.01.0003,#ATTENDANTS_Lr,11,3,24,28,passive
1.01.0003,#Albany_Lr,11,3,24,28,passive
1.01.0003,#Cornwall_Lr,11,3,24,28,passive
1.01.0003,#Edmund_Lr,11,3,24,28,passive
1.01.0003,#Goneril_Lr,10,3,24,28,passive
1.01.0003,#Kent_Lr,11,3,24,28,passive
1.01.0003,#Lear_Lr,6,3,24,28,passive
1.01.0003,#Regan_Lr,10,3,24,28,passive
#Lear_Lr,1.01.0003,5,2,14,29,active
1.01.0003,#ATTENDANTS_Lr,12,2,14,29,passive
1.01.0003,#Albany_Lr,12,2,14,29,passive
1.01.0003,#Cordelia_Lr,7,2,14,29,passive
1.01.0003,#Cornwall_Lr,12,2,14,29,passive
1.01.0003,#Edmund_Lr,12,2,14,29,passive
1.01.0003,#Goneril_Lr,11,2,14,29,passive
1.01.0003,#Kent_Lr,12,2,14,29,passive
1.01.0003,#Regan_Lr,11,2,14,29,passive
#Cordelia_Lr,1.01.0003,5,11,78,30,active
1.01.0003,#ATTENDANTS_Lr,13,11,78,30,passive
1.01.0003,#Albany_Lr,13,11,78,30,passive
1.01.0003,#Cornwall_Lr,13,11,78,30,passive
1.01.0003,#Edmund_Lr,13,11,78,30,passive
1.01.0003,#Goneril_Lr,12,11,78,30,passive
1.01.0003,#Kent_Lr,13,11,78,30,passive
1.01.0003,#Lear_Lr,7,11,78,30,passive
1.01.0003,#Regan_Lr,12,11,78,30,passive
#Lear_Lr,1.01.0003,6,1,6,31,active
1.01.0003,#ATTENDANTS_Lr,14,1,6,31,passive
1.01.0003,#Albany_Lr,14,1,6,31,passive
1.01.0003,#Cordelia_Lr,8,1,6,31,passive
1.01.0003,#Cornwall_Lr,14,1,6,31,passive
1.01.0003,#Edmund_Lr,14,1,6,31,passive
1.01.0003,#Goneril_Lr,13,1,6,31,passive
1.01.0003,#Kent_Lr,14,1,6,31,passive
1.01.0003,#Regan_Lr,13,1,6,31,passive
#Cordelia_Lr,1.01.0003,6,1,4,32,active
1.01.0003,#ATTENDANTS_Lr,15,1,4,32,passive
1.01.0003,#Albany_Lr,15,1,4,32,passive
1.01.0003,#Cornwall_Lr,15,1,4,32,passive
1.01.0003,#Edmund_Lr,15,1,4,32,passive
1.01.0003,#Goneril_Lr,14,1,4,32,passive
1.01.0003,#Kent_Lr,15,1,4,32,passive
1.01.0003,#Lear_Lr,8,1,4,32,passive
1.01.0003,#Regan_Lr,14,1,4,32,passive
#Lear_Lr,1.01.0003,7,1,5,33,active
1.01.0003,#ATTENDANTS_Lr,16,1,5,33,passive
1.01.0003,#Albany_Lr,16,1,5,33,passive
1.01.0003,#Cordelia_Lr,9,1,5,33,passive
1.01.0003,#Cornwall_Lr,16,1,5,33,passive
1.01.0003,#Edmund_Lr,16,1,5,33,passive
1.01.0003,#Goneril_Lr,15,1,5,33,passive
1.01.0003,#Kent_Lr,16,1,5,33,passive
