node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#Berowne_LLL,#Dumaine_LLL,0,1,1,1,1434,184,1
#Berowne_LLL,#King_LLL,0,1,1,1,1434,184,1
#Berowne_LLL,#Longaville_LLL,0,1,1,1,1434,184,1
#Dumaine_LLL,#King_LLL,0,1,1,1,1434,184,1
#Dumaine_LLL,#Longaville_LLL,0,1,1,1,1434,184,1
#King_LLL,#Longaville_LLL,0,1,1,1,1434,184,1
#Berowne_LLL,#Costard_LLL,0,1,1,2,805,123,2
#Berowne_LLL,#Dull_LLL,0,1,1,2,805,123,2
#Berowne_LLL,#Dumaine_LLL,1,1,1,2,805,123,2
#Berowne_LLL,#King_LLL,1,1,1,2,805,123,2
#Berowne_LLL,#Longaville_LLL,1,1,1,2,805,123,2
#Costard_LLL,#Dull_LLL,0,1,1,2,805,123,2
#Dumaine_LLL,#Costard_LLL,0,1,1,2,805,123,2
#Dumaine_LLL,#Dull_LLL,0,1,1,2,805,123,2
#Dumaine_LLL,#King_LLL,1,1,1,2,805,123,2
#Dumaine_LLL,#Longaville_LLL,1,1,1,2,805,123,2
#King_LLL,#Costard_LLL,0,1,1,2,805,123,2
#King_LLL,#Dull_LLL,0,1,1,2,805,123,2
#King_LLL,#Longaville_LLL,1,1,1,2,805,123,2
#Longaville_LLL,#Costard_LLL,0,1,1,2,805,123,2
#Longaville_LLL,#Dull_LLL,0,1,1,2,805,123,2
#Berowne_LLL,#Costard_LLL,1,1,1,3,62,8,3
#Berowne_LLL,#Dull_LLL,1,1,1,3,62,8,3
#Costard_LLL,#Dull_LLL,1,1,1,3,62,8,3
#Armado_LLL,#Boy_LLL,0,1,2,4,824,125,4
#Armado_LLL,#Boy_LLL,1,1,2,5,103,20,5
#Armado_LLL,#Jaquenetta_LLL,0,1,2,5,103,20,5
#Boy_LLL,#Jaquenetta_LLL,0,1,2,5,103,20,5
#Costard_LLL,#Armado_LLL,0,1,2,5,103,20,5
#Costard_LLL,#Boy_LLL,0,1,2,5,103,20,5
#Costard_LLL,#Dull_LLL,2,1,2,5,103,20,5
#Costard_LLL,#Jaquenetta_LLL,0,1,2,5,103,20,5
#Dull_LLL,#Armado_LLL,0,1,2,5,103,20,5
#Dull_LLL,#Boy_LLL,0,1,2,5,103,20,5
#Dull_LLL,#Jaquenetta_LLL,0,1,2,5,103,20,5
#Armado_LLL,#Boy_LLL,2,1,2,6,148,21,6
#Costard_LLL,#Armado_LLL,1,1,2,6,148,21,6
#Costard_LLL,#Boy_LLL,1,1,2,6,148,21,6
