act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#Berowne_LLL,897,113,1434,184
1,1,1,#Dumaine_LLL,50,8,1434,184
1,1,1,#King_LLL,401,52,1434,184
1,1,1,#Longaville_LLL,86,11,1434,184
1,1,2,#Berowne_LLL,79,14,805,123
1,1,2,#Costard_LLL,236,38,805,123
1,1,2,#Dull_LLL,53,8,805,123
1,1,2,#King_LLL,414,59,805,123
1,1,2,#Longaville_LLL,23,4,805,123
1,1,3,#Berowne_LLL,20,3,62,8
1,1,3,#Costard_LLL,42,5,62,8
1,2,4,#Armado_LLL,410,64,824,125
1,2,4,#Boy_LLL,414,61,824,125
1,2,5,#Armado_LLL,31,7,103,20
1,2,5,#Dull_LLL,52,7,103,20
1,2,5,#Jaquenetta_LLL,20,6,103,20
1,2,6,#Armado_LLL,23,4,148,21
1,2,6,#Boy_LLL,20,4,148,21
1,2,6,#Costard_LLL,105,13,148,21
1,2,7,#Armado_LLL,181,19,181,19
2,1,8,#Boyet_LLL,94,13,266,36
2,1,8,#Princess_LLL,172,23,266,36
2,1,9,#Princess_LLL,14,2,14,2
2,1,10,#Katherine_LLL,67,8,316,43
2,1,10,#LORDS.0_LLL,7,2,316,43
2,1,10,#Maria_LLL,102,13,316,43
2,1,10,#Princess_LLL,46,7,316,43
2,1,10,#Rosaline_LLL,94,13,316,43
2,1,11,#Boyet_LLL,63,8,67,9
2,1,11,#Princess_LLL,4,1,67,9
2,1,12,#Berowne_LLL,49,8,683,94
2,1,12,#Boyet_LLL,27,4,683,94
2,1,12,#King_LLL,352,47,683,94
2,1,12,#Princess_LLL,201,27,683,94
2,1,12,#Rosaline_LLL,54,8,683,94
2,1,13,#Berowne_LLL,40,8,74,15
2,1,13,#Rosaline_LLL,34,7,74,15
2,1,14,#Boyet_LLL,7,1,25,3
2,1,14,#Dumaine_LLL,18,2,25,3
2,1,15,#Boyet_LLL,44,7,85,13
2,1,15,#Longaville_LLL,41,6,85,13
2,1,16,#Berowne_LLL,16,3,34,6
2,1,16,#Boyet_LLL,18,3,34,6
2,1,17,#Boyet_LLL,262,36,395,56
2,1,17,#Katherine_LLL,41,6,395,56
2,1,17,#Maria_LLL,31,5,395,56
2,1,17,#Princess_LLL,49,7,395,56
2,1,17,#Rosaline_LLL,12,2,395,56
3,1,18,#Armado_LLL,134,25,463,69
3,1,18,#Boy_LLL,329,44,463,69
3,1,19,#Armado_LLL,31,4,31,4
3,1,20,#Armado_LLL,214,32,478,68
3,1,20,#Boy_LLL,103,15,478,68
3,1,20,#Costard_LLL,161,21,478,68
3,1,21,#Boy_LLL,7,1,7,1
3,1,22,#Costard_LLL,66,8,66,8
3,1,23,#Berowne_LLL,119,20,201,33
3,1,23,#Costard_LLL,82,13,201,33
3,1,24,#Berowne_LLL,248,32,248,32
4,1,25,#Boyet_LLL,21,3,332,42
4,1,25,#Forester_LLL,45,6,332,42
4,1,25,#Princess_LLL,266,33,332,42
4,1,26,#Boyet_LLL,351,43,581,80
4,1,26,#Costard_LLL,100,17,581,80
4,1,26,#Princess_LLL,130,20,581,80
4,1,27,#Boyet_LLL,89,12,180,26
4,1,27,#Maria_LLL,12,2,180,26
4,1,27,#Rosaline_LLL,79,12,180,26
4,1,28,#Boyet_LLL,49,6,123,16
4,1,28,#Costard_LLL,43,6,123,16
4,1,28,#Maria_LLL,31,4,123,16
4,1,29,#Costard_LLL,99,14,99,14
4,2,30,#Dull_LLL,102,14,698,98
4,2,30,#Holofernes_LLL,372,55,698,98
4,2,30,#Nathaniel_LLL,224,29,698,98
4,2,31,#Costard_LLL,15,3,527,73
4,2,31,#Holofernes_LLL,313,41,527,73
4,2,31,#Jaquenetta_LLL,57,10,527,73
4,2,31,#Nathaniel_LLL,142,19,527,73
4,2,32,#Holofernes_LLL,128,15,165,20
4,2,32,#Nathaniel_LLL,37,5,165,20
4,3,33,#Berowne_LLL,207,19,207,19
4,3,34,#Berowne_LLL,20,3,181,22
4,3,34,#King_LLL,161,19,181,22
4,3,35,#Berowne_LLL,95,13,275,37
4,3,35,#King_LLL,14,2,275,37
4,3,35,#Longaville_LLL,166,22,275,37
4,3,36,#Berowne_LLL,399,51,844,117
4,3,36,#Dumaine_LLL,224,35,844,117
4,3,36,#King_LLL,187,26,844,117
4,3,36,#Longaville_LLL,34,5,844,117
4,3,37,#Berowne_LLL,91,13,226,37
4,3,37,#Costard_LLL,23,4,226,37
4,3,37,#Dumaine_LLL,14,2,226,37
4,3,37,#Jaquenetta_LLL,23,4,226,37
4,3,37,#King_LLL,64,12,226,37
4,3,37,#Longaville_LLL,11,2,226,37
4,3,38,#Berowne_LLL,892,115,1163,148
4,3,38,#Dumaine_LLL,54,7,1163,148
4,3,38,#King_LLL,167,20,1163,148
4,3,38,#Longaville_LLL,50,6,1163,148
5,1,39,#Holofernes_LLL,147,21,210,31
5,1,39,#Nathaniel_LLL,63,10,210,31
5,1,40,#Armado_LLL,345,45,878,125
5,1,40,#Boy_LLL,145,21,878,125
5,1,40,#Costard_LLL,111,13,878,125
5,1,40,#Dull_LLL,29,4,878,125
5,1,40,#Holofernes_LLL,235,39,878,125
5,1,40,#Nathaniel_LLL,13,3,878,125
5,2,41,#Katherine_LLL,124,17,645,83
5,2,41,#Maria_LLL,59,7,645,83
5,2,41,#Princess_LLL,184,24,645,83
5,2,41,#Rosaline_LLL,278,35,645,83
5,2,42,#Boyet_LLL,355,47,637,81
5,2,42,#Katherine_LLL,8,1,637,81
5,2,42,#Princess_LLL,255,31,637,81
5,2,42,#Rosaline_LLL,19,2,637,81
5,2,43,#Berowne_LLL,16,3,102,17
5,2,43,#Boy_LLL,63,10,102,17
5,2,43,#Boyet_LLL,23,4,102,17
5,2,44,#Berowne_LLL,98,15,749,110
5,2,44,#Boyet_LLL,111,18,749,110
5,2,44,#Dumaine_LLL,22,4,749,110
5,2,44,#Katherine_LLL,63,8,749,110
5,2,44,#King_LLL,139,19,749,110
5,2,44,#Longaville_LLL,58,8,749,110
5,2,44,#Maria_LLL,13,3,749,110
5,2,44,#Princess_LLL,28,5,749,110
5,2,44,#Rosaline_LLL,217,30,749,110
5,2,45,#Boyet_LLL,95,14,351,50
5,2,45,#Katherine_LLL,26,4,351,50
5,2,45,#Maria_LLL,26,4,351,50
5,2,45,#Princess_LLL,102,15,351,50
5,2,45,#Rosaline_LLL,102,13,351,50
5,2,46,#Boyet_LLL,25,3,41,5
5,2,46,#King_LLL,16,2,41,5
5,2,47,#Berowne_LLL,167,20,184,22
5,2,47,#King_LLL,17,2,184,22
5,2,48,#Berowne_LLL,552,73,1213,162
5,2,48,#Boyet_LLL,10,2,1213,162
5,2,48,#Dumaine_LLL,9,1,1213,162
5,2,48,#King_LLL,150,21,1213,162
5,2,48,#Princess_LLL,262,35,1213,162
5,2,48,#Rosaline_LLL,230,30,1213,162
5,2,49,#Berowne_LLL,45,9,208,30
5,2,49,#Costard_LLL,163,21,208,30
5,2,50,#Berowne_LLL,28,4,94,13
5,2,50,#King_LLL,15,3,94,13
5,2,50,#Princess_LLL,51,6,94,13
5,2,51,#Armado_LLL,64,9,82,12
5,2,51,#Berowne_LLL,3,1,82,12
5,2,51,#Princess_LLL,15,2,82,12
5,2,52,#Berowne_LLL,39,5,106,15
5,2,52,#King_LLL,67,10,106,15
5,2,53,#Berowne_LLL,27,5,125,23
5,2,53,#Boyet_LLL,5,1,125,23
5,2,53,#Costard_LLL,87,15,125,23
5,2,53,#Dumaine_LLL,2,1,125,23
5,2,53,#Princess_LLL,4,1,125,23
5,2,54,#Berowne_LLL,19,5,142,24
5,2,54,#Boyet_LLL,20,3,142,24
5,2,54,#Costard_LLL,55,7,142,24
5,2,54,#Nathaniel_LLL,41,7,142,24
5,2,54,#Princess_LLL,7,2,142,24
5,2,55,#Costard_LLL,54,6,54,6
5,2,56,#Berowne_LLL,78,14,279,49
5,2,56,#Boyet_LLL,42,7,279,49
5,2,56,#Dumaine_LLL,39,7,279,49
5,2,56,#Holofernes_LLL,107,18,279,49
5,2,56,#Longaville_LLL,9,2,279,49
5,2,56,#Princess_LLL,4,1,279,49
5,2,57,#Princess_LLL,8,1,8,1
5,2,58,#Armado_LLL,164,27,512,86
5,2,58,#Berowne_LLL,60,11,512,86
5,2,58,#Boy_LLL,26,4,512,86
5,2,58,#Boyet_LLL,54,8,512,86
5,2,58,#Costard_LLL,91,12,512,86
5,2,58,#Dumaine_LLL,70,16,512,86
5,2,58,#King_LLL,16,2,512,86
5,2,58,#Longaville_LLL,24,5,512,86
5,2,58,#Princess_LLL,7,1,512,86
5,2,59,#Armado_LLL,29,3,76,11
5,2,59,#Berowne_LLL,7,1,76,11
5,2,59,#Marcade_LLL,28,4,76,11
5,2,59,#Princess_LLL,12,3,76,11
5,2,60,#Berowne_LLL,283,37,1155,152
5,2,60,#Dumaine_LLL,37,5,1155,152
5,2,60,#Katherine_LLL,59,7,1155,152
5,2,60,#King_LLL,171,23,1155,152
5,2,60,#Longaville_LLL,16,3,1155,152
5,2,60,#Maria_LLL,21,3,1155,152
5,2,60,#Princess_LLL,354,47,1155,152
5,2,60,#Rosaline_LLL,214,27,1155,152
5,2,61,#Armado_LLL,68,9,85,12
5,2,61,#Dumaine_LLL,5,1,85,12
5,2,61,#King_LLL,8,1,85,12
5,2,61,#Princess_LLL,4,1,85,12
5,2,62,#Armado_LLL,22,3,22,3
5,2,63,#Spring_LLL,96,18,96,18
5,2,64,#Armado_LLL,17,2,122,18
