node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#Armado_LLL,4101,1733,611,253
#BLACKAMOORS_LLL,851,0,127,0
#Berowne_LLL,11892,4594,1664,618
#Boy_LLL,4118,1107,632,160
#Boyet_LLL,9104,1765,1294,243
#Costard_LLL,6128,1533,922,216
#Dull_LLL,3448,236,498,33
#Dumaine_LLL,10635,544,1495,89
#Forester_LLL,913,45,122,6
#Holofernes_LLL,2997,1302,435,189
#Jaquenetta_LLL,856,100,130,20
#Katherine_LLL,9735,388,1375,51
#King_LLL,11066,2359,1551,320
#LORDS.0_LLL,1679,7,239,2
#LORDS_LLL,2259,0,306,0
#Longaville_LLL,10970,518,1542,74
#MUSICIANS_LLL,851,0,127,0
#Marcade_LLL,1556,28,214,4
#Maria_LLL,10038,295,1417,41
#Nathaniel_LLL,2860,520,410,73
#Princess_LLL,9735,2179,1375,295
#Rosaline_LLL,9915,1333,1401,179
#Spring_LLL,218,96,36,18
#Winter_LLL,122,105,18,16
