node1,node2,n_lines,n_tokens
#Berowne_LLL,1.01,315,2301
#Costard_LLL,1.01,315,2301
#Dull_LLL,1.01,315,2301
#Dumaine_LLL,1.01,315,2301
#King_LLL,1.01,315,2301
#Longaville_LLL,1.01,315,2301
#Armado_LLL,1.02,185,1256
#Boy_LLL,1.02,185,1256
#Costard_LLL,1.02,185,1256
#Dull_LLL,1.02,185,1256
#Jaquenetta_LLL,1.02,185,1256
#Berowne_LLL,2.01,277,1959
#Boyet_LLL,2.01,277,1959
#Dumaine_LLL,2.01,277,1959
#Katherine_LLL,2.01,277,1959
#King_LLL,2.01,277,1959
#LORDS.0_LLL,2.01,277,1959
#LORDS_LLL,2.01,277,1959
#Longaville_LLL,2.01,277,1959
#Maria_LLL,2.01,277,1959
#Princess_LLL,2.01,277,1959
#Rosaline_LLL,2.01,277,1959
#Armado_LLL,3.01,215,1494
#Berowne_LLL,3.01,215,1494
#Boy_LLL,3.01,215,1494
#Costard_LLL,3.01,215,1494
#Boyet_LLL,4.01,178,1315
#Costard_LLL,4.01,178,1315
#Forester_LLL,4.01,178,1315
#Katherine_LLL,4.01,178,1315
#LORDS_LLL,4.01,178,1315
#Maria_LLL,4.01,178,1315
#Princess_LLL,4.01,178,1315
#Rosaline_LLL,4.01,178,1315
#Costard_LLL,4.02,191,1390
#Dull_LLL,4.02,191,1390
#Holofernes_LLL,4.02,191,1390
#Jaquenetta_LLL,4.02,191,1390
#Nathaniel_LLL,4.02,191,1390
#Berowne_LLL,4.03,380,2896
#Costard_LLL,4.03,380,2896
#Dumaine_LLL,4.03,380,2896
#Jaquenetta_LLL,4.03,380,2896
#King_LLL,4.03,380,2896
#Longaville_LLL,4.03,380,2896
#Armado_LLL,5.01,156,1088
#Boy_LLL,5.01,156,1088
#Costard_LLL,5.01,156,1088
#Dull_LLL,5.01,156,1088
#Holofernes_LLL,5.01,156,1088
#Nathaniel_LLL,5.01,156,1088
#Armado_LLL,5.02,1003,7088
#BLACKAMOORS_LLL,5.02,1003,7088
#Berowne_LLL,5.02,1003,7088
#Boy_LLL,5.02,1003,7088
#Boyet_LLL,5.02,1003,7088
#Costard_LLL,5.02,1003,7088
#Dumaine_LLL,5.02,1003,7088
#Holofernes_LLL,5.02,1003,7088
#Katherine_LLL,5.02,1003,7088
#King_LLL,5.02,1003,7088
#Longaville_LLL,5.02,1003,7088
#MUSICIANS_LLL,5.02,1003,7088
#Marcade_LLL,5.02,1003,7088
#Maria_LLL,5.02,1003,7088
#Nathaniel_LLL,5.02,1003,7088
#Princess_LLL,5.02,1003,7088
#Rosaline_LLL,5.02,1003,7088
#Spring_LLL,5.02,1003,7088
#Winter_LLL,5.02,1003,7088
