source,target,key,n_lines,n_tokens,edge_index,edge_type
#King_LLL,1.01.0001,0,24,178,1,active
1.01.0001,#Berowne_LLL,0,24,178,1,passive
1.01.0001,#Dumaine_LLL,0,24,178,1,passive
1.01.0001,#Longaville_LLL,0,24,178,1,passive
#Longaville_LLL,1.01.0001,0,4,34,2,active
1.01.0001,#Berowne_LLL,1,4,34,2,passive
1.01.0001,#Dumaine_LLL,1,4,34,2,passive
1.01.0001,#King_LLL,0,4,34,2,passive
#Dumaine_LLL,1.01.0001,0,5,37,3,active
1.01.0001,#Berowne_LLL,2,5,37,3,passive
1.01.0001,#King_LLL,1,5,37,3,passive
1.01.0001,#Longaville_LLL,1,5,37,3,passive
#Berowne_LLL,1.01.0001,0,16,138,4,active
1.01.0001,#Dumaine_LLL,2,16,138,4,passive
1.01.0001,#King_LLL,2,16,138,4,passive
1.01.0001,#Longaville_LLL,2,16,138,4,passive
#King_LLL,1.01.0001,1,1,9,5,active
1.01.0001,#Berowne_LLL,3,1,9,5,passive
1.01.0001,#Dumaine_LLL,3,1,9,5,passive
1.01.0001,#Longaville_LLL,3,1,9,5,passive
#Berowne_LLL,1.01.0001,1,3,28,6,active
1.01.0001,#Dumaine_LLL,4,3,28,6,passive
1.01.0001,#King_LLL,3,3,28,6,passive
1.01.0001,#Longaville_LLL,4,3,28,6,passive
#Longaville_LLL,1.01.0001,1,1,9,7,active
1.01.0001,#Berowne_LLL,4,1,9,7,passive
1.01.0001,#Dumaine_LLL,5,1,9,7,passive
1.01.0001,#King_LLL,4,1,9,7,passive
#Berowne_LLL,1.01.0001,2,2,19,8,active
1.01.0001,#Dumaine_LLL,6,2,19,8,passive
1.01.0001,#King_LLL,5,2,19,8,passive
1.01.0001,#Longaville_LLL,5,2,19,8,passive
#King_LLL,1.01.0001,2,1,10,9,active
1.01.0001,#Berowne_LLL,5,1,10,9,passive
1.01.0001,#Dumaine_LLL,7,1,10,9,passive
1.01.0001,#Longaville_LLL,6,1,10,9,passive
#Berowne_LLL,1.01.0001,3,2,9,10,active
1.01.0001,#Dumaine_LLL,8,2,9,10,passive
1.01.0001,#King_LLL,6,2,9,10,passive
1.01.0001,#Longaville_LLL,7,2,9,10,passive
#King_LLL,1.01.0001,3,1,6,11,active
1.01.0001,#Berowne_LLL,6,1,6,11,passive
1.01.0001,#Dumaine_LLL,9,1,6,11,passive
1.01.0001,#Longaville_LLL,8,1,6,11,passive
#Berowne_LLL,1.01.0001,4,11,92,12,active
1.01.0001,#Dumaine_LLL,10,11,92,12,passive
1.01.0001,#King_LLL,7,11,92,12,passive
1.01.0001,#Longaville_LLL,9,11,92,12,passive
#King_LLL,1.01.0001,4,2,15,13,active
1.01.0001,#Berowne_LLL,7,2,15,13,passive
1.01.0001,#Dumaine_LLL,11,2,15,13,passive
1.01.0001,#Longaville_LLL,10,2,15,13,passive
#Berowne_LLL,1.01.0001,5,22,176,14,active
1.01.0001,#Dumaine_LLL,12,22,176,14,passive
1.01.0001,#King_LLL,8,22,176,14,passive
1.01.0001,#Longaville_LLL,11,22,176,14,passive
#King_LLL,1.01.0001,5,1,8,15,active
1.01.0001,#Berowne_LLL,8,1,8,15,passive
1.01.0001,#Dumaine_LLL,13,1,8,15,passive
1.01.0001,#Longaville_LLL,12,1,8,15,passive
#Dumaine_LLL,1.01.0001,1,1,7,16,active
1.01.0001,#Berowne_LLL,9,1,7,16,passive
1.01.0001,#King_LLL,9,1,7,16,passive
1.01.0001,#Longaville_LLL,13,1,7,16,passive
#Longaville_LLL,1.01.0001,2,1,10,17,active
1.01.0001,#Berowne_LLL,10,1,10,17,passive
1.01.0001,#Dumaine_LLL,14,1,10,17,passive
1.01.0001,#King_LLL,10,1,10,17,passive
#Berowne_LLL,1.01.0001,6,1,9,18,active
1.01.0001,#Dumaine_LLL,15,1,9,18,passive
1.01.0001,#King_LLL,11,1,9,18,passive
1.01.0001,#Longaville_LLL,14,1,9,18,passive
#Dumaine_LLL,1.01.0001,2,1,3,19,active
1.01.0001,#Berowne_LLL,11,1,3,19,passive
1.01.0001,#King_LLL,12,1,3,19,passive
1.01.0001,#Longaville_LLL,15,1,3,19,passive
#Berowne_LLL,1.01.0001,7,1,6,20,active
1.01.0001,#Dumaine_LLL,16,1,6,20,passive
1.01.0001,#King_LLL,13,1,6,20,passive
1.01.0001,#Longaville_LLL,16,1,6,20,passive
#Dumaine_LLL,1.01.0001,3,1,3,21,active
1.01.0001,#Berowne_LLL,12,1,3,21,passive
1.01.0001,#King_LLL,14,1,3,21,passive
1.01.0001,#Longaville_LLL,17,1,3,21,passive
#Berowne_LLL,1.01.0001,8,1,4,22,active
1.01.0001,#Dumaine_LLL,17,1,4,22,passive
1.01.0001,#King_LLL,15,1,4,22,passive
1.01.0001,#Longaville_LLL,18,1,4,22,passive
#King_LLL,1.01.0001,6,2,15,23,active
1.01.0001,#Berowne_LLL,13,2,15,23,passive
1.01.0001,#Dumaine_LLL,18,2,15,23,passive
1.01.0001,#Longaville_LLL,19,2,15,23,passive
#Berowne_LLL,1.01.0001,9,8,68,24,active
1.01.0001,#Dumaine_LLL,19,8,68,24,passive
1.01.0001,#King_LLL,16,8,68,24,passive
1.01.0001,#Longaville_LLL,20,8,68,24,passive
#King_LLL,1.01.0001,7,1,8,25,active
1.01.0001,#Berowne_LLL,14,1,8,25,passive
1.01.0001,#Dumaine_LLL,20,1,8,25,passive
1.01.0001,#Longaville_LLL,21,1,8,25,passive
#Berowne_LLL,1.01.0001,10,7,62,26,active
1.01.0001,#Dumaine_LLL,21,7,62,26,passive
1.01.0001,#King_LLL,17,7,62,26,passive
1.01.0001,#Longaville_LLL,22,7,62,26,passive
#King_LLL,1.01.0001,8,1,8,27,active
1.01.0001,#Berowne_LLL,15,1,8,27,passive
1.01.0001,#Dumaine_LLL,22,1,8,27,passive
1.01.0001,#Longaville_LLL,23,1,8,27,passive
#Berowne_LLL,1.01.0001,11,2,16,28,active
1.01.0001,#Dumaine_LLL,23,2,16,28,passive
1.01.0001,#King_LLL,18,2,16,28,passive
1.01.0001,#Longaville_LLL,24,2,16,28,passive
#Longaville_LLL,1.01.0001,3,1,3,29,active
1.01.0001,#Berowne_LLL,16,1,3,29,passive
1.01.0001,#Dumaine_LLL,24,1,3,29,passive
1.01.0001,#King_LLL,19,1,3,29,passive
#Berowne_LLL,1.01.0001,12,2,14,30,active
1.01.0001,#Dumaine_LLL,25,2,14,30,passive
1.01.0001,#King_LLL,20,2,14,30,passive
1.01.0001,#Longaville_LLL,25,2,14,30,passive
#Longaville_LLL,1.01.0001,4,1,4,31,active
1.01.0001,#Berowne_LLL,17,1,4,31,passive
1.01.0001,#Dumaine_LLL,26,1,4,31,passive
1.01.0001,#King_LLL,21,1,4,31,passive
#Berowne_LLL,1.01.0001,13,1,4,32,active
1.01.0001,#Dumaine_LLL,27,1,4,32,passive
