node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#WITCHES.1_Mac,#WITCHES.2_Mac,0,1,1,1,61,13,1
#WITCHES.1_Mac,#WITCHES.3_Mac,0,1,1,1,61,13,1
#WITCHES.2_Mac,#WITCHES.3_Mac,0,1,1,1,61,13,1
#ATTENDANTS_Mac,#Donalbain_Mac,0,1,2,2,318,48,2
#ATTENDANTS_Mac,#Duncan_Mac,0,1,2,2,318,48,2
#ATTENDANTS_Mac,#Lennox_Mac,0,1,2,2,318,48,2
#ATTENDANTS_Mac,#Malcolm_Mac,0,1,2,2,318,48,2
#ATTENDANTS_Mac,#SOLDIERS.Captain_Mac,0,1,2,2,318,48,2
#Donalbain_Mac,#Duncan_Mac,0,1,2,2,318,48,2
#Donalbain_Mac,#Lennox_Mac,0,1,2,2,318,48,2
#Donalbain_Mac,#Malcolm_Mac,0,1,2,2,318,48,2
#Donalbain_Mac,#SOLDIERS.Captain_Mac,0,1,2,2,318,48,2
#Duncan_Mac,#Lennox_Mac,0,1,2,2,318,48,2
#Duncan_Mac,#Malcolm_Mac,0,1,2,2,318,48,2
#Duncan_Mac,#SOLDIERS.Captain_Mac,0,1,2,2,318,48,2
#Lennox_Mac,#Malcolm_Mac,0,1,2,2,318,48,2
#Lennox_Mac,#SOLDIERS.Captain_Mac,0,1,2,2,318,48,2
#Malcolm_Mac,#SOLDIERS.Captain_Mac,0,1,2,2,318,48,2
#ATTENDANTS_Mac,#Angus_Mac,0,1,2,3,167,30,3
#ATTENDANTS_Mac,#Donalbain_Mac,1,1,2,3,167,30,3
#ATTENDANTS_Mac,#Duncan_Mac,1,1,2,3,167,30,3
#ATTENDANTS_Mac,#Lennox_Mac,1,1,2,3,167,30,3
#ATTENDANTS_Mac,#Malcolm_Mac,1,1,2,3,167,30,3
#ATTENDANTS_Mac,#Ross_Mac,0,1,2,3,167,30,3
#Angus_Mac,#Ross_Mac,0,1,2,3,167,30,3
#Donalbain_Mac,#Angus_Mac,0,1,2,3,167,30,3
#Donalbain_Mac,#Duncan_Mac,1,1,2,3,167,30,3
#Donalbain_Mac,#Lennox_Mac,1,1,2,3,167,30,3
#Donalbain_Mac,#Malcolm_Mac,1,1,2,3,167,30,3
#Donalbain_Mac,#Ross_Mac,0,1,2,3,167,30,3
#Duncan_Mac,#Angus_Mac,0,1,2,3,167,30,3
#Duncan_Mac,#Lennox_Mac,1,1,2,3,167,30,3
#Duncan_Mac,#Malcolm_Mac,1,1,2,3,167,30,3
#Duncan_Mac,#Ross_Mac,0,1,2,3,167,30,3
#Lennox_Mac,#Angus_Mac,0,1,2,3,167,30,3
#Lennox_Mac,#Malcolm_Mac,1,1,2,3,167,30,3
#Lennox_Mac,#Ross_Mac,0,1,2,3,167,30,3
#Malcolm_Mac,#Angus_Mac,0,1,2,3,167,30,3
#Malcolm_Mac,#Ross_Mac,0,1,2,3,167,30,3
#WITCHES.1_Mac,#WITCHES.2_Mac,1,1,3,4,206,38,4
#WITCHES.1_Mac,#WITCHES.3_Mac,1,1,3,4,206,38,4
#WITCHES.2_Mac,#WITCHES.3_Mac,1,1,3,4,206,38,4
#Banquo_Mac,#Macbeth_Mac,0,1,3,5,315,43,5
#WITCHES.1_Mac,#Banquo_Mac,0,1,3,5,315,43,5
#WITCHES.1_Mac,#Macbeth_Mac,0,1,3,5,315,43,5
#WITCHES.1_Mac,#WITCHES.2_Mac,2,1,3,5,315,43,5
#WITCHES.1_Mac,#WITCHES.3_Mac,2,1,3,5,315,43,5
#WITCHES.2_Mac,#Banquo_Mac,0,1,3,5,315,43,5
#WITCHES.2_Mac,#Macbeth_Mac,0,1,3,5,315,43,5
