node1,node2,count
#ATTENDANTS_Mac,#Angus_Mac,5
#ATTENDANTS_Mac,#Doctor2_Mac,4
#ATTENDANTS_Mac,#Donalbain_Mac,7
#ATTENDANTS_Mac,#Duncan_Mac,7
#ATTENDANTS_Mac,#LadyMacbeth_Mac,10
#ATTENDANTS_Mac,#Lennox_Mac,16
#ATTENDANTS_Mac,#MURDERERS.1_Mac,1
#ATTENDANTS_Mac,#Macduff_Mac,3
#ATTENDANTS_Mac,#Malcolm_Mac,9
#ATTENDANTS_Mac,#Ross_Mac,16
#ATTENDANTS_Mac,#SERVANTS.X.2_Mac,2
#ATTENDANTS_Mac,#SERVANTS.X.4_Mac,1
#ATTENDANTS_Mac,#SOLDIERS.Captain_Mac,1
#ATTENDANTS_Mac,#SOLDIERS.MALCOLM_Mac,2
#ATTENDANTS_Mac,#Seyton_Mac,1
#ATTENDANTS_Mac,#Siward_Mac,2
#Angus_Mac,#Caithness_Mac,4
#Angus_Mac,#LadyMacbeth_Mac,1
#Angus_Mac,#Macduff_Mac,5
#Angus_Mac,#Menteith_Mac,4
#Angus_Mac,#Ross_Mac,6
#Angus_Mac,#SOLDIERS.MALCOLM.0.1_Mac,1
#Angus_Mac,#SOLDIERS.MALCOLM_Mac,4
#Angus_Mac,#Siward_Mac,3
#Angus_Mac,#YoungSiward_Mac,3
#Banquo_Mac,#ATTENDANTS_Mac,7
#Banquo_Mac,#Angus_Mac,5
#Banquo_Mac,#Donalbain_Mac,6
#Banquo_Mac,#Duncan_Mac,4
#Banquo_Mac,#Fleance_Mac,3
#Banquo_Mac,#LadyMacbeth_Mac,7
#Banquo_Mac,#Lennox_Mac,10
#Banquo_Mac,#MURDERERS.1_Mac,3
#Banquo_Mac,#MURDERERS.2_Mac,3
#Banquo_Mac,#MURDERERS.3_Mac,3
#Banquo_Mac,#Macbeth_Mac,12
#Banquo_Mac,#Macduff_Mac,6
#Banquo_Mac,#Malcolm_Mac,6
#Banquo_Mac,#Ross_Mac,11
#Banquo_Mac,#SERVANTS.X.1_Mac,1
#Banquo_Mac,#SERVANTS.X.2_Mac,1
#Banquo_Mac,#SPIRITS.KINGS_Mac,1
#Caithness_Mac,#Menteith_Mac,4
#Caithness_Mac,#SOLDIERS.MALCOLM.0.1_Mac,1
#Caithness_Mac,#YoungSiward_Mac,3
#Doctor2_Mac,#Gentlewoman_Mac,3
#Doctor2_Mac,#SERVANTS.X.4_Mac,1
#Doctor2_Mac,#Seyton_Mac,1
#Donalbain_Mac,#Angus_Mac,5
#Donalbain_Mac,#Duncan_Mac,7
#Donalbain_Mac,#LadyMacbeth_Mac,2
#Donalbain_Mac,#Lennox_Mac,9
#Donalbain_Mac,#Macduff_Mac,4
#Donalbain_Mac,#Malcolm_Mac,10
#Donalbain_Mac,#Ross_Mac,7
#Donalbain_Mac,#SOLDIERS.Captain_Mac,1
#Duncan_Mac,#Angus_Mac,5
#Duncan_Mac,#LadyMacbeth_Mac,1
#Duncan_Mac,#Lennox_Mac,7
#Duncan_Mac,#Macduff_Mac,2
#Duncan_Mac,#Malcolm_Mac,7
#Duncan_Mac,#Ross_Mac,5
#Duncan_Mac,#SOLDIERS.Captain_Mac,1
#Fleance_Mac,#MURDERERS.2_Mac,1
#Fleance_Mac,#MURDERERS.3_Mac,1
#Fleance_Mac,#SERVANTS.X.1_Mac,1
#LadyMacbeth_Mac,#Doctor2_Mac,1
#LadyMacbeth_Mac,#Gentlewoman_Mac,1
#LadyMacbeth_Mac,#MESSENGERS.1_Mac,1
#LadyMacbeth_Mac,#MURDERERS.1_Mac,1
#LadyMacbeth_Mac,#SERVANTS.X.2_Mac,2
#LadyMacbeth_Mac,#SERVANTS.X.3_Mac,1
#LadyMacduff_Mac,#MESSENGERS.2_Mac,1
#LadyMacduff_Mac,#MURDERERS.0.1_Mac,1
#LadyMacduff_Mac,#MURDERERS_Mac,2
#LadyMacduff_Mac,#MacduffsSon_Mac,6
#Lennox_Mac,#Angus_Mac,6
#Lennox_Mac,#Caithness_Mac,1
#Lennox_Mac,#LadyMacbeth_Mac,12
#Lennox_Mac,#Lord_Mac,1
#Lennox_Mac,#MURDERERS.1_Mac,1
#Lennox_Mac,#Macduff_Mac,9
#Lennox_Mac,#Malcolm_Mac,9
#Lennox_Mac,#Menteith_Mac,1
#Lennox_Mac,#Porter_Mac,2
#Lennox_Mac,#Ross_Mac,17
#Lennox_Mac,#SERVANTS.X.2_Mac,2
#Lennox_Mac,#SOLDIERS.Captain_Mac,1
#Lennox_Mac,#SOLDIERS.MALCOLM_Mac,1
#MURDERERS.1_Mac,#Fleance_Mac,1
#MURDERERS.1_Mac,#MURDERERS.2_Mac,6
#MURDERERS.1_Mac,#MURDERERS.3_Mac,4
#MURDERERS.2_Mac,#MURDERERS.3_Mac,4
#MURDERERS_Mac,#MURDERERS.0.1_Mac,1
#Macbeth_Mac,#ATTENDANTS_Mac,14
#Macbeth_Mac,#Angus_Mac,2
#Macbeth_Mac,#Doctor2_Mac,4
#Macbeth_Mac,#Donalbain_Mac,3
#Macbeth_Mac,#Duncan_Mac,1
#Macbeth_Mac,#Fleance_Mac,1
#Macbeth_Mac,#LadyMacbeth_Mac,17
#Macbeth_Mac,#Lennox_Mac,18
#Macbeth_Mac,#MESSENGERS.3_Mac,1
#Macbeth_Mac,#MURDERERS.1_Mac,3
#Macbeth_Mac,#MURDERERS.2_Mac,2
#Macbeth_Mac,#Macduff_Mac,7
#Macbeth_Mac,#Malcolm_Mac,3
#Macbeth_Mac,#Porter_Mac,1
#Macbeth_Mac,#Ross_Mac,14
#Macbeth_Mac,#SERVANTS.X.1_Mac,2
#Macbeth_Mac,#SERVANTS.X.2_Mac,4
#Macbeth_Mac,#SERVANTS.X.4_Mac,1
#Macbeth_Mac,#SOLDIERS.MACBETH_Mac,4
#Macbeth_Mac,#SPIRITS.1_Mac,1
#Macbeth_Mac,#SPIRITS.2_Mac,1
#Macbeth_Mac,#SPIRITS.3_Mac,1
#Macbeth_Mac,#SPIRITS.KINGS_Mac,1
#Macbeth_Mac,#Seyton_Mac,4
#Macbeth_Mac,#YoungSiward_Mac,1
#Macduff_Mac,#Caithness_Mac,3
#Macduff_Mac,#Doctor1_Mac,1
#Macduff_Mac,#LadyMacbeth_Mac,5
#Macduff_Mac,#Menteith_Mac,3
#Macduff_Mac,#OldMan_Mac,1
#Macduff_Mac,#Porter_Mac,2
#Macduff_Mac,#SOLDIERS.MALCOLM.0.1_Mac,1
#Macduff_Mac,#SOLDIERS.MALCOLM_Mac,4
#Macduff_Mac,#Siward_Mac,4
#Macduff_Mac,#YoungSiward_Mac,3
#MacduffsSon_Mac,#MESSENGERS.2_Mac,1
#MacduffsSon_Mac,#MURDERERS.0.1_Mac,1
#MacduffsSon_Mac,#MURDERERS_Mac,2
#Malcolm_Mac,#Angus_Mac,8
#Malcolm_Mac,#Caithness_Mac,3
