act,scene,stagegroup,n_tokens,n_lines,onstage
1,1,1,61,13,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
1,2,2,318,48,#ATTENDANTS_Mac #Donalbain_Mac #Duncan_Mac #Lennox_Mac #Malcolm_Mac #SOLDIERS.Captain_Mac
1,2,3,167,30,#ATTENDANTS_Mac #Angus_Mac #Donalbain_Mac #Duncan_Mac #Lennox_Mac #Malcolm_Mac #Ross_Mac
1,3,4,206,38,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
1,3,5,315,43,#Banquo_Mac #Macbeth_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
1,3,6,82,11,#Banquo_Mac #Macbeth_Mac
1,3,7,540,83,#Angus_Mac #Banquo_Mac #Macbeth_Mac #Ross_Mac
1,4,8,106,16,#ATTENDANTS_Mac #Donalbain_Mac #Duncan_Mac #Lennox_Mac #Malcolm_Mac
1,4,9,323,44,#ATTENDANTS_Mac #Angus_Mac #Banquo_Mac #Donalbain_Mac #Duncan_Mac #Lennox_Mac #Macbeth_Mac #Malcolm_Mac #Ross_Mac
1,4,10,38,5,#ATTENDANTS_Mac #Angus_Mac #Banquo_Mac #Donalbain_Mac #Duncan_Mac #Lennox_Mac #Malcolm_Mac #Ross_Mac
1,5,11,258,33,#LadyMacbeth_Mac
1,5,12,70,11,#LadyMacbeth_Mac #MESSENGERS.1_Mac
1,5,13,128,17,#LadyMacbeth_Mac
1,5,14,150,26,#LadyMacbeth_Mac #Macbeth_Mac
1,6,15,69,12,#ATTENDANTS_Mac #Angus_Mac #Banquo_Mac #Donalbain_Mac #Duncan_Mac #Lennox_Mac #Macduff_Mac #Malcolm_Mac #Ross_Mac
1,6,16,184,27,#ATTENDANTS_Mac #Angus_Mac #Banquo_Mac #Donalbain_Mac #Duncan_Mac #LadyMacbeth_Mac #Lennox_Mac #Macduff_Mac #Malcolm_Mac #Ross_Mac
1,7,17,218,28,#Macbeth_Mac
1,7,18,470,68,#LadyMacbeth_Mac #Macbeth_Mac
2,1,19,73,11,#Banquo_Mac #Fleance_Mac
2,1,20,165,30,#Banquo_Mac #Fleance_Mac #Macbeth_Mac #SERVANTS.X.1_Mac
2,1,21,18,2,#Macbeth_Mac #SERVANTS.X.1_Mac
2,1,22,263,34,#Macbeth_Mac
2,2,23,70,11,#LadyMacbeth_Mac
2,2,24,408,62,#LadyMacbeth_Mac #Macbeth_Mac
2,2,25,51,8,#Macbeth_Mac
2,2,26,90,14,#LadyMacbeth_Mac #Macbeth_Mac
2,3,27,164,20,#Porter_Mac
2,3,28,179,24,#Lennox_Mac #Macduff_Mac #Porter_Mac
2,3,29,8,1,#Lennox_Mac #Macbeth_Mac #Macduff_Mac #Porter_Mac
2,3,30,70,13,#Lennox_Mac #Macbeth_Mac #Macduff_Mac
2,3,31,83,14,#Lennox_Mac #Macbeth_Mac
2,3,32,71,12,#Lennox_Mac #Macbeth_Mac #Macduff_Mac
2,3,33,53,8,#Macduff_Mac
2,3,34,42,7,#LadyMacbeth_Mac #Macduff_Mac
2,3,35,28,7,#Banquo_Mac #LadyMacbeth_Mac #Macduff_Mac
2,3,36,50,6,#Banquo_Mac #LadyMacbeth_Mac #Lennox_Mac #Macbeth_Mac #Macduff_Mac #Ross_Mac
2,3,37,244,35,#Banquo_Mac #Donalbain_Mac #LadyMacbeth_Mac #Lennox_Mac #Macbeth_Mac #Macduff_Mac #Malcolm_Mac #Ross_Mac
2,3,38,71,12,#Banquo_Mac #Donalbain_Mac #Lennox_Mac #Macbeth_Mac #Macduff_Mac #Malcolm_Mac #Ross_Mac
2,3,39,98,13,#Donalbain_Mac #Malcolm_Mac
2,4,40,163,26,#OldMan_Mac #Ross_Mac
2,4,41,164,30,#Macduff_Mac #OldMan_Mac #Ross_Mac
3,1,42,84,10,#Banquo_Mac
3,1,43,214,33,#ATTENDANTS_Mac #Banquo_Mac #LadyMacbeth_Mac #Lennox_Mac #Macbeth_Mac #Ross_Mac #SERVANTS.X.2_Mac
3,1,44,31,4,#ATTENDANTS_Mac #LadyMacbeth_Mac #Lennox_Mac #Macbeth_Mac #Ross_Mac #SERVANTS.X.2_Mac
3,1,45,22,4,#Macbeth_Mac #SERVANTS.X.2_Mac
3,1,46,206,26,#Macbeth_Mac
3,1,47,11,2,#MURDERERS.1_Mac #MURDERERS.2_Mac #Macbeth_Mac #SERVANTS.X.2_Mac
3,1,48,566,81,#MURDERERS.1_Mac #MURDERERS.2_Mac #Macbeth_Mac
3,1,49,16,2,#Macbeth_Mac
3,2,50,27,5,#LadyMacbeth_Mac #SERVANTS.X.3_Mac
3,2,51,26,4,#LadyMacbeth_Mac
3,2,52,389,54,#LadyMacbeth_Mac #Macbeth_Mac
3,3,53,65,11,#MURDERERS.1_Mac #MURDERERS.2_Mac #MURDERERS.3_Mac
3,3,54,48,8,#Banquo_Mac #MURDERERS.1_Mac #MURDERERS.2_Mac #MURDERERS.3_Mac
3,3,55,31,7,#Banquo_Mac #Fleance_Mac #MURDERERS.1_Mac #MURDERERS.2_Mac #MURDERERS.3_Mac
3,3,56,36,7,#Banquo_Mac #MURDERERS.1_Mac #MURDERERS.2_Mac #MURDERERS.3_Mac
3,4,57,58,9,#ATTENDANTS_Mac #LadyMacbeth_Mac #Lennox_Mac #Macbeth_Mac #Ross_Mac
3,4,58,188,26,#ATTENDANTS_Mac #LadyMacbeth_Mac #Lennox_Mac #MURDERERS.1_Mac #Macbeth_Mac #Ross_Mac
3,4,59,44,6,#ATTENDANTS_Mac #LadyMacbeth_Mac #Lennox_Mac #Macbeth_Mac #Ross_Mac
3,4,60,286,46,#ATTENDANTS_Mac #Banquo_Mac #LadyMacbeth_Mac #Lennox_Mac #Macbeth_Mac #Ross_Mac
3,4,61,140,20,#ATTENDANTS_Mac #LadyMacbeth_Mac #Lennox_Mac #Macbeth_Mac #Ross_Mac
3,4,62,152,22,#ATTENDANTS_Mac #Banquo_Mac #LadyMacbeth_Mac #Lennox_Mac #Macbeth_Mac #Ross_Mac
3,4,63,122,21,#ATTENDANTS_Mac #LadyMacbeth_Mac #Lennox_Mac #Macbeth_Mac #Ross_Mac
3,4,64,202,26,#LadyMacbeth_Mac #Macbeth_Mac
3,5,65,237,35,#Hecate_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
3,5,66,9,1,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
3,6,67,410,56,#Lennox_Mac #Lord_Mac
4,1,68,209,38,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,69,33,5,#Hecate_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,70,15,4,#WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,71,156,29,#Macbeth_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,72,29,6,#Macbeth_Mac #SPIRITS.1_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,73,30,5,#Macbeth_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,74,30,5,#Macbeth_Mac #SPIRITS.2_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,75,40,5,#Macbeth_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,76,61,10,#Macbeth_Mac #SPIRITS.3_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,77,118,19,#Macbeth_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,78,108,13,#Banquo_Mac #Macbeth_Mac #SPIRITS.KINGS_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,79,57,9,#Macbeth_Mac #WITCHES.1_Mac #WITCHES.2_Mac #WITCHES.3_Mac
4,1,80,18,3,#Macbeth_Mac
4,1,81,175,26,#Lennox_Mac #Macbeth_Mac
4,2,82,255,34,#LadyMacduff_Mac #MacduffsSon_Mac #Ross_Mac
4,2,83,244,36,#LadyMacduff_Mac #MacduffsSon_Mac
4,2,84,75,10,#LadyMacduff_Mac #MESSENGERS.2_Mac #MacduffsSon_Mac
4,2,85,50,7,#LadyMacduff_Mac #MacduffsSon_Mac
4,2,86,4,1,#LadyMacduff_Mac #MURDERERS_Mac #MacduffsSon_Mac
4,2,87,43,10,#LadyMacduff_Mac #MURDERERS.0.1_Mac #MURDERERS_Mac #MacduffsSon_Mac
4,3,88,1084,158,#Macduff_Mac #Malcolm_Mac
4,3,89,49,8,#Doctor1_Mac #Macduff_Mac #Malcolm_Mac
4,3,90,103,15,#Macduff_Mac #Malcolm_Mac
