node,node_type
#ATTENDANTS_Mac,character
#Angus_Mac,character
#Banquo_Mac,character
#Caithness_Mac,character
#Doctor1_Mac,character
#Doctor2_Mac,character
#Donalbain_Mac,character
#Duncan_Mac,character
#Fleance_Mac,character
#Gentlewoman_Mac,character
#Hecate_Mac,character
#LadyMacbeth_Mac,character
#LadyMacduff_Mac,character
#Lennox_Mac,character
#Lord_Mac,character
#MESSENGERS.1_Mac,character
#MESSENGERS.2_Mac,character
#MESSENGERS.3_Mac,character
#MURDERERS.0.1_Mac,character
#MURDERERS.1_Mac,character
#MURDERERS.2_Mac,character
#MURDERERS.3_Mac,character
#MURDERERS_Mac,character
#Macbeth_Mac,character
#Macduff_Mac,character
#MacduffsSon_Mac,character
#Malcolm_Mac,character
#Menteith_Mac,character
#OldMan_Mac,character
#Porter_Mac,character
#Ross_Mac,character
#SERVANTS.X.1_Mac,character
#SERVANTS.X.2_Mac,character
#SERVANTS.X.3_Mac,character
#SERVANTS.X.4_Mac,character
#SOLDIERS.Captain_Mac,character
#SOLDIERS.MACBETH_Mac,character
#SOLDIERS.MALCOLM.0.1_Mac,character
#SOLDIERS.MALCOLM_Mac,character
#SPIRITS.1_Mac,character
#SPIRITS.2_Mac,character
#SPIRITS.3_Mac,character
#SPIRITS.KINGS_Mac,character
#Seyton_Mac,character
#Siward_Mac,character
#WITCHES.1_Mac,character
#WITCHES.2_Mac,character
#WITCHES.3_Mac,character
#YoungSiward_Mac,character
1.01.0001,text_unit
1.02.0002,text_unit
1.02.0003,text_unit
1.03.0004,text_unit
1.03.0005,text_unit
1.03.0006,text_unit
1.03.0007,text_unit
1.04.0008,text_unit
1.04.0009,text_unit
1.04.0010,text_unit
1.05.0011,text_unit
1.05.0012,text_unit
1.05.0013,text_unit
1.05.0014,text_unit
1.06.0015,text_unit
1.06.0016,text_unit
1.07.0017,text_unit
1.07.0018,text_unit
2.01.0019,text_unit
2.01.0020,text_unit
2.01.0021,text_unit
2.01.0022,text_unit
2.02.0023,text_unit
2.02.0024,text_unit
2.02.0025,text_unit
2.02.0026,text_unit
2.03.0027,text_unit
2.03.0028,text_unit
2.03.0029,text_unit
2.03.0030,text_unit
2.03.0031,text_unit
2.03.0032,text_unit
2.03.0033,text_unit
2.03.0034,text_unit
2.03.0035,text_unit
2.03.0036,text_unit
2.03.0037,text_unit
2.03.0038,text_unit
2.03.0039,text_unit
2.04.0040,text_unit
2.04.0041,text_unit
3.01.0042,text_unit
3.01.0043,text_unit
3.01.0044,text_unit
3.01.0045,text_unit
3.01.0046,text_unit
3.01.0047,text_unit
3.01.0048,text_unit
3.01.0049,text_unit
3.02.0050,text_unit
3.02.0051,text_unit
3.02.0052,text_unit
3.03.0053,text_unit
3.03.0054,text_unit
3.03.0055,text_unit
3.03.0056,text_unit
3.04.0057,text_unit
3.04.0058,text_unit
3.04.0059,text_unit
3.04.0060,text_unit
3.04.0061,text_unit
3.04.0062,text_unit
3.04.0063,text_unit
3.04.0064,text_unit
3.05.0065,text_unit
3.05.0066,text_unit
3.06.0067,text_unit
4.01.0068,text_unit
4.01.0069,text_unit
4.01.0070,text_unit
4.01.0071,text_unit
4.01.0072,text_unit
4.01.0073,text_unit
4.01.0074,text_unit
4.01.0075,text_unit
4.01.0076,text_unit
4.01.0077,text_unit
4.01.0078,text_unit
4.01.0079,text_unit
4.01.0080,text_unit
4.01.0081,text_unit
4.02.0082,text_unit
4.02.0083,text_unit
4.02.0084,text_unit
4.02.0085,text_unit
4.02.0086,text_unit
4.02.0087,text_unit
4.03.0088,text_unit
4.03.0089,text_unit
4.03.0090,text_unit
4.03.0091,text_unit
5.01.0092,text_unit
5.01.0093,text_unit
5.01.0094,text_unit
5.02.0095,text_unit
5.03.0096,text_unit
5.03.0097,text_unit
5.03.0098,text_unit
5.03.0099,text_unit
5.04.0100,text_unit
5.04.0101,text_unit
5.05.0102,text_unit
5.05.0103,text_unit
5.05.0104,text_unit
5.05.0105,text_unit
5.06.0106,text_unit
5.07.0107,text_unit
5.07.0108,text_unit
5.07.0109,text_unit
5.07.0110,text_unit
5.08.0111,text_unit
5.08.0112,text_unit
5.08.0113,text_unit
5.08.0114,text_unit
