source,target,key,n_lines,n_tokens,edge_index,edge_type
#WITCHES.1_Mac,1.01.0001,0,2,12,1,active
1.01.0001,#WITCHES.2_Mac,0,2,12,1,passive
1.01.0001,#WITCHES.3_Mac,0,2,12,1,passive
#WITCHES.2_Mac,1.01.0001,0,2,10,2,active
1.01.0001,#WITCHES.1_Mac,0,2,10,2,passive
1.01.0001,#WITCHES.3_Mac,1,2,10,2,passive
#WITCHES.3_Mac,1.01.0001,0,1,8,3,active
1.01.0001,#WITCHES.1_Mac,1,1,8,3,passive
1.01.0001,#WITCHES.2_Mac,1,1,8,3,passive
#WITCHES.1_Mac,1.01.0001,1,1,3,4,active
1.01.0001,#WITCHES.2_Mac,2,1,3,4,passive
1.01.0001,#WITCHES.3_Mac,2,1,3,4,passive
#WITCHES.2_Mac,1.01.0001,1,1,3,5,active
1.01.0001,#WITCHES.1_Mac,2,1,3,5,passive
1.01.0001,#WITCHES.3_Mac,3,1,3,5,passive
#WITCHES.3_Mac,1.01.0001,1,1,5,6,active
1.01.0001,#WITCHES.1_Mac,3,1,5,6,passive
1.01.0001,#WITCHES.2_Mac,3,1,5,6,passive
#WITCHES.1_Mac,1.01.0001,2,1,3,7,active
1.01.0001,#WITCHES.2_Mac,4,1,3,7,passive
1.01.0001,#WITCHES.3_Mac,4,1,3,7,passive
#WITCHES.2_Mac,1.01.0001,2,1,2,8,active
1.01.0001,#WITCHES.1_Mac,4,1,2,8,passive
1.01.0001,#WITCHES.3_Mac,5,1,2,8,passive
#WITCHES.3_Mac,1.01.0001,2,1,1,9,active
1.01.0001,#WITCHES.1_Mac,5,1,1,9,passive
1.01.0001,#WITCHES.2_Mac,5,1,1,9,passive
#WITCHES.1_Mac,1.01.0001,3,2,14,10,active
#WITCHES.2_Mac,1.01.0001,3,2,14,10,active
#WITCHES.3_Mac,1.01.0001,3,2,14,10,active
#Duncan_Mac,1.02.0002,0,3,19,11,active
1.02.0002,#ATTENDANTS_Mac,0,3,19,11,passive
1.02.0002,#Donalbain_Mac,0,3,19,11,passive
1.02.0002,#Lennox_Mac,0,3,19,11,passive
1.02.0002,#Malcolm_Mac,0,3,19,11,passive
1.02.0002,#SOLDIERS.Captain_Mac,0,3,19,11,passive
#Malcolm_Mac,1.02.0002,0,5,32,12,active
1.02.0002,#ATTENDANTS_Mac,1,5,32,12,passive
1.02.0002,#Donalbain_Mac,1,5,32,12,passive
1.02.0002,#Duncan_Mac,0,5,32,12,passive
1.02.0002,#Lennox_Mac,1,5,32,12,passive
1.02.0002,#SOLDIERS.Captain_Mac,1,5,32,12,passive
#SOLDIERS.Captain_Mac,1.02.0002,0,17,118,13,active
1.02.0002,#ATTENDANTS_Mac,2,17,118,13,passive
1.02.0002,#Donalbain_Mac,2,17,118,13,passive
1.02.0002,#Duncan_Mac,1,17,118,13,passive
1.02.0002,#Lennox_Mac,2,17,118,13,passive
1.02.0002,#Malcolm_Mac,1,17,118,13,passive
#Duncan_Mac,1.02.0002,1,1,5,14,active
1.02.0002,#ATTENDANTS_Mac,3,1,5,14,passive
1.02.0002,#Donalbain_Mac,3,1,5,14,passive
