act,scene,n_tokens,n_lines,onstage
1,1,645,90,#ATTENDANTS_MM #Angelo_MM #Duke_MM #Escalus_MM
1,2,1350,192,#Bawd_MM #Claudio_MM #GENTLEMEN.1_MM #GENTLEMEN.2_MM #Juliet_MM #Lucio_MM #OFFICERS_MM #Pompey_MM #Provost_MM
1,3,439,58,#Duke_MM #FriarThomas_MM
1,4,705,100,#Isabella_MM #Lucio_MM #Nun_MM
2,1,2153,295,#Angelo_MM #Elbow_MM #Escalus_MM #Froth_MM #Justice_MM #OFFICERS_MM #Pompey_MM #Provost_MM #SERVANTS_MM
2,2,1539,224,#Angelo_MM #Isabella_MM #Lucio_MM #Provost_MM #SERVANTS.1_MM
2,3,330,48,#Duke_MM #Juliet_MM #Provost_MM
2,4,1472,202,#Angelo_MM #Isabella_MM #SERVANTS.1_MM
3,1,2180,296,#Claudio_MM #Duke_MM #Isabella_MM #Provost_MM
3,2,2154,282,#Bawd_MM #Duke_MM #Elbow_MM #Escalus_MM #Lucio_MM #OFFICERS_MM #Pompey_MM #Provost_MM
4,1,589,83,#Boy_MM #Duke_MM #Isabella_MM #Mariana_MM
4,2,1661,227,#Abhorson_MM #Claudio_MM #Duke_MM #Messenger_MM #OFFICERS.1_MM #Pompey_MM #Provost_MM
4,3,1367,194,#Abhorson_MM #Barnardine_MM #Duke_MM #Isabella_MM #Lucio_MM #Pompey_MM #Provost_MM
4,4,262,36,#Angelo_MM #Escalus_MM
4,5,109,14,#Duke_MM #FriarPeter_MM #Varrius_MM
4,6,127,18,#FriarPeter_MM #Isabella_MM #Mariana_MM
5,1,4215,613,#ATTENDANTS_MM #Angelo_MM #Barnardine_MM #CITIZENS_MM #Claudio_MM #Duke_MM #Escalus_MM #FriarPeter_MM #Isabella_MM #Juliet_MM #Lucio_MM #Mariana_MM #OFFICERS.0.1_MM #OFFICERS.0.2_MM #OFFICERS_MM #Provost_MM #Varrius_MM
