node1,node2,n_lines,n_tokens
#ATTENDANTS_MM,1.01.0001,25,175
#Duke_MM,1.01.0001,25,175
#Escalus_MM,1.01.0001,25,175
#ATTENDANTS_MM,1.01.0002,56,405
#Angelo_MM,1.01.0002,56,405
#Duke_MM,1.01.0002,56,405
#Escalus_MM,1.01.0002,56,405
#ATTENDANTS_MM,1.01.0003,9,65
#Angelo_MM,1.01.0003,9,65
#Escalus_MM,1.01.0003,9,65
#GENTLEMEN.1_MM,1.02.0004,43,295
#GENTLEMEN.2_MM,1.02.0004,43,295
#Lucio_MM,1.02.0004,43,295
#Bawd_MM,1.02.0005,35,234
#GENTLEMEN.1_MM,1.02.0005,35,234
#GENTLEMEN.2_MM,1.02.0005,35,234
#Lucio_MM,1.02.0005,35,234
#Bawd_MM,1.02.0006,3,20
#Bawd_MM,1.02.0007,26,178
#Pompey_MM,1.02.0007,26,178
#Bawd_MM,1.02.0008,4,22
#Claudio_MM,1.02.0008,4,22
#Juliet_MM,1.02.0008,4,22
#OFFICERS_MM,1.02.0008,4,22
#Pompey_MM,1.02.0008,4,22
#Provost_MM,1.02.0008,4,22
#Claudio_MM,1.02.0009,8,66
#Juliet_MM,1.02.0009,8,66
#OFFICERS_MM,1.02.0009,8,66
#Provost_MM,1.02.0009,8,66
#Claudio_MM,1.02.0010,73,535
#GENTLEMEN.2_MM,1.02.0010,73,535
#Juliet_MM,1.02.0010,73,535
#Lucio_MM,1.02.0010,73,535
#OFFICERS_MM,1.02.0010,73,535
#Provost_MM,1.02.0010,73,535
#Duke_MM,1.03.0011,58,439
#FriarThomas_MM,1.03.0011,58,439
#Isabella_MM,1.04.0012,5,35
#Nun_MM,1.04.0012,5,35
#Isabella_MM,1.04.0013,95,670
#Lucio_MM,1.04.0013,95,670
#Nun_MM,1.04.0013,95,670
#Angelo_MM,2.01.0014,33,262
#Escalus_MM,2.01.0014,33,262
#Justice_MM,2.01.0014,33,262
#SERVANTS_MM,2.01.0014,33,262
#Angelo_MM,2.01.0015,7,40
#Escalus_MM,2.01.0015,7,40
#Justice_MM,2.01.0015,7,40
#Provost_MM,2.01.0015,7,40
#SERVANTS_MM,2.01.0015,7,40
#Angelo_MM,2.01.0016,4,33
#Escalus_MM,2.01.0016,4,33
#Justice_MM,2.01.0016,4,33
#SERVANTS_MM,2.01.0016,4,33
#Angelo_MM,2.01.0017,101,751
#Elbow_MM,2.01.0017,101,751
#Escalus_MM,2.01.0017,101,751
#Froth_MM,2.01.0017,101,751
#Justice_MM,2.01.0017,101,751
#OFFICERS_MM,2.01.0017,101,751
#Pompey_MM,2.01.0017,101,751
#SERVANTS_MM,2.01.0017,101,751
#Elbow_MM,2.01.0018,74,510
#Escalus_MM,2.01.0018,74,510
#Froth_MM,2.01.0018,74,510
#Justice_MM,2.01.0018,74,510
#OFFICERS_MM,2.01.0018,74,510
#Pompey_MM,2.01.0018,74,510
#SERVANTS_MM,2.01.0018,74,510
#Elbow_MM,2.01.0019,45,350
#Escalus_MM,2.01.0019,45,350
#Justice_MM,2.01.0019,45,350
#OFFICERS_MM,2.01.0019,45,350
#Pompey_MM,2.01.0019,45,350
#SERVANTS_MM,2.01.0019,45,350
#Elbow_MM,2.01.0020,19,143
#Escalus_MM,2.01.0020,19,143
#Justice_MM,2.01.0020,19,143
#OFFICERS_MM,2.01.0020,19,143
#SERVANTS_MM,2.01.0020,19,143
#Escalus_MM,2.01.0021,12,64
#Justice_MM,2.01.0021,12,64
