source,target,key,n_lines,n_tokens,edge_index,edge_type
#Duke_MM,1.01.0001,0,1,1,1,active
1.01.0001,#ATTENDANTS_MM,0,1,1,1,passive
1.01.0001,#Escalus_MM,0,1,1,1,passive
#Escalus_MM,1.01.0001,0,1,2,2,active
1.01.0001,#ATTENDANTS_MM,1,1,2,2,passive
1.01.0001,#Duke_MM,0,1,2,2,passive
#Duke_MM,1.01.0001,1,20,154,3,active
1.01.0001,#ATTENDANTS_MM,2,20,154,3,passive
1.01.0001,#Escalus_MM,1,20,154,3,passive
#Escalus_MM,1.01.0001,1,3,18,4,active
1.01.0001,#ATTENDANTS_MM,3,3,18,4,passive
1.01.0001,#Duke_MM,1,3,18,4,passive
#Duke_MM,1.01.0002,0,1,4,5,active
1.01.0002,#ATTENDANTS_MM,0,1,4,5,passive
1.01.0002,#Angelo_MM,0,1,4,5,passive
1.01.0002,#Escalus_MM,0,1,4,5,passive
#Angelo_MM,1.01.0002,0,2,12,6,active
1.01.0002,#ATTENDANTS_MM,1,2,12,6,passive
1.01.0002,#Duke_MM,0,2,12,6,passive
1.01.0002,#Escalus_MM,1,2,12,6,passive
#Duke_MM,1.01.0002,1,22,157,7,active
1.01.0002,#ATTENDANTS_MM,2,22,157,7,passive
1.01.0002,#Angelo_MM,1,22,157,7,passive
1.01.0002,#Escalus_MM,2,22,157,7,passive
#Angelo_MM,1.01.0002,1,4,26,8,active
1.01.0002,#ATTENDANTS_MM,3,4,26,8,passive
1.01.0002,#Duke_MM,1,4,26,8,passive
1.01.0002,#Escalus_MM,3,4,26,8,passive
#Duke_MM,1.01.0002,2,11,80,9,active
1.01.0002,#ATTENDANTS_MM,4,11,80,9,passive
1.01.0002,#Angelo_MM,2,11,80,9,passive
1.01.0002,#Escalus_MM,4,11,80,9,passive
#Angelo_MM,1.01.0002,2,2,14,10,active
1.01.0002,#ATTENDANTS_MM,5,2,14,10,passive
1.01.0002,#Duke_MM,2,2,14,10,passive
1.01.0002,#Escalus_MM,5,2,14,10,passive
#Duke_MM,1.01.0002,3,11,91,11,active
1.01.0002,#ATTENDANTS_MM,6,11,91,11,passive
1.01.0002,#Angelo_MM,3,11,91,11,passive
1.01.0002,#Escalus_MM,6,11,91,11,passive
#Angelo_MM,1.01.0002,3,1,7,12,active
1.01.0002,#ATTENDANTS_MM,7,1,7,12,passive
1.01.0002,#Duke_MM,3,1,7,12,passive
1.01.0002,#Escalus_MM,7,1,7,12,passive
#Escalus_MM,1.01.0002,0,1,8,13,active
1.01.0002,#ATTENDANTS_MM,8,1,8,13,passive
1.01.0002,#Angelo_MM,4,1,8,13,passive
1.01.0002,#Duke_MM,4,1,8,13,passive
#Duke_MM,1.01.0002,4,1,6,14,active
1.01.0002,#ATTENDANTS_MM,9,1,6,14,passive
1.01.0002,#Angelo_MM,5,1,6,14,passive
1.01.0002,#Escalus_MM,8,1,6,14,passive
#Escalus_MM,1.01.0003,0,5,42,15,active
1.01.0003,#ATTENDANTS_MM,0,5,42,15,passive
1.01.0003,#Angelo_MM,0,5,42,15,passive
#Angelo_MM,1.01.0003,0,3,18,16,active
1.01.0003,#ATTENDANTS_MM,1,3,18,16,passive
1.01.0003,#Escalus_MM,0,3,18,16,passive
#Escalus_MM,1.01.0003,1,1,5,17,active
1.01.0003,#ATTENDANTS_MM,2,1,5,17,passive
1.01.0003,#Angelo_MM,1,1,5,17,passive
#Lucio_MM,1.02.0004,0,3,25,18,active
1.02.0004,#GENTLEMEN.1_MM,0,3,25,18,passive
1.02.0004,#GENTLEMEN.2_MM,0,3,25,18,passive
#GENTLEMEN.1_MM,1.02.0004,0,2,11,19,active
1.02.0004,#GENTLEMEN.2_MM,1,2,11,19,passive
1.02.0004,#Lucio_MM,0,2,11,19,passive
#GENTLEMEN.2_MM,1.02.0004,0,1,1,20,active
1.02.0004,#GENTLEMEN.1_MM,1,1,1,20,passive
1.02.0004,#Lucio_MM,1,1,1,20,passive
#Lucio_MM,1.02.0004,1,3,21,21,active
1.02.0004,#GENTLEMEN.1_MM,2,3,21,21,passive
1.02.0004,#GENTLEMEN.2_MM,2,3,21,21,passive
#GENTLEMEN.2_MM,1.02.0004,1,1,4,22,active
1.02.0004,#GENTLEMEN.1_MM,3,1,4,22,passive
1.02.0004,#Lucio_MM,2,1,4,22,passive
#Lucio_MM,1.02.0004,2,1,4,23,active
1.02.0004,#GENTLEMEN.1_MM,4,1,4,23,passive
1.02.0004,#GENTLEMEN.2_MM,3,1,4,23,passive
#GENTLEMEN.1_MM,1.02.0004,1,5,42,24,active
1.02.0004,#GENTLEMEN.2_MM,4,5,42,24,passive
1.02.0004,#Lucio_MM,3,5,42,24,passive
#GENTLEMEN.2_MM,1.02.0004,2,1,7,25,active
1.02.0004,#GENTLEMEN.1_MM,5,1,7,25,passive
1.02.0004,#Lucio_MM,4,1,7,25,passive
#Lucio_MM,1.02.0004,3,2,13,26,active
1.02.0004,#GENTLEMEN.1_MM,6,2,13,26,passive
1.02.0004,#GENTLEMEN.2_MM,5,2,13,26,passive
#GENTLEMEN.2_MM,1.02.0004,3,1,6,27,active
1.02.0004,#GENTLEMEN.1_MM,7,1,6,27,passive
1.02.0004,#Lucio_MM,5,1,6,27,passive
#GENTLEMEN.1_MM,1.02.0004,2,1,3,28,active
1.02.0004,#GENTLEMEN.2_MM,6,1,3,28,passive
1.02.0004,#Lucio_MM,6,1,3,28,passive
#Lucio_MM,1.02.0004,4,1,7,29,active
1.02.0004,#GENTLEMEN.1_MM,8,1,7,29,passive
1.02.0004,#GENTLEMEN.2_MM,7,1,7,29,passive
#GENTLEMEN.1_MM,1.02.0004,3,1,6,30,active
1.02.0004,#GENTLEMEN.2_MM,8,1,6,30,passive
1.02.0004,#Lucio_MM,7,1,6,30,passive
#Lucio_MM,1.02.0004,5,3,23,31,active
1.02.0004,#GENTLEMEN.1_MM,9,3,23,31,passive
1.02.0004,#GENTLEMEN.2_MM,9,3,23,31,passive
#GENTLEMEN.1_MM,1.02.0004,4,2,10,32,active
1.02.0004,#GENTLEMEN.2_MM,10,2,10,32,passive
1.02.0004,#Lucio_MM,8,2,10,32,passive
#Lucio_MM,1.02.0004,6,2,15,33,active
1.02.0004,#GENTLEMEN.1_MM,10,2,15,33,passive
1.02.0004,#GENTLEMEN.2_MM,11,2,15,33,passive
#GENTLEMEN.1_MM,1.02.0004,5,5,43,34,active
1.02.0004,#GENTLEMEN.2_MM,12,5,43,34,passive
1.02.0004,#Lucio_MM,9,5,43,34,passive
#Lucio_MM,1.02.0004,7,4,34,35,active
1.02.0004,#GENTLEMEN.1_MM,11,4,34,35,passive
1.02.0004,#GENTLEMEN.2_MM,13,4,34,35,passive
#GENTLEMEN.1_MM,1.02.0004,6,2,10,36,active
1.02.0004,#GENTLEMEN.2_MM,14,2,10,36,passive
1.02.0004,#Lucio_MM,10,2,10,36,passive
#GENTLEMEN.2_MM,1.02.0004,4,2,10,37,active
1.02.0004,#GENTLEMEN.1_MM,12,2,10,37,passive
1.02.0004,#Lucio_MM,11,2,10,37,passive
#Lucio_MM,1.02.0005,0,3,18,38,active
1.02.0005,#Bawd_MM,0,3,18,38,passive
1.02.0005,#GENTLEMEN.1_MM,0,3,18,38,passive
1.02.0005,#GENTLEMEN.2_MM,0,3,18,38,passive
#GENTLEMEN.2_MM,1.02.0005,0,1,4,39,active
1.02.0005,#Bawd_MM,1,1,4,39,passive
1.02.0005,#GENTLEMEN.1_MM,1,1,4,39,passive
1.02.0005,#Lucio_MM,0,1,4,39,passive
#Lucio_MM,1.02.0005,1,1,1,40,active
1.02.0005,#Bawd_MM,2,1,1,40,passive
1.02.0005,#GENTLEMEN.1_MM,2,1,1,40,passive
1.02.0005,#GENTLEMEN.2_MM,1,1,1,40,passive
#GENTLEMEN.2_MM,1.02.0005,1,1,6,41,active
1.02.0005,#Bawd_MM,3,1,6,41,passive
1.02.0005,#GENTLEMEN.1_MM,3,1,6,41,passive
1.02.0005,#Lucio_MM,1,1,6,41,passive
#GENTLEMEN.1_MM,1.02.0005,0,1,3,42,active
1.02.0005,#Bawd_MM,4,1,3,42,passive
1.02.0005,#GENTLEMEN.2_MM,2,1,3,42,passive
1.02.0005,#Lucio_MM,2,1,3,42,passive
#Lucio_MM,1.02.0005,2,1,4,43,active
1.02.0005,#Bawd_MM,5,1,4,43,passive
1.02.0005,#GENTLEMEN.1_MM,4,1,4,43,passive
1.02.0005,#GENTLEMEN.2_MM,3,1,4,43,passive
#GENTLEMEN.1_MM,1.02.0005,1,2,16,44,active
1.02.0005,#Bawd_MM,6,2,16,44,passive
1.02.0005,#GENTLEMEN.2_MM,4,2,16,44,passive
1.02.0005,#Lucio_MM,3,2,16,44,passive
#Lucio_MM,1.02.0005,3,3,26,45,active
1.02.0005,#Bawd_MM,7,3,26,45,passive
1.02.0005,#GENTLEMEN.1_MM,5,3,26,45,passive
1.02.0005,#GENTLEMEN.2_MM,5,3,26,45,passive
#GENTLEMEN.1_MM,1.02.0005,2,2,11,46,active
1.02.0005,#Bawd_MM,8,2,11,46,passive
1.02.0005,#GENTLEMEN.2_MM,6,2,11,46,passive
1.02.0005,#Lucio_MM,4,2,11,46,passive
#Bawd_MM,1.02.0005,0,2,17,47,active
1.02.0005,#GENTLEMEN.1_MM,6,2,17,47,passive
1.02.0005,#GENTLEMEN.2_MM,7,2,17,47,passive
1.02.0005,#Lucio_MM,5,2,17,47,passive
#GENTLEMEN.2_MM,1.02.0005,2,1,5,48,active
1.02.0005,#Bawd_MM,9,1,5,48,passive
1.02.0005,#GENTLEMEN.1_MM,7,1,5,48,passive
1.02.0005,#Lucio_MM,6,1,5,48,passive
#Bawd_MM,1.02.0005,1,1,6,49,active
1.02.0005,#GENTLEMEN.1_MM,8,1,6,49,passive
1.02.0005,#GENTLEMEN.2_MM,8,1,6,49,passive
1.02.0005,#Lucio_MM,7,1,6,49,passive
#GENTLEMEN.1_MM,1.02.0005,3,1,6,50,active
1.02.0005,#Bawd_MM,10,1,6,50,passive
1.02.0005,#GENTLEMEN.2_MM,9,1,6,50,passive
1.02.0005,#Lucio_MM,8,1,6,50,passive
#Bawd_MM,1.02.0005,2,3,28,51,active
1.02.0005,#GENTLEMEN.1_MM,9,3,28,51,passive
1.02.0005,#GENTLEMEN.2_MM,10,3,28,51,passive
1.02.0005,#Lucio_MM,9,3,28,51,passive
#Lucio_MM,1.02.0005,4,2,16,52,active
1.02.0005,#Bawd_MM,11,2,16,52,passive
1.02.0005,#GENTLEMEN.1_MM,10,2,16,52,passive
1.02.0005,#GENTLEMEN.2_MM,11,2,16,52,passive
#Bawd_MM,1.02.0005,3,2,15,53,active
1.02.0005,#GENTLEMEN.1_MM,11,2,15,53,passive
1.02.0005,#GENTLEMEN.2_MM,12,2,15,53,passive
1.02.0005,#Lucio_MM,10,2,15,53,passive
#Lucio_MM,1.02.0005,5,3,20,54,active
1.02.0005,#Bawd_MM,12,3,20,54,passive
1.02.0005,#GENTLEMEN.1_MM,12,3,20,54,passive
1.02.0005,#GENTLEMEN.2_MM,13,3,20,54,passive
#GENTLEMEN.2_MM,1.02.0005,3,2,16,55,active
1.02.0005,#Bawd_MM,13,2,16,55,passive
1.02.0005,#GENTLEMEN.1_MM,13,2,16,55,passive
1.02.0005,#Lucio_MM,11,2,16,55,passive
#GENTLEMEN.1_MM,1.02.0005,4,2,8,56,active
1.02.0005,#Bawd_MM,14,2,8,56,passive
1.02.0005,#GENTLEMEN.2_MM,14,2,8,56,passive
1.02.0005,#Lucio_MM,12,2,8,56,passive
#Lucio_MM,1.02.0005,6,1,8,57,active
1.02.0005,#Bawd_MM,15,1,8,57,passive
