node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#Beatrice_Ado,#Hero_Ado,0,1,1,1,684,93,1
#Beatrice_Ado,#Leonato_Ado,0,1,1,1,684,93,1
#Beatrice_Ado,#MESSENGERS.LEONATO.1_Ado,0,1,1,1,684,93,1
#Hero_Ado,#Leonato_Ado,0,1,1,1,684,93,1
#Hero_Ado,#MESSENGERS.LEONATO.1_Ado,0,1,1,1,684,93,1
#Leonato_Ado,#MESSENGERS.LEONATO.1_Ado,0,1,1,1,684,93,1
#Balthasar_Ado,#Benedick_Ado,0,1,1,2,482,64,2
#Balthasar_Ado,#Claudio_Ado,0,1,1,2,482,64,2
#Balthasar_Ado,#DonJohn_Ado,0,1,1,2,482,64,2
#Balthasar_Ado,#DonPedro_Ado,0,1,1,2,482,64,2
#Beatrice_Ado,#Balthasar_Ado,0,1,1,2,482,64,2
#Beatrice_Ado,#Benedick_Ado,0,1,1,2,482,64,2
#Beatrice_Ado,#Claudio_Ado,0,1,1,2,482,64,2
#Beatrice_Ado,#DonJohn_Ado,0,1,1,2,482,64,2
#Beatrice_Ado,#DonPedro_Ado,0,1,1,2,482,64,2
#Beatrice_Ado,#Hero_Ado,1,1,1,2,482,64,2
#Beatrice_Ado,#Leonato_Ado,1,1,1,2,482,64,2
#Beatrice_Ado,#MESSENGERS.LEONATO.1_Ado,1,1,1,2,482,64,2
#Benedick_Ado,#Claudio_Ado,0,1,1,2,482,64,2
#Benedick_Ado,#DonJohn_Ado,0,1,1,2,482,64,2
#Benedick_Ado,#DonPedro_Ado,0,1,1,2,482,64,2
#Claudio_Ado,#DonJohn_Ado,0,1,1,2,482,64,2
#Claudio_Ado,#DonPedro_Ado,0,1,1,2,482,64,2
#DonJohn_Ado,#DonPedro_Ado,0,1,1,2,482,64,2
#Hero_Ado,#Balthasar_Ado,0,1,1,2,482,64,2
#Hero_Ado,#Benedick_Ado,0,1,1,2,482,64,2
#Hero_Ado,#Claudio_Ado,0,1,1,2,482,64,2
#Hero_Ado,#DonJohn_Ado,0,1,1,2,482,64,2
#Hero_Ado,#DonPedro_Ado,0,1,1,2,482,64,2
#Hero_Ado,#Leonato_Ado,1,1,1,2,482,64,2
#Hero_Ado,#MESSENGERS.LEONATO.1_Ado,1,1,1,2,482,64,2
#Leonato_Ado,#Balthasar_Ado,0,1,1,2,482,64,2
#Leonato_Ado,#Benedick_Ado,0,1,1,2,482,64,2
#Leonato_Ado,#Claudio_Ado,0,1,1,2,482,64,2
#Leonato_Ado,#DonJohn_Ado,0,1,1,2,482,64,2
