node1,node2,count
#ATTENDANTS_Ado,#ATTENDANTS.0.1_Ado,1
#ATTENDANTS_Ado,#FriarFrancis_Ado,6
#ATTENDANTS_Ado,#MESSENGERS.DONPEDRO.1_Ado,1
#ATTENDANTS_Ado,#MUSICIANS.1_Ado,1
#ATTENDANTS_Ado,#MUSICIANS_Ado,2
#ATTENDANTS_Ado,#Son_Ado,1
#Antonio_Ado,#Borachio_Ado,1
#Balthasar_Ado,#Antonio_Ado,1
#Balthasar_Ado,#Benedick_Ado,3
#Balthasar_Ado,#Borachio_Ado,1
#Balthasar_Ado,#Claudio_Ado,3
#Balthasar_Ado,#DonJohn_Ado,2
#Balthasar_Ado,#DonPedro_Ado,3
#Balthasar_Ado,#LeonatosBrother_Ado,1
#Balthasar_Ado,#Margaret_Ado,1
#Balthasar_Ado,#Ursula_Ado,1
#Beatrice_Ado,#ATTENDANTS_Ado,4
#Beatrice_Ado,#Antonio_Ado,1
#Beatrice_Ado,#Balthasar_Ado,2
#Beatrice_Ado,#Benedick_Ado,13
#Beatrice_Ado,#Borachio_Ado,1
#Beatrice_Ado,#Claudio_Ado,7
#Beatrice_Ado,#DonJohn_Ado,3
#Beatrice_Ado,#DonPedro_Ado,7
#Beatrice_Ado,#FriarFrancis_Ado,5
#Beatrice_Ado,#Hero_Ado,14
#Beatrice_Ado,#Leonato_Ado,11
#Beatrice_Ado,#LeonatosBrother_Ado,5
#Beatrice_Ado,#MESSENGERS.DONPEDRO.1_Ado,1
#Beatrice_Ado,#MESSENGERS.LEONATO.1_Ado,2
#Beatrice_Ado,#Margaret_Ado,7
#Beatrice_Ado,#Ursula_Ado,8
#Benedick_Ado,#ATTENDANTS_Ado,6
#Benedick_Ado,#Antonio_Ado,1
#Benedick_Ado,#Borachio_Ado,1
#Benedick_Ado,#Boy_Ado,1
#Benedick_Ado,#Claudio_Ado,15
#Benedick_Ado,#DonJohn_Ado,3
#Benedick_Ado,#DonPedro_Ado,14
#Benedick_Ado,#FriarFrancis_Ado,8
#Benedick_Ado,#LeonatosBrother_Ado,6
#Benedick_Ado,#MESSENGERS.DONPEDRO.1_Ado,1
#Benedick_Ado,#Margaret_Ado,5
#Benedick_Ado,#Ursula_Ado,5
#Borachio_Ado,#Conrade_Ado,9
#Borachio_Ado,#Dogberry_Ado,5
#Borachio_Ado,#Sexton_Ado,3
#Borachio_Ado,#Verges_Ado,5
#Borachio_Ado,#WATCHMEN.1_Ado,8
#Borachio_Ado,#WATCHMEN.2_Ado,7
#Borachio_Ado,#WATCHMEN.Seacoal_Ado,8
#Claudio_Ado,#ATTENDANTS.0.1_Ado,2
#Claudio_Ado,#ATTENDANTS_Ado,7
#Claudio_Ado,#Antonio_Ado,1
#Claudio_Ado,#Borachio_Ado,5
#Claudio_Ado,#Conrade_Ado,3
#Claudio_Ado,#Dogberry_Ado,2
#Claudio_Ado,#DonJohn_Ado,5
#Claudio_Ado,#DonPedro_Ado,26
#Claudio_Ado,#FriarFrancis_Ado,5
#Claudio_Ado,#LeonatosBrother_Ado,7
#Claudio_Ado,#MESSENGERS.DONPEDRO.1_Ado,1
#Claudio_Ado,#MUSICIANS_Ado,2
#Claudio_Ado,#Margaret_Ado,3
#Claudio_Ado,#Sexton_Ado,2
#Claudio_Ado,#Ursula_Ado,3
#Claudio_Ado,#Verges_Ado,2
#Claudio_Ado,#WATCHMEN.1_Ado,3
#Claudio_Ado,#WATCHMEN.2_Ado,3
#Claudio_Ado,#WATCHMEN.Seacoal_Ado,3
#Conrade_Ado,#Sexton_Ado,3
#Conrade_Ado,#WATCHMEN.1_Ado,8
#Conrade_Ado,#WATCHMEN.2_Ado,7
#Conrade_Ado,#WATCHMEN.Seacoal_Ado,8
#Dogberry_Ado,#Conrade_Ado,5
#Dogberry_Ado,#Sexton_Ado,2
#Dogberry_Ado,#Verges_Ado,9
#Dogberry_Ado,#WATCHMEN.1_Ado,6
#Dogberry_Ado,#WATCHMEN.2_Ado,6
#Dogberry_Ado,#WATCHMEN.Seacoal_Ado,6
#DonJohn_Ado,#ATTENDANTS_Ado,1
#DonJohn_Ado,#Antonio_Ado,1
#DonJohn_Ado,#Borachio_Ado,4
#DonJohn_Ado,#Conrade_Ado,2
#DonJohn_Ado,#DonPedro_Ado,4
#DonJohn_Ado,#FriarFrancis_Ado,1
#DonJohn_Ado,#LeonatosBrother_Ado,1
#DonJohn_Ado,#Margaret_Ado,1
#DonJohn_Ado,#Ursula_Ado,1
#DonPedro_Ado,#ATTENDANTS.0.1_Ado,2
#DonPedro_Ado,#ATTENDANTS_Ado,7
#DonPedro_Ado,#Antonio_Ado,1
#DonPedro_Ado,#Borachio_Ado,4
#DonPedro_Ado,#Conrade_Ado,3
#DonPedro_Ado,#Dogberry_Ado,2
#DonPedro_Ado,#FriarFrancis_Ado,5
#DonPedro_Ado,#LeonatosBrother_Ado,7
#DonPedro_Ado,#MESSENGERS.DONPEDRO.1_Ado,1
#DonPedro_Ado,#MUSICIANS_Ado,2
#DonPedro_Ado,#Margaret_Ado,3
#DonPedro_Ado,#Sexton_Ado,2
#DonPedro_Ado,#Ursula_Ado,3
#DonPedro_Ado,#Verges_Ado,2
#DonPedro_Ado,#WATCHMEN.1_Ado,3
#DonPedro_Ado,#WATCHMEN.2_Ado,3
#DonPedro_Ado,#WATCHMEN.Seacoal_Ado,3
#FriarFrancis_Ado,#MESSENGERS.DONPEDRO.1_Ado,1
#Hero_Ado,#ATTENDANTS_Ado,4
#Hero_Ado,#Antonio_Ado,1
#Hero_Ado,#Balthasar_Ado,2
#Hero_Ado,#Benedick_Ado,9
#Hero_Ado,#Borachio_Ado,1
#Hero_Ado,#Claudio_Ado,8
#Hero_Ado,#DonJohn_Ado,3
#Hero_Ado,#DonPedro_Ado,9
#Hero_Ado,#FriarFrancis_Ado,5
#Hero_Ado,#Leonato_Ado,13
#Hero_Ado,#LeonatosBrother_Ado,5
#Hero_Ado,#MESSENGERS.DONPEDRO.1_Ado,1
#Hero_Ado,#MESSENGERS.LEONATO.1_Ado,2
#Hero_Ado,#Margaret_Ado,10
#Hero_Ado,#Ursula_Ado,10
#Leonato_Ado,#ATTENDANTS_Ado,7
#Leonato_Ado,#Antonio_Ado,1
#Leonato_Ado,#Balthasar_Ado,3
#Leonato_Ado,#Benedick_Ado,15
#Leonato_Ado,#Borachio_Ado,3
#Leonato_Ado,#Claudio_Ado,16
#Leonato_Ado,#Conrade_Ado,2
#Leonato_Ado,#Dogberry_Ado,3
#Leonato_Ado,#DonJohn_Ado,3
#Leonato_Ado,#DonPedro_Ado,17
#Leonato_Ado,#FriarFrancis_Ado,8
#Leonato_Ado,#LeonatosBrother_Ado,13
#Leonato_Ado,#MESSENGERS.DONPEDRO.1_Ado,1
#Leonato_Ado,#MESSENGERS.LEONATO.1_Ado,3
#Leonato_Ado,#MUSICIANS.1_Ado,1
#Leonato_Ado,#Margaret_Ado,5
#Leonato_Ado,#Sexton_Ado,2
#Leonato_Ado,#Son_Ado,1
#Leonato_Ado,#Ursula_Ado,5
#Leonato_Ado,#Verges_Ado,3
#Leonato_Ado,#WATCHMEN.1_Ado,2
#Leonato_Ado,#WATCHMEN.2_Ado,2
#Leonato_Ado,#WATCHMEN.Seacoal_Ado,2
#LeonatosBrother_Ado,#ATTENDANTS_Ado,4
#LeonatosBrother_Ado,#Antonio_Ado,1
#LeonatosBrother_Ado,#Borachio_Ado,3
#LeonatosBrother_Ado,#Conrade_Ado,2
#LeonatosBrother_Ado,#Dogberry_Ado,1
#LeonatosBrother_Ado,#FriarFrancis_Ado,5
#LeonatosBrother_Ado,#MESSENGERS.DONPEDRO.1_Ado,1
#LeonatosBrother_Ado,#MUSICIANS.1_Ado,1
#LeonatosBrother_Ado,#Margaret_Ado,5
#LeonatosBrother_Ado,#Sexton_Ado,2
#LeonatosBrother_Ado,#Son_Ado,1
#LeonatosBrother_Ado,#Ursula_Ado,5
#LeonatosBrother_Ado,#Verges_Ado,1
#LeonatosBrother_Ado,#WATCHMEN.1_Ado,2
#LeonatosBrother_Ado,#WATCHMEN.2_Ado,2
#LeonatosBrother_Ado,#WATCHMEN.Seacoal_Ado,2
#MESSENGERS.LEONATO.1_Ado,#Balthasar_Ado,1
#MESSENGERS.LEONATO.1_Ado,#Benedick_Ado,1
#MESSENGERS.LEONATO.1_Ado,#Claudio_Ado,1
#MESSENGERS.LEONATO.1_Ado,#Dogberry_Ado,1
#MESSENGERS.LEONATO.1_Ado,#DonJohn_Ado,1
#MESSENGERS.LEONATO.1_Ado,#DonPedro_Ado,1
#MESSENGERS.LEONATO.1_Ado,#Verges_Ado,1
#MUSICIANS.1_Ado,#Son_Ado,1
#MUSICIANS_Ado,#ATTENDANTS.0.1_Ado,1
