act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,1,1,#Beatrice_Ado,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,315,39
1,1,1,#Hero_Ado,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,7,1
1,1,1,#Leonato_Ado,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,164,23
1,1,1,#MESSENGERS.LEONATO.1_Ado,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,198,30
1,1,2,#Beatrice_Ado,#Balthasar_Ado #Beatrice_Ado #Benedick_Ado #Claudio_Ado #DonJohn_Ado #DonPedro_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,127,17
1,1,2,#Benedick_Ado,#Balthasar_Ado #Beatrice_Ado #Benedick_Ado #Claudio_Ado #DonJohn_Ado #DonPedro_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,131,17
1,1,2,#DonJohn_Ado,#Balthasar_Ado #Beatrice_Ado #Benedick_Ado #Claudio_Ado #DonJohn_Ado #DonPedro_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,13,2
1,1,2,#DonPedro_Ado,#Balthasar_Ado #Beatrice_Ado #Benedick_Ado #Claudio_Ado #DonJohn_Ado #DonPedro_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,127,16
1,1,2,#Leonato_Ado,#Balthasar_Ado #Beatrice_Ado #Benedick_Ado #Claudio_Ado #DonJohn_Ado #DonPedro_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,84,12
1,1,3,#Benedick_Ado,#Benedick_Ado #Claudio_Ado,266,31
1,1,3,#Claudio_Ado,#Benedick_Ado #Claudio_Ado,77,11
1,1,4,#Benedick_Ado,#Benedick_Ado #Claudio_Ado #DonPedro_Ado,411,49
1,1,4,#Claudio_Ado,#Benedick_Ado #Claudio_Ado #DonPedro_Ado,77,12
