node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.0.1_Ado,201,4,32,1
#ATTENDANTS_Ado,2941,0,400,0
#Antonio_Ado,468,19,69,3
#Balthasar_Ado,1348,180,191,28
#Beatrice_Ado,7896,2359,1057,295
#Benedick_Ado,10291,3761,1351,463
#Borachio_Ado,3418,997,486,136
#Boy_Ado,33,6,6,2
#Claudio_Ado,9893,2012,1332,286
#Conrade_Ado,2749,248,382,37
#Dogberry_Ado,2835,1541,379,188
#DonJohn_Ado,3238,900,450,119
#DonPedro_Ado,9653,2461,1293,329
#FriarFrancis_Ado,2995,592,401,86
#Hero_Ado,7931,980,1051,134
#Leonato_Ado,10676,2642,1419,354
#LeonatosBrother_Ado,3753,396,502,54
#MESSENGERS.DONPEDRO.1_Ado,33,17,5,2
#MESSENGERS.LEONATO.1_Ado,1186,211,160,32
#MUSICIANS.1_Ado,32,0,4,0
#MUSICIANS_Ado,174,48,29,10
#Margaret_Ado,2848,548,383,73
#Sexton_Ado,1017,106,148,17
#Son_Ado,32,0,4,0
#Ursula_Ado,2826,362,374,50
#Verges_Ado,2835,185,379,28
#WATCHMEN.1_Ado,2931,101,403,16
#WATCHMEN.2_Ado,2900,24,398,4
#WATCHMEN.Seacoal_Ado,2931,106,403,20
