node1,node2,n_lines,n_tokens
#Beatrice_Ado,1.01.0001,93,684
#Hero_Ado,1.01.0001,93,684
#Leonato_Ado,1.01.0001,93,684
#MESSENGERS.LEONATO.1_Ado,1.01.0001,93,684
#Balthasar_Ado,1.01.0002,64,482
#Beatrice_Ado,1.01.0002,64,482
#Benedick_Ado,1.01.0002,64,482
#Claudio_Ado,1.01.0002,64,482
#DonJohn_Ado,1.01.0002,64,482
#DonPedro_Ado,1.01.0002,64,482
#Hero_Ado,1.01.0002,64,482
#Leonato_Ado,1.01.0002,64,482
#MESSENGERS.LEONATO.1_Ado,1.01.0002,64,482
#Benedick_Ado,1.01.0003,42,343
#Claudio_Ado,1.01.0003,42,343
#Benedick_Ado,1.01.0004,84,644
#Claudio_Ado,1.01.0004,84,644
#DonPedro_Ado,1.01.0004,84,644
#Claudio_Ado,1.01.0005,40,319
#DonPedro_Ado,1.01.0005,40,319
#Leonato_Ado,1.02.0006,24,183
#LeonatosBrother_Ado,1.02.0006,24,183
#ATTENDANTS_Ado,1.02.0007,4,32
#Leonato_Ado,1.02.0007,4,32
#LeonatosBrother_Ado,1.02.0007,4,32
#MUSICIANS.1_Ado,1.02.0007,4,32
#Son_Ado,1.02.0007,4,32
#Conrade_Ado,1.03.0008,38,332
#DonJohn_Ado,1.03.0008,38,332
#Borachio_Ado,1.03.0009,34,229
#Conrade_Ado,1.03.0009,34,229
#DonJohn_Ado,1.03.0009,34,229
#Beatrice_Ado,2.01.0010,83,669
#Hero_Ado,2.01.0010,83,669
#Leonato_Ado,2.01.0010,83,669
#LeonatosBrother_Ado,2.01.0010,83,669
#Margaret_Ado,2.01.0010,83,669
#Ursula_Ado,2.01.0010,83,669
#Antonio_Ado,2.01.0011,69,468
#Balthasar_Ado,2.01.0011,69,468
#Beatrice_Ado,2.01.0011,69,468
#Benedick_Ado,2.01.0011,69,468
#Borachio_Ado,2.01.0011,69,468
#Claudio_Ado,2.01.0011,69,468
#DonJohn_Ado,2.01.0011,69,468
#DonPedro_Ado,2.01.0011,69,468
#Hero_Ado,2.01.0011,69,468
#Leonato_Ado,2.01.0011,69,468
#LeonatosBrother_Ado,2.01.0011,69,468
#Margaret_Ado,2.01.0011,69,468
#Ursula_Ado,2.01.0011,69,468
#Borachio_Ado,2.01.0012,17,119
#Claudio_Ado,2.01.0012,17,119
#DonJohn_Ado,2.01.0012,17,119
#Claudio_Ado,2.01.0013,11,85
#Benedick_Ado,2.01.0014,19,119
#Claudio_Ado,2.01.0014,19,119
#Benedick_Ado,2.01.0015,8,81
#Benedick_Ado,2.01.0016,50,426
#DonPedro_Ado,2.01.0016,50,426
#Hero_Ado,2.01.0016,50,426
#Leonato_Ado,2.01.0016,50,426
