node1,node2,key,act,scene,n_tokens,n_lines,edge_index
#Brabantio_Oth,#Iago_Oth,0,1,1,1479,206,1
#Brabantio_Oth,#Roderigo_Oth,0,1,1,1479,206,1
#Brabantio_Oth,#SERVANTS.BRABANTIO_Oth,0,1,1,1479,206,1
#Iago_Oth,#Roderigo_Oth,0,1,1,1479,206,1
#Iago_Oth,#SERVANTS.BRABANTIO_Oth,0,1,1,1479,206,1
#Roderigo_Oth,#SERVANTS.BRABANTIO_Oth,0,1,1,1479,206,1
#ATTENDANTS_Oth,#Cassio_Oth,0,1,2,820,123,2
#ATTENDANTS_Oth,#OFFICERS.0_Oth,0,1,2,820,123,2
#ATTENDANTS_Oth,#OFFICERS_Oth,0,1,2,820,123,2
#ATTENDANTS_Oth,#Othello_Oth,0,1,2,820,123,2
#Brabantio_Oth,#ATTENDANTS_Oth,0,1,2,820,123,2
#Brabantio_Oth,#Cassio_Oth,0,1,2,820,123,2
#Brabantio_Oth,#Iago_Oth,1,1,2,820,123,2
#Brabantio_Oth,#OFFICERS.0_Oth,0,1,2,820,123,2
#Brabantio_Oth,#OFFICERS_Oth,0,1,2,820,123,2
#Brabantio_Oth,#Othello_Oth,0,1,2,820,123,2
#Brabantio_Oth,#Roderigo_Oth,1,1,2,820,123,2
#Cassio_Oth,#OFFICERS.0_Oth,0,1,2,820,123,2
#Cassio_Oth,#OFFICERS_Oth,0,1,2,820,123,2
#Cassio_Oth,#Othello_Oth,0,1,2,820,123,2
#Iago_Oth,#ATTENDANTS_Oth,0,1,2,820,123,2
#Iago_Oth,#Cassio_Oth,0,1,2,820,123,2
#Iago_Oth,#OFFICERS.0_Oth,0,1,2,820,123,2
#Iago_Oth,#OFFICERS_Oth,0,1,2,820,123,2
#Iago_Oth,#Othello_Oth,0,1,2,820,123,2
#Iago_Oth,#Roderigo_Oth,1,1,2,820,123,2
#OFFICERS.0_Oth,#OFFICERS_Oth,0,1,2,820,123,2
#OFFICERS.0_Oth,#Othello_Oth,0,1,2,820,123,2
#OFFICERS_Oth,#Othello_Oth,0,1,2,820,123,2
#Roderigo_Oth,#ATTENDANTS_Oth,0,1,2,820,123,2
#Roderigo_Oth,#Cassio_Oth,0,1,2,820,123,2
#Roderigo_Oth,#OFFICERS.0_Oth,0,1,2,820,123,2
#Roderigo_Oth,#OFFICERS_Oth,0,1,2,820,123,2
#Roderigo_Oth,#Othello_Oth,0,1,2,820,123,2
#Brabantio_Oth,#Cassio_Oth,1,1,3,3215,447,3
#Brabantio_Oth,#Desdemona_Oth,0,1,3,3215,447,3
#Brabantio_Oth,#Duke_Oth,0,1,3,3215,447,3
#Brabantio_Oth,#Iago_Oth,2,1,3,3215,447,3
#Brabantio_Oth,#MESSENGERS.X.1_Oth,0,1,3,3215,447,3
#Brabantio_Oth,#OFFICERS.0.1_Oth,0,1,3,3215,447,3
#Brabantio_Oth,#OFFICERS.0_Oth,1,1,3,3215,447,3
#Brabantio_Oth,#OFFICERS_Oth,1,1,3,3215,447,3
#Brabantio_Oth,#Othello_Oth,1,1,3,3215,447,3
#Brabantio_Oth,#Roderigo_Oth,2,1,3,3215,447,3
#Brabantio_Oth,#SENATORS.0.1_Oth,0,1,3,3215,447,3
#Brabantio_Oth,#SENATORS.0.2_Oth,0,1,3,3215,447,3
#Brabantio_Oth,#SENATORS_Oth,0,1,3,3215,447,3
#Brabantio_Oth,#Sailor_Oth,0,1,3,3215,447,3
