node1,node2,count
#ATTENDANTS.0_Oth,#GENTLEMEN_Oth,1
#ATTENDANTS.0_Oth,#SERVANTS_Oth,1
#ATTENDANTS_Oth,#ATTENDANTS.0_Oth,1
#ATTENDANTS_Oth,#Bianca_Oth,1
#ATTENDANTS_Oth,#Cassio_Oth,4
#ATTENDANTS_Oth,#Desdemona_Oth,4
#ATTENDANTS_Oth,#Emilia_Oth,2
#ATTENDANTS_Oth,#GENTLEMEN.1_Oth,1
#ATTENDANTS_Oth,#GENTLEMEN.2_Oth,1
#ATTENDANTS_Oth,#GENTLEMEN.3_Oth,1
#ATTENDANTS_Oth,#GENTLEMEN_Oth,1
#ATTENDANTS_Oth,#Lodovico_Oth,2
#ATTENDANTS_Oth,#MESSENGERS.X.2_Oth,1
#ATTENDANTS_Oth,#Montano_Oth,2
#ATTENDANTS_Oth,#OFFICERS.0_Oth,1
#ATTENDANTS_Oth,#OFFICERS_Oth,1
#ATTENDANTS_Oth,#Othello_Oth,5
#ATTENDANTS_Oth,#SERVANTS_Oth,1
#Bianca_Oth,#Gratiano_Oth,2
#Bianca_Oth,#Lodovico_Oth,3
#Brabantio_Oth,#ATTENDANTS_Oth,1
#Brabantio_Oth,#Cassio_Oth,2
#Brabantio_Oth,#Desdemona_Oth,1
#Brabantio_Oth,#Duke_Oth,1
#Brabantio_Oth,#Iago_Oth,3
#Brabantio_Oth,#MESSENGERS.X.1_Oth,1
#Brabantio_Oth,#OFFICERS.0.1_Oth,1
#Brabantio_Oth,#OFFICERS.0_Oth,2
#Brabantio_Oth,#OFFICERS_Oth,2
#Brabantio_Oth,#Othello_Oth,2
#Brabantio_Oth,#Roderigo_Oth,3
#Brabantio_Oth,#SENATORS.0.1_Oth,1
#Brabantio_Oth,#SENATORS.0.2_Oth,1
#Brabantio_Oth,#SENATORS_Oth,1
#Brabantio_Oth,#SERVANTS.BRABANTIO_Oth,1
#Brabantio_Oth,#Sailor_Oth,1
#Cassio_Oth,#ATTENDANTS.0_Oth,1
#Cassio_Oth,#Bianca_Oth,4
#Cassio_Oth,#Clown_Oth,2
