act,scene,stagegroup,n_tokens,n_lines,onstage
1,1,1,630,88,#Iago_Oth #Roderigo_Oth
1,1,2,510,72,#Brabantio_Oth #Iago_Oth #Roderigo_Oth
1,1,3,134,17,#Iago_Oth #Roderigo_Oth
1,1,4,205,29,#Brabantio_Oth #Roderigo_Oth #SERVANTS.BRABANTIO_Oth
1,2,5,270,38,#ATTENDANTS_Oth #Iago_Oth #Othello_Oth
1,2,6,132,20,#ATTENDANTS_Oth #Cassio_Oth #Iago_Oth #OFFICERS_Oth #Othello_Oth
1,2,7,31,7,#ATTENDANTS_Oth #Cassio_Oth #Iago_Oth #OFFICERS_Oth
1,2,8,16,3,#ATTENDANTS_Oth #Cassio_Oth #Iago_Oth #OFFICERS_Oth #Othello_Oth
1,2,9,371,55,#ATTENDANTS_Oth #Brabantio_Oth #Cassio_Oth #Iago_Oth #OFFICERS.0_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth
1,3,10,10,2,#Duke_Oth #OFFICERS_Oth #SENATORS_Oth
1,3,11,17,3,#Duke_Oth #OFFICERS_Oth #SENATORS.0.1_Oth #SENATORS_Oth
1,3,12,64,9,#Duke_Oth #OFFICERS_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth #SENATORS_Oth
1,3,13,6,1,#Duke_Oth #OFFICERS_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth #SENATORS_Oth #Sailor_Oth
1,3,14,27,5,#Duke_Oth #OFFICERS.0.1_Oth #OFFICERS_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth #SENATORS_Oth #Sailor_Oth
1,3,15,125,18,#Duke_Oth #OFFICERS.0.1_Oth #OFFICERS_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth #SENATORS_Oth
1,3,16,71,11,#Duke_Oth #MESSENGERS.X.1_Oth #OFFICERS.0.1_Oth #OFFICERS_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth #SENATORS_Oth
1,3,17,30,6,#Duke_Oth #OFFICERS.0.1_Oth #OFFICERS_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth #SENATORS_Oth
1,3,18,593,87,#Brabantio_Oth #Cassio_Oth #Duke_Oth #Iago_Oth #OFFICERS.0.1_Oth #OFFICERS.0_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth #SENATORS_Oth
1,3,19,387,54,#Brabantio_Oth #Cassio_Oth #Duke_Oth #OFFICERS.0.1_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth #SENATORS_Oth
1,3,20,964,138,#Brabantio_Oth #Cassio_Oth #Desdemona_Oth #Duke_Oth #Iago_Oth #OFFICERS.0.1_Oth #OFFICERS.0_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth #SENATORS_Oth
1,3,21,5,1,#Cassio_Oth #Desdemona_Oth #Duke_Oth #Iago_Oth #OFFICERS.0.1_Oth #OFFICERS.0_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth #SENATORS_Oth
1,3,22,48,7,#Desdemona_Oth #Iago_Oth #OFFICERS.0.1_Oth #OFFICERS.0_Oth #Othello_Oth #Roderigo_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth
1,3,23,681,83,#Iago_Oth #OFFICERS.0.1_Oth #OFFICERS.0_Oth #Roderigo_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth
1,3,24,187,22,#Iago_Oth #OFFICERS.0.1_Oth #OFFICERS.0_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth
2,1,25,146,21,#GENTLEMEN.1_Oth #GENTLEMEN.2_Oth #Montano_Oth
2,1,26,179,26,#GENTLEMEN.1_Oth #GENTLEMEN.2_Oth #GENTLEMEN.3_Oth #Montano_Oth
2,1,27,61,9,#Cassio_Oth #GENTLEMEN.1_Oth #GENTLEMEN.2_Oth #GENTLEMEN.3_Oth #Montano_Oth
2,1,28,57,9,#Cassio_Oth #GENTLEMEN.1_Oth #GENTLEMEN.2_Oth #GENTLEMEN.3_Oth #MESSENGERS.X.2_Oth #Montano_Oth
2,1,29,39,6,#Cassio_Oth #GENTLEMEN.1_Oth #GENTLEMEN.3_Oth #MESSENGERS.X.2_Oth #Montano_Oth
2,1,30,128,19,#Cassio_Oth #GENTLEMEN.1_Oth #GENTLEMEN.2_Oth #GENTLEMEN.3_Oth #MESSENGERS.X.2_Oth #Montano_Oth
2,1,31,108,17,#Cassio_Oth #Desdemona_Oth #Emilia_Oth #GENTLEMEN.1_Oth #GENTLEMEN.2_Oth #GENTLEMEN.3_Oth #Iago_Oth #MESSENGERS.X.2_Oth #Montano_Oth #Roderigo_Oth
2,1,32,678,89,#Cassio_Oth #Desdemona_Oth #Emilia_Oth #GENTLEMEN.1_Oth #GENTLEMEN.3_Oth #Iago_Oth #MESSENGERS.X.2_Oth #Montano_Oth #Roderigo_Oth
2,1,33,261,37,#ATTENDANTS_Oth #Cassio_Oth #Desdemona_Oth #Emilia_Oth #GENTLEMEN.1_Oth #GENTLEMEN.3_Oth #Iago_Oth #MESSENGERS.X.2_Oth #Montano_Oth #Othello_Oth #Roderigo_Oth
2,1,34,616,74,#Iago_Oth #Roderigo_Oth
2,1,35,220,27,#Iago_Oth
2,2,36,101,12,#Herald_Oth
2,3,37,73,13,#ATTENDANTS_Oth #Cassio_Oth #Desdemona_Oth #Othello_Oth
2,3,38,244,35,#Cassio_Oth #Iago_Oth
2,3,39,128,18,#Iago_Oth
2,3,40,374,57,#Cassio_Oth #GENTLEMEN_Oth #Iago_Oth #Montano_Oth #SERVANTS_Oth
2,3,41,9,1,#GENTLEMEN_Oth #Iago_Oth #Montano_Oth #SERVANTS_Oth
2,3,42,124,17,#Iago_Oth #Montano_Oth #SERVANTS_Oth
2,3,43,10,2,#Iago_Oth #Montano_Oth #Roderigo_Oth #SERVANTS_Oth
