act,scene,n_tokens,n_lines,onstage
1,1,1479,206,#Brabantio_Oth #Iago_Oth #Roderigo_Oth #SERVANTS.BRABANTIO_Oth
1,2,820,123,#ATTENDANTS_Oth #Brabantio_Oth #Cassio_Oth #Iago_Oth #OFFICERS.0_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth
1,3,3215,447,#Brabantio_Oth #Cassio_Oth #Desdemona_Oth #Duke_Oth #Iago_Oth #MESSENGERS.X.1_Oth #OFFICERS.0.1_Oth #OFFICERS.0_Oth #OFFICERS_Oth #Othello_Oth #Roderigo_Oth #SENATORS.0.1_Oth #SENATORS.0.2_Oth #SENATORS_Oth #Sailor_Oth
2,1,2493,334,#ATTENDANTS_Oth #Cassio_Oth #Desdemona_Oth #Emilia_Oth #GENTLEMEN.1_Oth #GENTLEMEN.2_Oth #GENTLEMEN.3_Oth #Iago_Oth #MESSENGERS.X.2_Oth #Montano_Oth #Othello_Oth #Roderigo_Oth
2,2,101,12,#Herald_Oth
2,3,2948,410,#ATTENDANTS.0_Oth #ATTENDANTS_Oth #Cassio_Oth #Desdemona_Oth #GENTLEMEN_Oth #Iago_Oth #Montano_Oth #Othello_Oth #Roderigo_Oth #SERVANTS_Oth
3,1,441,65,#Cassio_Oth #Clown_Oth #Emilia_Oth #Iago_Oth #MUSICIANS.0.1_Oth #MUSICIANS_Oth
3,2,48,7,#GENTLEMEN.0.1_Oth #GENTLEMEN_Oth #Iago_Oth #Othello_Oth
3,3,3875,546,#Cassio_Oth #Desdemona_Oth #Emilia_Oth #Iago_Oth #Othello_Oth
3,4,1565,231,#Bianca_Oth #Cassio_Oth #Clown_Oth #Desdemona_Oth #Emilia_Oth #Iago_Oth #Othello_Oth
4,1,2151,323,#ATTENDANTS_Oth #Bianca_Oth #Cassio_Oth #Desdemona_Oth #Iago_Oth #Lodovico_Oth #Othello_Oth
4,2,1980,277,#Desdemona_Oth #Emilia_Oth #Iago_Oth #Othello_Oth #Roderigo_Oth
4,3,860,117,#ATTENDANTS_Oth #Desdemona_Oth #Emilia_Oth #Lodovico_Oth #Othello_Oth
5,1,995,151,#Bianca_Oth #Cassio_Oth #Emilia_Oth #Gratiano_Oth #Iago_Oth #Lodovico_Oth #Othello_Oth #Roderigo_Oth
5,2,2957,435,#Bianca_Oth #Cassio_Oth #Desdemona_Oth #Emilia_Oth #Gratiano_Oth #Iago_Oth #Lodovico_Oth #Montano_Oth #OFFICERS_Oth #Othello_Oth
