act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#Brabantio_Oth,338,50,715,101
1,1,#Iago_Oth,825,114,1274,177
1,1,#Roderigo_Oth,316,42,1479,206
1,2,#Brabantio_Oth,235,33,371,55
1,2,#Cassio_Oth,104,17,550,85
1,2,#Iago_Oth,195,29,820,123
1,2,#OFFICERS_Oth,19,3,550,85
1,2,#Othello_Oth,262,40,789,116
1,2,#Roderigo_Oth,5,1,371,55
1,3,#Brabantio_Oth,472,65,1944,279
1,3,#Desdemona_Oth,214,29,1017,146
1,3,#Duke_Oth,476,74,2299,335
1,3,#Iago_Oth,770,89,2478,338
1,3,#MESSENGERS.X.1_Oth,62,10,71,11
1,3,#OFFICERS.0.1_Oth,9,2,3118,432
1,3,#Othello_Oth,871,125,1997,287
1,3,#Roderigo_Oth,98,16,2678,370
1,3,#SENATORS.0.1_Oth,181,28,3205,445
1,3,#SENATORS.0.2_Oth,38,5,3188,442
1,3,#SENATORS_Oth,6,1,2299,335
1,3,#Sailor_Oth,24,4,33,6
2,1,#Cassio_Oth,361,54,1332,186
2,1,#Desdemona_Oth,202,31,1047,143
2,1,#Emilia_Oth,18,3,1047,143
2,1,#GENTLEMEN.1_Oth,19,3,1657,233
2,1,#GENTLEMEN.2_Oth,88,15,679,101
2,1,#GENTLEMEN.3_Oth,113,17,1511,212
2,1,#Iago_Oth,1261,150,1883,244
2,1,#MESSENGERS.X.2_Oth,19,2,1271,177
2,1,#Montano_Oth,151,21,1657,233
2,1,#Othello_Oth,220,30,261,37
2,1,#Roderigo_Oth,41,8,1663,217
2,2,#Herald_Oth,101,12,101,12
2,3,#Cassio_Oth,605,87,2182,308
2,3,#Desdemona_Oth,5,1,141,25
2,3,#GENTLEMEN_Oth,2,1,383,58
2,3,#Iago_Oth,1643,219,2875,397
2,3,#Montano_Oth,217,35,1414,206
2,3,#Othello_Oth,410,59,836,119
2,3,#Roderigo_Oth,66,8,243,36
3,1,#Cassio_Oth,149,25,441,65
3,1,#Clown_Oth,132,16,204,28
3,1,#Emilia_Oth,103,14,133,19
3,1,#Iago_Oth,34,5,79,12
3,1,#MUSICIANS.0.1_Oth,23,5,410,60
3,2,#GENTLEMEN.0.1_Oth,5,1,5,1
3,2,#Iago_Oth,7,1,48,7
3,2,#Othello_Oth,36,5,48,7
3,3,#Cassio_Oth,75,12,253,36
3,3,#Desdemona_Oth,539,71,801,114
3,3,#Emilia_Oth,207,29,1043,149
3,3,#Iago_Oth,1606,225,3315,471
3,3,#Othello_Oth,1448,209,3345,472
3,4,#Bianca_Oth,112,17,288,42
3,4,#Cassio_Oth,277,39,773,108
3,4,#Clown_Oth,95,12,148,22
3,4,#Desdemona_Oth,569,81,1277,189
3,4,#Emilia_Oth,116,20,1277,189
3,4,#Iago_Oth,74,9,279,37
3,4,#Othello_Oth,322,53,511,81
4,1,#Bianca_Oth,102,11,135,16
4,1,#Cassio_Oth,190,29,584,83
4,1,#Desdemona_Oth,77,14,345,58
4,1,#Iago_Oth,928,137,2151,323
4,1,#Lodovico_Oth,176,25,538,87
4,1,#Othello_Oth,678,107,1983,298
4,2,#Desdemona_Oth,454,66,1215,176
4,2,#Emilia_Oth,331,47,842,125
4,2,#Iago_Oth,439,58,1112,150
4,2,#Othello_Oth,495,71,757,110
4,2,#Roderigo_Oth,261,35,587,76
4,3,#Desdemona_Oth,423,60,860,117
4,3,#Emilia_Oth,385,50,860,117
4,3,#Lodovico_Oth,17,2,63,10
4,3,#Othello_Oth,35,5,63,10
5,1,#Bianca_Oth,53,7,436,64
5,1,#Cassio_Oth,98,16,604,100
5,1,#Emilia_Oth,27,5,154,21
5,1,#Gratiano_Oth,53,10,688,110
5,1,#Iago_Oth,580,83,858,129
5,1,#Lodovico_Oth,46,9,688,110
5,1,#Othello_Oth,64,10,75,12
5,1,#Roderigo_Oth,74,11,793,123
5,2,#Bianca_Oth,3,1,1490,214
5,2,#Cassio_Oth,102,15,1490,214
5,2,#Desdemona_Oth,272,43,2957,435
5,2,#Emilia_Oth,636,89,2283,330
5,2,#Gratiano_Oth,112,17,1538,218
5,2,#Iago_Oth,77,12,1269,184
5,2,#Lodovico_Oth,290,43,707,103
5,2,#Montano_Oth,52,8,1314,190
5,2,#Othello_Oth,1422,210,2957,435
1,1,#SERVANTS.BRABANTIO_Oth,0,0,205,29
1,2,#ATTENDANTS_Oth,0,0,820,123
1,2,#OFFICERS.0_Oth,0,0,371,55
1,3,#Cassio_Oth,0,0,1949,280
1,3,#OFFICERS.0_Oth,0,0,2478,338
1,3,#OFFICERS_Oth,0,0,2299,335
2,1,#ATTENDANTS_Oth,0,0,261,37
2,3,#ATTENDANTS.0_Oth,0,0,1128,145
2,3,#ATTENDANTS_Oth,0,0,836,119
2,3,#SERVANTS_Oth,0,0,1443,211
3,1,#MUSICIANS_Oth,0,0,145,21
3,2,#GENTLEMEN_Oth,0,0,48,7
4,1,#ATTENDANTS_Oth,0,0,538,87
4,3,#ATTENDANTS_Oth,0,0,63,10
5,2,#OFFICERS_Oth,0,0,707,103
