node,node_type
#ATTENDANTS.0_Oth,character
#ATTENDANTS_Oth,character
#Bianca_Oth,character
#Brabantio_Oth,character
#Cassio_Oth,character
#Clown_Oth,character
#Desdemona_Oth,character
#Duke_Oth,character
#Emilia_Oth,character
#GENTLEMEN.0.1_Oth,character
#GENTLEMEN.1_Oth,character
#GENTLEMEN.2_Oth,character
#GENTLEMEN.3_Oth,character
#GENTLEMEN_Oth,character
#Gratiano_Oth,character
#Herald_Oth,character
#Iago_Oth,character
#Lodovico_Oth,character
#MESSENGERS.X.1_Oth,character
#MESSENGERS.X.2_Oth,character
#MUSICIANS.0.1_Oth,character
#MUSICIANS_Oth,character
#Montano_Oth,character
#OFFICERS.0.1_Oth,character
#OFFICERS.0_Oth,character
#OFFICERS_Oth,character
#Othello_Oth,character
#Roderigo_Oth,character
#SENATORS.0.1_Oth,character
#SENATORS.0.2_Oth,character
#SENATORS_Oth,character
#SERVANTS.BRABANTIO_Oth,character
#SERVANTS_Oth,character
#Sailor_Oth,character
1.01.0001,text_unit
1.01.0002,text_unit
1.01.0003,text_unit
1.01.0004,text_unit
1.02.0005,text_unit
1.02.0006,text_unit
1.02.0007,text_unit
1.02.0008,text_unit
1.02.0009,text_unit
1.03.0010,text_unit
1.03.0011,text_unit
1.03.0012,text_unit
1.03.0013,text_unit
1.03.0014,text_unit
1.03.0015,text_unit
1.03.0016,text_unit
1.03.0017,text_unit
1.03.0018,text_unit
1.03.0019,text_unit
1.03.0020,text_unit
1.03.0021,text_unit
1.03.0022,text_unit
1.03.0023,text_unit
1.03.0024,text_unit
2.01.0025,text_unit
2.01.0026,text_unit
2.01.0027,text_unit
2.01.0028,text_unit
2.01.0029,text_unit
2.01.0030,text_unit
2.01.0031,text_unit
2.01.0032,text_unit
2.01.0033,text_unit
2.01.0034,text_unit
2.01.0035,text_unit
2.02.0036,text_unit
2.03.0037,text_unit
2.03.0038,text_unit
2.03.0039,text_unit
2.03.0040,text_unit
2.03.0041,text_unit
2.03.0042,text_unit
2.03.0043,text_unit
2.03.0044,text_unit
2.03.0045,text_unit
2.03.0046,text_unit
2.03.0047,text_unit
2.03.0048,text_unit
2.03.0049,text_unit
2.03.0050,text_unit
2.03.0051,text_unit
2.03.0052,text_unit
2.03.0053,text_unit
3.01.0054,text_unit
3.01.0055,text_unit
3.01.0056,text_unit
3.01.0057,text_unit
3.01.0058,text_unit
3.01.0059,text_unit
3.01.0060,text_unit
3.02.0061,text_unit
3.02.0062,text_unit
3.03.0063,text_unit
3.03.0064,text_unit
3.03.0065,text_unit
3.03.0066,text_unit
3.03.0067,text_unit
3.03.0068,text_unit
3.03.0069,text_unit
3.03.0070,text_unit
3.03.0071,text_unit
3.03.0072,text_unit
3.04.0073,text_unit
3.04.0074,text_unit
3.04.0075,text_unit
3.04.0076,text_unit
3.04.0077,text_unit
3.04.0078,text_unit
3.04.0079,text_unit
4.01.0080,text_unit
4.01.0081,text_unit
4.01.0082,text_unit
4.01.0083,text_unit
4.01.0084,text_unit
4.01.0085,text_unit
4.01.0086,text_unit
4.01.0087,text_unit
4.01.0088,text_unit
4.01.0089,text_unit
4.02.0090,text_unit
4.02.0091,text_unit
4.02.0092,text_unit
4.02.0093,text_unit
4.02.0094,text_unit
4.02.0095,text_unit
4.02.0096,text_unit
4.02.0097,text_unit
4.02.0098,text_unit
4.03.0099,text_unit
4.03.0100,text_unit
5.01.0101,text_unit
5.01.0102,text_unit
5.01.0103,text_unit
5.01.0104,text_unit
5.01.0105,text_unit
5.01.0106,text_unit
5.01.0107,text_unit
5.01.0108,text_unit
5.01.0109,text_unit
5.02.0110,text_unit
5.02.0111,text_unit
5.02.0112,text_unit
5.02.0113,text_unit
5.02.0114,text_unit
5.02.0115,text_unit
5.02.0116,text_unit
5.02.0117,text_unit
