node1,node2,key,act,scene,n_tokens,n_lines,edge_index
#Antiochus_Per,#Daughter_Per,0,1,1,1335,180,2
#Antiochus_Per,#FOLLOWERS.ANTIOCHUS_Per,0,1,1,1335,180,2
#Antiochus_Per,#MESSENGERS.ANTIOCH.1_Per,0,1,1,1335,180,2
#Antiochus_Per,#Pericles_Per,0,1,1,1335,180,2
#Antiochus_Per,#Thaliard_Per,0,1,1,1335,180,2
#Daughter_Per,#FOLLOWERS.ANTIOCHUS_Per,0,1,1,1335,180,2
#Daughter_Per,#MESSENGERS.ANTIOCH.1_Per,0,1,1,1335,180,2
#Daughter_Per,#Pericles_Per,0,1,1,1335,180,2
#Daughter_Per,#Thaliard_Per,0,1,1,1335,180,2
#FOLLOWERS.ANTIOCHUS_Per,#MESSENGERS.ANTIOCH.1_Per,0,1,1,1335,180,2
#FOLLOWERS.ANTIOCHUS_Per,#Pericles_Per,0,1,1,1335,180,2
#FOLLOWERS.ANTIOCHUS_Per,#Thaliard_Per,0,1,1,1335,180,2
#MESSENGERS.ANTIOCH.1_Per,#Pericles_Per,0,1,1,1335,180,2
#MESSENGERS.ANTIOCH.1_Per,#Thaliard_Per,0,1,1,1335,180,2
#Pericles_Per,#Thaliard_Per,0,1,1,1335,180,2
#ATTENDANTS.PERICLES.1_Per,#Helicanus_Per,0,1,2,1030,133,3
#ATTENDANTS.PERICLES.1_Per,#LORDS.TYRE.0.1_Per,0,1,2,1030,133,3
#ATTENDANTS.PERICLES.1_Per,#LORDS.TYRE.0.2_Per,0,1,2,1030,133,3
#ATTENDANTS.PERICLES.1_Per,#LORDS.TYRE_Per,0,1,2,1030,133,3
#Helicanus_Per,#LORDS.TYRE.0.1_Per,0,1,2,1030,133,3
#Helicanus_Per,#LORDS.TYRE.0.2_Per,0,1,2,1030,133,3
#Helicanus_Per,#LORDS.TYRE_Per,0,1,2,1030,133,3
#LORDS.TYRE.0.1_Per,#LORDS.TYRE.0.2_Per,0,1,2,1030,133,3
#LORDS.TYRE.0.1_Per,#LORDS.TYRE_Per,0,1,2,1030,133,3
#LORDS.TYRE.0.2_Per,#LORDS.TYRE_Per,0,1,2,1030,133,3
#Pericles_Per,#ATTENDANTS.PERICLES.1_Per,0,1,2,1030,133,3
#Pericles_Per,#Helicanus_Per,0,1,2,1030,133,3
#Pericles_Per,#LORDS.TYRE.0.1_Per,0,1,2,1030,133,3
#Pericles_Per,#LORDS.TYRE.0.2_Per,0,1,2,1030,133,3
#Pericles_Per,#LORDS.TYRE_Per,0,1,2,1030,133,3
#Helicanus_Per,#LORDS.TYRE_Per,1,1,3,322,40,4
#Thaliard_Per,#Helicanus_Per,0,1,3,322,40,4
#Thaliard_Per,#LORDS.TYRE_Per,0,1,3,322,40,4
#ATTENDANTS.PERICLES_Per,#CITIZENS.TARSUS_Per,0,1,4,839,110,5
#ATTENDANTS.PERICLES_Per,#Cleon_Per,0,1,4,839,110,5
#ATTENDANTS.PERICLES_Per,#Dionyza_Per,0,1,4,839,110,5
#ATTENDANTS.PERICLES_Per,#LORDS.TARSUS.1_Per,0,1,4,839,110,5
#CITIZENS.TARSUS_Per,#Cleon_Per,0,1,4,839,110,5
#CITIZENS.TARSUS_Per,#Dionyza_Per,0,1,4,839,110,5
#CITIZENS.TARSUS_Per,#LORDS.TARSUS.1_Per,0,1,4,839,110,5
#Cleon_Per,#Dionyza_Per,0,1,4,839,110,5
#Cleon_Per,#LORDS.TARSUS.1_Per,0,1,4,839,110,5
#Dionyza_Per,#LORDS.TARSUS.1_Per,0,1,4,839,110,5
#Pericles_Per,#ATTENDANTS.PERICLES_Per,0,1,4,839,110,5
#Pericles_Per,#CITIZENS.TARSUS_Per,0,1,4,839,110,5
#Pericles_Per,#Cleon_Per,0,1,4,839,110,5
#Pericles_Per,#Dionyza_Per,0,1,4,839,110,5
#Pericles_Per,#LORDS.TARSUS.1_Per,0,1,4,839,110,5
#FISHERMEN.1_Per,#FISHERMEN.2_Per,0,2,1,1315,172,7
#FISHERMEN.1_Per,#FISHERMEN.3_Per,0,2,1,1315,172,7
#FISHERMEN.2_Per,#FISHERMEN.3_Per,0,2,1,1315,172,7
#Pericles_Per,#FISHERMEN.1_Per,0,2,1,1315,172,7
#Pericles_Per,#FISHERMEN.2_Per,0,2,1,1315,172,7
#Pericles_Per,#FISHERMEN.3_Per,0,2,1,1315,172,7
#ATTENDANTS.SIMONIDES_Per,#LORDS.PENTAPOLIS.0.1_Per,0,2,2,438,61,8
#ATTENDANTS.SIMONIDES_Per,#LORDS.PENTAPOLIS.0.2_Per,0,2,2,438,61,8
#ATTENDANTS.SIMONIDES_Per,#LORDS.PENTAPOLIS.0.3_Per,0,2,2,438,61,8
#ATTENDANTS.SIMONIDES_Per,#LORDS.PENTAPOLIS_Per,0,2,2,438,61,8
#ATTENDANTS.SIMONIDES_Per,#Simonides_Per,0,2,2,438,61,8
#ATTENDANTS.SIMONIDES_Per,#Thaisa_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.1_Per,#LORDS.PENTAPOLIS.0.2_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.1_Per,#LORDS.PENTAPOLIS.0.3_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.1_Per,#LORDS.PENTAPOLIS_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.1_Per,#Simonides_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.1_Per,#Thaisa_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.2_Per,#LORDS.PENTAPOLIS.0.3_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.2_Per,#LORDS.PENTAPOLIS_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.2_Per,#Simonides_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.2_Per,#Thaisa_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.3_Per,#LORDS.PENTAPOLIS_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.3_Per,#Simonides_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS.0.3_Per,#Thaisa_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS_Per,#Simonides_Per,0,2,2,438,61,8
#LORDS.PENTAPOLIS_Per,#Thaisa_Per,0,2,2,438,61,8
#Simonides_Per,#Thaisa_Per,0,2,2,438,61,8
#ATTENDANTS.SIMONIDES_Per,#KNIGHTS.0.1_Per,0,2,3,901,123,9
#ATTENDANTS.SIMONIDES_Per,#KNIGHTS_Per,0,2,3,901,123,9
#ATTENDANTS.SIMONIDES_Per,#LADIES.PENTAPOLIS_Per,0,2,3,901,123,9
#ATTENDANTS.SIMONIDES_Per,#LORDS.PENTAPOLIS_Per,1,2,3,901,123,9
#ATTENDANTS.SIMONIDES_Per,#Marshal_Per,0,2,3,901,123,9
#ATTENDANTS.SIMONIDES_Per,#Simonides_Per,1,2,3,901,123,9
#ATTENDANTS.SIMONIDES_Per,#Thaisa_Per,1,2,3,901,123,9
#KNIGHTS.0.1_Per,#KNIGHTS_Per,0,2,3,901,123,9
#KNIGHTS.0.1_Per,#LADIES.PENTAPOLIS_Per,0,2,3,901,123,9
#KNIGHTS.0.1_Per,#Marshal_Per,0,2,3,901,123,9
#KNIGHTS_Per,#LADIES.PENTAPOLIS_Per,0,2,3,901,123,9
#KNIGHTS_Per,#Marshal_Per,0,2,3,901,123,9
#LADIES.PENTAPOLIS_Per,#Marshal_Per,0,2,3,901,123,9
#LORDS.PENTAPOLIS_Per,#KNIGHTS.0.1_Per,0,2,3,901,123,9
#LORDS.PENTAPOLIS_Per,#KNIGHTS_Per,0,2,3,901,123,9
#LORDS.PENTAPOLIS_Per,#LADIES.PENTAPOLIS_Per,0,2,3,901,123,9
#LORDS.PENTAPOLIS_Per,#Marshal_Per,0,2,3,901,123,9
#LORDS.PENTAPOLIS_Per,#Simonides_Per,1,2,3,901,123,9
#LORDS.PENTAPOLIS_Per,#Thaisa_Per,1,2,3,901,123,9
#Pericles_Per,#ATTENDANTS.SIMONIDES_Per,0,2,3,901,123,9
#Pericles_Per,#KNIGHTS.0.1_Per,0,2,3,901,123,9
#Pericles_Per,#KNIGHTS_Per,0,2,3,901,123,9
#Pericles_Per,#LADIES.PENTAPOLIS_Per,0,2,3,901,123,9
#Pericles_Per,#LORDS.PENTAPOLIS_Per,0,2,3,901,123,9
#Pericles_Per,#Marshal_Per,0,2,3,901,123,9
#Pericles_Per,#Simonides_Per,0,2,3,901,123,9
#Pericles_Per,#Thaisa_Per,0,2,3,901,123,9
#Simonides_Per,#KNIGHTS.0.1_Per,0,2,3,901,123,9
#Simonides_Per,#KNIGHTS_Per,0,2,3,901,123,9
#Simonides_Per,#LADIES.PENTAPOLIS_Per,0,2,3,901,123,9
#Simonides_Per,#Marshal_Per,0,2,3,901,123,9
#Simonides_Per,#Thaisa_Per,1,2,3,901,123,9
#Thaisa_Per,#KNIGHTS.0.1_Per,0,2,3,901,123,9
#Thaisa_Per,#KNIGHTS_Per,0,2,3,901,123,9
#Thaisa_Per,#LADIES.PENTAPOLIS_Per,0,2,3,901,123,9
#Thaisa_Per,#Marshal_Per,0,2,3,901,123,9
#Helicanus_Per,#LORDS.TYRE.0.1_Per,1,2,4,455,60,10
#Helicanus_Per,#LORDS.TYRE.0.2_Per,1,2,4,455,60,10
#Helicanus_Per,#LORDS.TYRE.0.3_Per,0,2,4,455,60,10
#Helicanus_Per,#LORDS.TYRE.Escanes_Per,0,2,4,455,60,10
#Helicanus_Per,#LORDS.TYRE_Per,2,2,4,455,60,10
#LORDS.TYRE.0.1_Per,#LORDS.TYRE.0.2_Per,1,2,4,455,60,10
#LORDS.TYRE.0.1_Per,#LORDS.TYRE.0.3_Per,0,2,4,455,60,10
#LORDS.TYRE.0.1_Per,#LORDS.TYRE.Escanes_Per,0,2,4,455,60,10
#LORDS.TYRE.0.1_Per,#LORDS.TYRE_Per,1,2,4,455,60,10
#LORDS.TYRE.0.2_Per,#LORDS.TYRE.0.3_Per,0,2,4,455,60,10
#LORDS.TYRE.0.2_Per,#LORDS.TYRE.Escanes_Per,0,2,4,455,60,10
#LORDS.TYRE.0.2_Per,#LORDS.TYRE_Per,1,2,4,455,60,10
#LORDS.TYRE.0.3_Per,#LORDS.TYRE.Escanes_Per,0,2,4,455,60,10
#LORDS.TYRE_Per,#LORDS.TYRE.0.3_Per,0,2,4,455,60,10
#LORDS.TYRE_Per,#LORDS.TYRE.Escanes_Per,0,2,4,455,60,10
#KNIGHTS.0.1_Per,#KNIGHTS.0.2_Per,0,2,5,694,96,11
#KNIGHTS.0.1_Per,#KNIGHTS.0.3_Per,0,2,5,694,96,11
#KNIGHTS.0.1_Per,#KNIGHTS_Per,1,2,5,694,96,11
#KNIGHTS.0.2_Per,#KNIGHTS.0.3_Per,0,2,5,694,96,11
#KNIGHTS_Per,#KNIGHTS.0.2_Per,0,2,5,694,96,11
#KNIGHTS_Per,#KNIGHTS.0.3_Per,0,2,5,694,96,11
#Pericles_Per,#KNIGHTS.0.1_Per,1,2,5,694,96,11
#Pericles_Per,#KNIGHTS.0.2_Per,0,2,5,694,96,11
#Pericles_Per,#KNIGHTS.0.3_Per,0,2,5,694,96,11
#Pericles_Per,#KNIGHTS_Per,1,2,5,694,96,11
#Pericles_Per,#Simonides_Per,1,2,5,694,96,11
#Pericles_Per,#Thaisa_Per,1,2,5,694,96,11
#Simonides_Per,#KNIGHTS.0.1_Per,1,2,5,694,96,11
#Simonides_Per,#KNIGHTS.0.2_Per,0,2,5,694,96,11
