act,scene,stagegroup,n_tokens,n_lines,onstage
1,0,1,281,42,#Gower_Per
1,1,2,81,12,#Antiochus_Per #FOLLOWERS.ANTIOCHUS_Per #Pericles_Per
1,1,3,866,114,#Antiochus_Per #Daughter_Per #FOLLOWERS.ANTIOCHUS_Per #Pericles_Per
1,1,4,181,22,#Pericles_Per
1,1,5,54,8,#Antiochus_Per
1,1,6,69,12,#Antiochus_Per #Thaliard_Per
1,1,7,14,2,#Antiochus_Per #MESSENGERS.ANTIOCH.1_Per #Thaliard_Per
1,1,8,70,10,#Antiochus_Per #Thaliard_Per
1,2,9,4,1,#ATTENDANTS.PERICLES.1_Per #Pericles_Per
1,2,10,276,36,#Pericles_Per
1,2,11,8,1,#Helicanus_Per #LORDS.TYRE.0.1_Per #LORDS.TYRE_Per #Pericles_Per
1,2,12,122,16,#Helicanus_Per #LORDS.TYRE.0.1_Per #LORDS.TYRE.0.2_Per #LORDS.TYRE_Per #Pericles_Per
1,2,13,620,79,#Helicanus_Per #LORDS.TYRE.0.1_Per #LORDS.TYRE.0.2_Per #Pericles_Per
1,3,14,99,10,#Thaliard_Per
1,3,15,223,30,#Helicanus_Per #LORDS.TYRE_Per #Thaliard_Per
1,4,16,440,56,#CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per
1,4,17,187,27,#CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per #LORDS.TARSUS.1_Per
1,4,18,15,2,#CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per
1,4,19,197,25,#ATTENDANTS.PERICLES_Per #CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per #Pericles_Per
2,0,20,264,40,#Gower_Per
2,1,21,95,11,#Pericles_Per
2,1,22,635,87,#FISHERMEN.1_Per #FISHERMEN.2_Per #FISHERMEN.3_Per #Pericles_Per
2,1,23,159,22,#FISHERMEN.1_Per #Pericles_Per
2,1,24,426,52,#FISHERMEN.1_Per #FISHERMEN.2_Per #FISHERMEN.3_Per #Pericles_Per
2,2,25,8,1,#ATTENDANTS.SIMONIDES_Per #LORDS.PENTAPOLIS_Per #Simonides_Per #Thaisa_Per
2,2,26,371,52,#ATTENDANTS.SIMONIDES_Per #LORDS.PENTAPOLIS.0.1_Per #LORDS.PENTAPOLIS_Per #Simonides_Per #Thaisa_Per
