node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#ATTENDANTS_R2,#Gaunt_R2,0,1,1,1,145,20,1
#ATTENDANTS_R2,#LORDS_R2,0,1,1,1,145,20,1
#ATTENDANTS_R2,#RichardII_R2,0,1,1,1,145,20,1
#Gaunt_R2,#LORDS_R2,0,1,1,1,145,20,1
#Gaunt_R2,#RichardII_R2,0,1,1,1,145,20,1
#LORDS_R2,#RichardII_R2,0,1,1,1,145,20,1
#ATTENDANTS_R2,#Gaunt_R2,1,1,1,2,1454,191,2
#ATTENDANTS_R2,#HenryIV_1H4,0,1,1,2,1454,191,2
#ATTENDANTS_R2,#LORDS_R2,1,1,1,2,1454,191,2
#ATTENDANTS_R2,#Mowbray_R2,0,1,1,2,1454,191,2
#ATTENDANTS_R2,#RichardII_R2,1,1,1,2,1454,191,2
#Gaunt_R2,#HenryIV_1H4,0,1,1,2,1454,191,2
#Gaunt_R2,#LORDS_R2,1,1,1,2,1454,191,2
#Gaunt_R2,#Mowbray_R2,0,1,1,2,1454,191,2
#Gaunt_R2,#RichardII_R2,1,1,1,2,1454,191,2
#HenryIV_1H4,#Mowbray_R2,0,1,1,2,1454,191,2
#LORDS_R2,#HenryIV_1H4,0,1,1,2,1454,191,2
#LORDS_R2,#Mowbray_R2,0,1,1,2,1454,191,2
#LORDS_R2,#RichardII_R2,1,1,1,2,1454,191,2
#RichardII_R2,#HenryIV_1H4,0,1,1,2,1454,191,2
#RichardII_R2,#Mowbray_R2,0,1,1,2,1454,191,2
#Gaunt_R2,#DuchessOfGloucester_R2,0,1,2,3,578,76,3
#Aumerle_R2,#LordMarshal_R2,0,1,3,4,45,6,4
#Aumerle_R2,#HERALDS.1_R2,0,1,3,5,152,19,5
#Aumerle_R2,#LordMarshal_R2,1,1,3,5,152,19,5
#Aumerle_R2,#OFFICERS_R2,0,1,3,5,152,19,5
#Gaunt_R2,#Aumerle_R2,0,1,3,5,152,19,5
#Gaunt_R2,#HERALDS.1_R2,0,1,3,5,152,19,5
#Gaunt_R2,#LORDS_R2,2,1,3,5,152,19,5
