act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
1,1,1,1,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,45,6
1,1,1,2,#Gaunt_R2,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,4,1
1,1,1,3,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,30,4
1,1,1,4,#Gaunt_R2,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,24,3
1,1,1,5,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,42,6
1,1,2,6,#HenryIV_1H4,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,13,2
1,1,2,7,#Mowbray_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,20,3
1,1,2,8,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,39,5
1,1,2,9,#HenryIV_1H4,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,138,18
1,1,2,10,#Mowbray_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,177,22
1,1,2,11,#HenryIV_1H4,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,75,9
1,1,2,12,#Mowbray_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,47,6
1,1,2,13,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,26,3
1,1,2,14,#HenryIV_1H4,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,169,24
1,1,2,15,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,15,2
1,1,2,16,#Mowbray_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,36,4
1,1,2,17,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,68,9
1,1,2,18,#Mowbray_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,212,28
1,1,2,19,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,57,8
1,1,2,20,#Gaunt_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,17,2
1,1,2,21,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,5,1
1,1,2,22,#Gaunt_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,10,2
1,1,2,23,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,9,1
1,1,2,24,#Mowbray_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,70,9
1,1,2,25,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,12,2
1,1,2,26,#Mowbray_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,89,11
1,1,2,27,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,8,1
1,1,2,28,#HenryIV_1H4,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,71,9
1,1,2,29,#RichardII_R2,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2,71,10
1,2,3,30,#Gaunt_R2,#DuchessOfGloucester_R2 #Gaunt_R2,63,8
1,2,3,31,#DuchessOfGloucester_R2,#DuchessOfGloucester_R2 #Gaunt_R2,229,30
1,2,3,32,#Gaunt_R2,#DuchessOfGloucester_R2 #Gaunt_R2,35,5
1,2,3,33,#DuchessOfGloucester_R2,#DuchessOfGloucester_R2 #Gaunt_R2,7,1
1,2,3,34,#Gaunt_R2,#DuchessOfGloucester_R2 #Gaunt_R2,7,1
1,2,3,35,#DuchessOfGloucester_R2,#DuchessOfGloucester_R2 #Gaunt_R2,89,12
1,2,3,36,#Gaunt_R2,#DuchessOfGloucester_R2 #Gaunt_R2,16,2
1,2,3,37,#DuchessOfGloucester_R2,#DuchessOfGloucester_R2 #Gaunt_R2,132,17
1,3,4,38,#LordMarshal_R2,#Aumerle_R2 #LordMarshal_R2,7,1
1,3,4,39,#Aumerle_R2,#Aumerle_R2 #LordMarshal_R2,9,1
1,3,4,40,#LordMarshal_R2,#Aumerle_R2 #LordMarshal_R2,15,2
1,3,4,41,#Aumerle_R2,#Aumerle_R2 #LordMarshal_R2,14,2
1,3,5,42,#RichardII_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,29,4
1,3,5,43,#LordMarshal_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,44,5
1,3,5,44,#Mowbray_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,79,10
1,3,6,45,#RichardII_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,35,5
1,3,6,46,#LordMarshal_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,33,4
1,3,6,47,#HenryIV_1H4,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,57,7
1,3,6,48,#LordMarshal_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,28,4
1,3,6,49,#HenryIV_1H4,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,44,6
1,3,6,50,#LordMarshal_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,18,2
1,3,6,51,#RichardII_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,41,5
1,3,6,52,#HenryIV_1H4,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,150,19
1,3,6,53,#Gaunt_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,42,6
1,3,6,54,#HenryIV_1H4,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,7,1
1,3,6,55,#Mowbray_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,88,12
1,3,6,56,#RichardII_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,19,3
1,3,6,57,#LordMarshal_R2,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,14,2
1,3,6,58,#HenryIV_1H4,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2,9,1
