node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.GAUNT_R2,1086,0,145,0
#ATTENDANTS.HENRY_R2,1633,0,220,0
#ATTENDANTS_R2,1599,0,211,0
#AbbotOfWestminster_R2,2626,71,347,10
#Aumerle_R2,11285,676,1487,88
#Bagot_R2,5384,171,713,24
#Berkeley_R2,843,69,105,8
#BishopOfCarlisle_R2,4640,485,607,63
#Bushy_R2,2736,272,365,41
#DuchessOfGloucester_R2,578,457,76,60
#DuchessOfYork_R2,1564,734,209,96
#Exton_R2,339,178,42,21
#Fitzwater_R2,2837,218,373,28
#Gardener_R2,678,409,88,53
#Gaunt_R2,5618,1515,742,199
#Green_R2,2827,243,377,34
#Groom_R2,254,91,32,12
#HERALDS.1_R2,1874,48,248,6
#HERALDS.2_R2,1722,48,229,7
#HERALDS.X_R2,2522,0,333,0
#HenryIV_1H4,11102,3117,1462,420
#Hotspur_R2,5707,352,750,47
#Jailer_R2,208,38,26,6
#LADIES.0.1_R2,835,27,112,6
#LADIES_R2,1631,0,212,0
#LORDS.1_R2,2522,43,333,5
#LORDS_R2,4027,0,534,0
#LordMarshal_R2,2400,202,316,25
#Mowbray_R2,2988,1057,396,136
#Northumberland_R2,7833,1104,1024,145
#OFFICERS.0.1_R2,437,0,61,0
#OFFICERS.0_R2,2507,0,330,0
#OFFICERS_R2,5185,0,679,0
#Queen_R2,3802,910,499,117
#RichardII_R2,11088,5986,1444,776
#Ross_R2,2765,178,353,22
#SERVANTS.EXTON.0.1_R2,69,7,9,2
#SERVANTS.EXTON_R2,402,0,50,0
#SERVANTS.GARDENER.1_R2,678,70,88,10
#SERVANTS.GARDENER.2_R2,678,0,88,0
#SERVANTS.YORK.1_R2,206,43,27,5
#SOLDIERS.HENRY_R2,1633,0,220,0
#SOLDIERS.RICHARD_R2,1744,0,226,0
#Salisbury_R2,1455,156,187,20
#Scroop_R2,1032,285,134,39
#Surrey_R2,2522,75,333,10
#WelshCaptain_R2,136,121,17,15
#Willoughby_R2,2765,102,353,13
#York_R2,8618,2232,1142,296
