node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#Brakenbury_R3,#Clarence_3H6,0,1,1,2,574,78,2
#Brakenbury_R3,#GUARDS_R3,0,1,1,2,574,78,2
#Brakenbury_R3,#RichardIII_R3,0,1,1,2,574,78,2
#Clarence_3H6,#GUARDS_R3,0,1,1,2,574,78,2
#Clarence_3H6,#RichardIII_R3,0,1,1,2,574,78,2
#GUARDS_R3,#RichardIII_R3,0,1,1,2,574,78,2
#RichardIII_R3,#Hastings_3H6,0,1,1,4,165,23,4
#GENTLEMEN_R3,#HenryVI_1H6,0,1,2,6,249,33,6
#GENTLEMEN_R3,#LadyAnne_R3,0,1,2,6,249,33,6
#GUARDS_R3,#GENTLEMEN_R3,0,1,2,6,249,33,6
#GUARDS_R3,#HenryVI_1H6,0,1,2,6,249,33,6
#GUARDS_R3,#LadyAnne_R3,0,1,2,6,249,33,6
#HenryVI_1H6,#LadyAnne_R3,0,1,2,6,249,33,6
#GENTLEMEN_R3,#HenryVI_1H6,1,1,2,7,39,5,7
#GENTLEMEN_R3,#LadyAnne_R3,1,1,2,7,39,5,7
#GUARDS_R3,#GENTLEMEN_R3,1,1,2,7,39,5,7
#GUARDS_R3,#HenryVI_1H6,1,1,2,7,39,5,7
#GUARDS_R3,#LadyAnne_R3,1,1,2,7,39,5,7
#GUARDS_R3,#RichardIII_R3,1,1,2,7,39,5,7
#HenryVI_1H6,#LadyAnne_R3,1,1,2,7,39,5,7
#RichardIII_R3,#GENTLEMEN_R3,0,1,2,7,39,5,7
#RichardIII_R3,#HenryVI_1H6,0,1,2,7,39,5,7
#RichardIII_R3,#LadyAnne_R3,0,1,2,7,39,5,7
#GENTLEMEN_R3,#GENTLEMEN.0.1_R3,0,1,2,8,1471,206,8
#GENTLEMEN_R3,#HenryVI_1H6,2,1,2,8,1471,206,8
#GENTLEMEN_R3,#LadyAnne_R3,2,1,2,8,1471,206,8
#GUARDS_R3,#GENTLEMEN.0.1_R3,0,1,2,8,1471,206,8
#GUARDS_R3,#GENTLEMEN_R3,2,1,2,8,1471,206,8
#GUARDS_R3,#HenryVI_1H6,2,1,2,8,1471,206,8
#GUARDS_R3,#LadyAnne_R3,2,1,2,8,1471,206,8
#GUARDS_R3,#RichardIII_R3,2,1,2,8,1471,206,8
#HenryVI_1H6,#GENTLEMEN.0.1_R3,0,1,2,8,1471,206,8
#HenryVI_1H6,#LadyAnne_R3,2,1,2,8,1471,206,8
#LadyAnne_R3,#GENTLEMEN.0.1_R3,0,1,2,8,1471,206,8
#RichardIII_R3,#GENTLEMEN.0.1_R3,0,1,2,8,1471,206,8
#RichardIII_R3,#GENTLEMEN_R3,1,1,2,8,1471,206,8
#RichardIII_R3,#HenryVI_1H6,1,1,2,8,1471,206,8
#RichardIII_R3,#LadyAnne_R3,1,1,2,8,1471,206,8
#GENTLEMEN_R3,#GENTLEMEN.0.1_R3,1,1,2,9,11,2,9
#GENTLEMEN_R3,#HenryVI_1H6,3,1,2,9,11,2,9
#GUARDS_R3,#GENTLEMEN.0.1_R3,1,1,2,9,11,2,9
#GUARDS_R3,#GENTLEMEN_R3,3,1,2,9,11,2,9
#GUARDS_R3,#HenryVI_1H6,3,1,2,9,11,2,9
#GUARDS_R3,#RichardIII_R3,3,1,2,9,11,2,9
#HenryVI_1H6,#GENTLEMEN.0.1_R3,1,1,2,9,11,2,9
#RichardIII_R3,#GENTLEMEN.0.1_R3,1,1,2,9,11,2,9
#RichardIII_R3,#GENTLEMEN_R3,2,1,2,9,11,2,9
#RichardIII_R3,#HenryVI_1H6,2,1,2,9,11,2,9
#RichardIII_R3,#GENTLEMEN.0.1_R3,2,1,2,10,288,38,10
#Dorset_R3,#Grey_R3,0,1,3,11,131,17,11
#Dorset_R3,#QueenElizabeth_3H6,0,1,3,11,131,17,11
#Dorset_R3,#Rivers_3H6,0,1,3,11,131,17,11
#Grey_R3,#QueenElizabeth_3H6,0,1,3,11,131,17,11
#Grey_R3,#Rivers_3H6,0,1,3,11,131,17,11
#QueenElizabeth_3H6,#Rivers_3H6,0,1,3,11,131,17,11
#Buckingham_R3,#Stanley_R3,0,1,3,12,194,25,12
#Dorset_R3,#Buckingham_R3,0,1,3,12,194,25,12
#Dorset_R3,#Grey_R3,1,1,3,12,194,25,12
#Dorset_R3,#QueenElizabeth_3H6,1,1,3,12,194,25,12
#Dorset_R3,#Rivers_3H6,1,1,3,12,194,25,12
#Dorset_R3,#Stanley_R3,0,1,3,12,194,25,12
#Grey_R3,#Buckingham_R3,0,1,3,12,194,25,12
#Grey_R3,#QueenElizabeth_3H6,1,1,3,12,194,25,12
#Grey_R3,#Rivers_3H6,1,1,3,12,194,25,12
#Grey_R3,#Stanley_R3,0,1,3,12,194,25,12
#QueenElizabeth_3H6,#Buckingham_R3,0,1,3,12,194,25,12
#QueenElizabeth_3H6,#Rivers_3H6,1,1,3,12,194,25,12
#QueenElizabeth_3H6,#Stanley_R3,0,1,3,12,194,25,12
#Rivers_3H6,#Buckingham_R3,0,1,3,12,194,25,12
#Rivers_3H6,#Stanley_R3,0,1,3,12,194,25,12
#Buckingham_R3,#Stanley_R3,1,1,3,13,512,71,13
#Dorset_R3,#Buckingham_R3,1,1,3,13,512,71,13
#Dorset_R3,#Grey_R3,2,1,3,13,512,71,13
#Dorset_R3,#QueenElizabeth_3H6,2,1,3,13,512,71,13
#Dorset_R3,#Rivers_3H6,2,1,3,13,512,71,13
#Dorset_R3,#Stanley_R3,1,1,3,13,512,71,13
#Grey_R3,#Buckingham_R3,1,1,3,13,512,71,13
#Grey_R3,#QueenElizabeth_3H6,2,1,3,13,512,71,13
#Grey_R3,#Rivers_3H6,2,1,3,13,512,71,13
#Grey_R3,#Stanley_R3,1,1,3,13,512,71,13
#Hastings_3H6,#Buckingham_R3,0,1,3,13,512,71,13
#Hastings_3H6,#Dorset_R3,0,1,3,13,512,71,13
#Hastings_3H6,#Grey_R3,0,1,3,13,512,71,13
#Hastings_3H6,#QueenElizabeth_3H6,0,1,3,13,512,71,13
#Hastings_3H6,#Rivers_3H6,0,1,3,13,512,71,13
#Hastings_3H6,#Stanley_R3,0,1,3,13,512,71,13
#QueenElizabeth_3H6,#Buckingham_R3,1,1,3,13,512,71,13
#QueenElizabeth_3H6,#Rivers_3H6,2,1,3,13,512,71,13
#QueenElizabeth_3H6,#Stanley_R3,1,1,3,13,512,71,13
#RichardIII_R3,#Buckingham_R3,0,1,3,13,512,71,13
#RichardIII_R3,#Dorset_R3,0,1,3,13,512,71,13
#RichardIII_R3,#Grey_R3,0,1,3,13,512,71,13
#RichardIII_R3,#Hastings_3H6,1,1,3,13,512,71,13
#RichardIII_R3,#QueenElizabeth_3H6,0,1,3,13,512,71,13
#RichardIII_R3,#Rivers_3H6,0,1,3,13,512,71,13
#RichardIII_R3,#Stanley_R3,0,1,3,13,512,71,13
#Rivers_3H6,#Buckingham_R3,1,1,3,13,512,71,13
#Rivers_3H6,#Stanley_R3,1,1,3,13,512,71,13
#Buckingham_R3,#QueenMargaret_1H6,0,1,3,14,1584,209,14
#Buckingham_R3,#Stanley_R3,2,1,3,14,1584,209,14
#Dorset_R3,#Buckingham_R3,2,1,3,14,1584,209,14
#Dorset_R3,#Grey_R3,3,1,3,14,1584,209,14
#Dorset_R3,#QueenElizabeth_3H6,3,1,3,14,1584,209,14
#Dorset_R3,#QueenMargaret_1H6,0,1,3,14,1584,209,14
#Dorset_R3,#Rivers_3H6,3,1,3,14,1584,209,14
#Dorset_R3,#Stanley_R3,2,1,3,14,1584,209,14
#Grey_R3,#Buckingham_R3,2,1,3,14,1584,209,14
#Grey_R3,#QueenElizabeth_3H6,3,1,3,14,1584,209,14
#Grey_R3,#QueenMargaret_1H6,0,1,3,14,1584,209,14
#Grey_R3,#Rivers_3H6,3,1,3,14,1584,209,14
#Grey_R3,#Stanley_R3,2,1,3,14,1584,209,14
#Hastings_3H6,#Buckingham_R3,1,1,3,14,1584,209,14
#Hastings_3H6,#Dorset_R3,1,1,3,14,1584,209,14
#Hastings_3H6,#Grey_R3,1,1,3,14,1584,209,14
#Hastings_3H6,#QueenElizabeth_3H6,1,1,3,14,1584,209,14
#Hastings_3H6,#QueenMargaret_1H6,0,1,3,14,1584,209,14
#Hastings_3H6,#Rivers_3H6,1,1,3,14,1584,209,14
#Hastings_3H6,#Stanley_R3,1,1,3,14,1584,209,14
#QueenElizabeth_3H6,#Buckingham_R3,2,1,3,14,1584,209,14
#QueenElizabeth_3H6,#QueenMargaret_1H6,0,1,3,14,1584,209,14
#QueenElizabeth_3H6,#Rivers_3H6,3,1,3,14,1584,209,14
#QueenElizabeth_3H6,#Stanley_R3,2,1,3,14,1584,209,14
#RichardIII_R3,#Buckingham_R3,1,1,3,14,1584,209,14
#RichardIII_R3,#Dorset_R3,1,1,3,14,1584,209,14
#RichardIII_R3,#Grey_R3,1,1,3,14,1584,209,14
#RichardIII_R3,#Hastings_3H6,2,1,3,14,1584,209,14
#RichardIII_R3,#QueenElizabeth_3H6,1,1,3,14,1584,209,14
#RichardIII_R3,#QueenMargaret_1H6,0,1,3,14,1584,209,14
#RichardIII_R3,#Rivers_3H6,1,1,3,14,1584,209,14
#RichardIII_R3,#Stanley_R3,1,1,3,14,1584,209,14
#Rivers_3H6,#Buckingham_R3,2,1,3,14,1584,209,14
#Rivers_3H6,#QueenMargaret_1H6,0,1,3,14,1584,209,14
#Rivers_3H6,#Stanley_R3,2,1,3,14,1584,209,14
#Stanley_R3,#QueenMargaret_1H6,0,1,3,14,1584,209,14
#Buckingham_R3,#Stanley_R3,3,1,3,15,137,16,15
#Dorset_R3,#Buckingham_R3,3,1,3,15,137,16,15
#Dorset_R3,#Grey_R3,4,1,3,15,137,16,15
#Dorset_R3,#QueenElizabeth_3H6,4,1,3,15,137,16,15
#Dorset_R3,#Rivers_3H6,4,1,3,15,137,16,15
#Dorset_R3,#Stanley_R3,3,1,3,15,137,16,15
#Grey_R3,#Buckingham_R3,3,1,3,15,137,16,15
#Grey_R3,#QueenElizabeth_3H6,4,1,3,15,137,16,15
#Grey_R3,#Rivers_3H6,4,1,3,15,137,16,15
#Grey_R3,#Stanley_R3,3,1,3,15,137,16,15
#Hastings_3H6,#Buckingham_R3,2,1,3,15,137,16,15
#Hastings_3H6,#Dorset_R3,2,1,3,15,137,16,15
#Hastings_3H6,#Grey_R3,2,1,3,15,137,16,15
#Hastings_3H6,#QueenElizabeth_3H6,2,1,3,15,137,16,15
#Hastings_3H6,#Rivers_3H6,2,1,3,15,137,16,15
#Hastings_3H6,#Stanley_R3,2,1,3,15,137,16,15
#QueenElizabeth_3H6,#Buckingham_R3,3,1,3,15,137,16,15
#QueenElizabeth_3H6,#Rivers_3H6,4,1,3,15,137,16,15
#QueenElizabeth_3H6,#Stanley_R3,3,1,3,15,137,16,15
#RichardIII_R3,#Buckingham_R3,2,1,3,15,137,16,15
