act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
1,1,1,1,#RichardIII_R3,#RichardIII_R3,307,42
1,1,2,2,#RichardIII_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,13,2
1,1,2,3,#Clarence_3H6,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,16,3
1,1,2,4,#RichardIII_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,3,1
1,1,2,5,#Clarence_3H6,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,5,2
1,1,2,6,#RichardIII_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,40,5
1,1,2,7,#Clarence_3H6,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,82,10
1,1,2,8,#RichardIII_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,75,9
1,1,2,9,#Clarence_3H6,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,39,5
1,1,2,10,#RichardIII_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,57,8
1,1,2,11,#Brakenbury_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,29,4
1,1,2,12,#RichardIII_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,75,9
1,1,2,13,#Brakenbury_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,9,1
1,1,2,14,#RichardIII_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,25,4
1,1,2,15,#Brakenbury_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,17,2
1,1,2,16,#Clarence_3H6,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,8,1
1,1,2,17,#RichardIII_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,50,7
1,1,2,18,#Clarence_3H6,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,8,1
1,1,2,19,#RichardIII_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,19,3
1,1,2,20,#Clarence_3H6,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,4,1
1,1,3,21,#RichardIII_R3,#RichardIII_R3,42,5
1,1,4,22,#Hastings_3H6,#Hastings_3H6 #RichardIII_R3,8,1
1,1,4,23,#RichardIII_R3,#Hastings_3H6 #RichardIII_R3,21,3
1,1,4,24,#Hastings_3H6,#Hastings_3H6 #RichardIII_R3,24,3
1,1,4,25,#RichardIII_R3,#Hastings_3H6 #RichardIII_R3,26,3
1,1,4,26,#Hastings_3H6,#Hastings_3H6 #RichardIII_R3,15,2
1,1,4,27,#RichardIII_R3,#Hastings_3H6 #RichardIII_R3,3,1
1,1,4,28,#Hastings_3H6,#Hastings_3H6 #RichardIII_R3,22,3
1,1,4,29,#RichardIII_R3,#Hastings_3H6 #RichardIII_R3,36,5
1,1,4,30,#Hastings_3H6,#Hastings_3H6 #RichardIII_R3,2,1
1,1,4,31,#RichardIII_R3,#Hastings_3H6 #RichardIII_R3,8,1
1,1,5,32,#RichardIII_R3,#RichardIII_R3,151,18
