act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,1,1,#RichardIII_R3,#RichardIII_R3,307,42
1,1,2,#Brakenbury_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,55,7
1,1,2,#Clarence_3H6,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,162,23
1,1,2,#RichardIII_R3,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #RichardIII_R3,357,48
1,1,3,#RichardIII_R3,#RichardIII_R3,42,5
1,1,4,#Hastings_3H6,#Hastings_3H6 #RichardIII_R3,71,10
1,1,4,#RichardIII_R3,#Hastings_3H6 #RichardIII_R3,94,13
1,1,5,#RichardIII_R3,#RichardIII_R3,151,18
1,2,6,#LadyAnne_R3,#GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #LadyAnne_R3,249,33
1,2,7,#LadyAnne_R3,#GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #LadyAnne_R3 #RichardIII_R3,12,2
1,2,7,#RichardIII_R3,#GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #LadyAnne_R3 #RichardIII_R3,27,3
1,2,8,#GENTLEMEN.0.1_R3,#GENTLEMEN.0.1_R3 #GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #LadyAnne_R3 #RichardIII_R3,9,1
1,2,8,#LadyAnne_R3,#GENTLEMEN.0.1_R3 #GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #LadyAnne_R3 #RichardIII_R3,601,88
1,2,8,#RichardIII_R3,#GENTLEMEN.0.1_R3 #GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #LadyAnne_R3 #RichardIII_R3,861,117
1,2,9,#GENTLEMEN.0.1_R3,#GENTLEMEN.0.1_R3 #GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #RichardIII_R3,4,1
1,2,9,#RichardIII_R3,#GENTLEMEN.0.1_R3 #GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #RichardIII_R3,7,1
1,2,10,#RichardIII_R3,#GENTLEMEN.0.1_R3 #RichardIII_R3,288,38
1,3,11,#Grey_R3,#Dorset_R3 #Grey_R3 #QueenElizabeth_3H6 #Rivers_3H6,52,6
1,3,11,#QueenElizabeth_3H6,#Dorset_R3 #Grey_R3 #QueenElizabeth_3H6 #Rivers_3H6,58,7
1,3,11,#Rivers_3H6,#Dorset_R3 #Grey_R3 #QueenElizabeth_3H6 #Rivers_3H6,21,4
1,3,12,#Buckingham_R3,#Buckingham_R3 #Dorset_R3 #Grey_R3 #QueenElizabeth_3H6 #Rivers_3H6 #Stanley_R3,46,6
1,3,12,#Grey_R3,#Buckingham_R3 #Dorset_R3 #Grey_R3 #QueenElizabeth_3H6 #Rivers_3H6 #Stanley_R3,8,1
1,3,12,#QueenElizabeth_3H6,#Buckingham_R3 #Dorset_R3 #Grey_R3 #QueenElizabeth_3H6 #Rivers_3H6 #Stanley_R3,80,10
1,3,12,#Stanley_R3,#Buckingham_R3 #Dorset_R3 #Grey_R3 #QueenElizabeth_3H6 #Rivers_3H6 #Stanley_R3,60,8
1,3,13,#Grey_R3,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,9,1
1,3,13,#QueenElizabeth_3H6,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,180,25
1,3,13,#RichardIII_R3,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,314,43
1,3,13,#Rivers_3H6,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,9,2
1,3,14,#Buckingham_R3,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #QueenMargaret_1H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,44,6
1,3,14,#Dorset_R3,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #QueenMargaret_1H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,23,3
1,3,14,#Hastings_3H6,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #QueenMargaret_1H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,32,4
1,3,14,#QueenElizabeth_3H6,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #QueenMargaret_1H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,55,7
1,3,14,#QueenMargaret_1H6,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #QueenMargaret_1H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,998,133
1,3,14,#RichardIII_R3,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #QueenMargaret_1H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,381,49
1,3,14,#Rivers_3H6,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #QueenMargaret_1H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,51,7
1,3,15,#Buckingham_R3,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,10,1
1,3,15,#QueenElizabeth_3H6,#Buckingham_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3,8,1
