node1,node2,n_lines,n_tokens
#RichardIII_R3,1.01.0001,42,307
#Brakenbury_R3,1.01.0002,78,574
#Clarence_3H6,1.01.0002,78,574
#GUARDS_R3,1.01.0002,78,574
#RichardIII_R3,1.01.0002,78,574
#RichardIII_R3,1.01.0003,5,42
#Hastings_3H6,1.01.0004,23,165
#RichardIII_R3,1.01.0004,23,165
#RichardIII_R3,1.01.0005,18,151
#GENTLEMEN_R3,1.02.0006,33,249
#GUARDS_R3,1.02.0006,33,249
#HenryVI_1H6,1.02.0006,33,249
#LadyAnne_R3,1.02.0006,33,249
#GENTLEMEN_R3,1.02.0007,5,39
#GUARDS_R3,1.02.0007,5,39
#HenryVI_1H6,1.02.0007,5,39
#LadyAnne_R3,1.02.0007,5,39
#RichardIII_R3,1.02.0007,5,39
#GENTLEMEN.0.1_R3,1.02.0008,206,1471
#GENTLEMEN_R3,1.02.0008,206,1471
#GUARDS_R3,1.02.0008,206,1471
#HenryVI_1H6,1.02.0008,206,1471
#LadyAnne_R3,1.02.0008,206,1471
#RichardIII_R3,1.02.0008,206,1471
#GENTLEMEN.0.1_R3,1.02.0009,2,11
#GENTLEMEN_R3,1.02.0009,2,11
#GUARDS_R3,1.02.0009,2,11
#HenryVI_1H6,1.02.0009,2,11
#RichardIII_R3,1.02.0009,2,11
#GENTLEMEN.0.1_R3,1.02.0010,38,288
#RichardIII_R3,1.02.0010,38,288
#Dorset_R3,1.03.0011,17,131
#Grey_R3,1.03.0011,17,131
#QueenElizabeth_3H6,1.03.0011,17,131
#Rivers_3H6,1.03.0011,17,131
#Buckingham_R3,1.03.0012,25,194
#Dorset_R3,1.03.0012,25,194
#Grey_R3,1.03.0012,25,194
#QueenElizabeth_3H6,1.03.0012,25,194
#Rivers_3H6,1.03.0012,25,194
#Stanley_R3,1.03.0012,25,194
#Buckingham_R3,1.03.0013,71,512
#Dorset_R3,1.03.0013,71,512
#Grey_R3,1.03.0013,71,512
#Hastings_3H6,1.03.0013,71,512
#QueenElizabeth_3H6,1.03.0013,71,512
#RichardIII_R3,1.03.0013,71,512
#Rivers_3H6,1.03.0013,71,512
#Stanley_R3,1.03.0013,71,512
#Buckingham_R3,1.03.0014,209,1584
#Dorset_R3,1.03.0014,209,1584
#Grey_R3,1.03.0014,209,1584
#Hastings_3H6,1.03.0014,209,1584
#QueenElizabeth_3H6,1.03.0014,209,1584
#QueenMargaret_1H6,1.03.0014,209,1584
#RichardIII_R3,1.03.0014,209,1584
#Rivers_3H6,1.03.0014,209,1584
#Stanley_R3,1.03.0014,209,1584
#Buckingham_R3,1.03.0015,16,137
#Dorset_R3,1.03.0015,16,137
#Grey_R3,1.03.0015,16,137
#Hastings_3H6,1.03.0015,16,137
#QueenElizabeth_3H6,1.03.0015,16,137
#RichardIII_R3,1.03.0015,16,137
#Rivers_3H6,1.03.0015,16,137
#Stanley_R3,1.03.0015,16,137
#Buckingham_R3,1.03.0016,5,30
#Catesby_R3,1.03.0016,5,30
#Dorset_R3,1.03.0016,5,30
#Grey_R3,1.03.0016,5,30
#Hastings_3H6,1.03.0016,5,30
#QueenElizabeth_3H6,1.03.0016,5,30
#RichardIII_R3,1.03.0016,5,30
#Rivers_3H6,1.03.0016,5,30
#Stanley_R3,1.03.0016,5,30
#RichardIII_R3,1.03.0017,15,123
#MURDERERS.1_R3,1.03.0018,19,138
#MURDERERS.2_R3,1.03.0018,19,138
#RichardIII_R3,1.03.0018,19,138
#Clarence_3H6,1.04.0019,77,588
#Jailer_R3,1.04.0019,77,588
#Brakenbury_R3,1.04.0020,8,56
#Clarence_3H6,1.04.0020,8,56
#Jailer_R3,1.04.0020,8,56
#Brakenbury_R3,1.04.0021,17,111
#Clarence_3H6,1.04.0021,17,111
#Jailer_R3,1.04.0021,17,111
#MURDERERS.1_R3,1.04.0021,17,111
#MURDERERS.2_R3,1.04.0021,17,111
#Clarence_3H6,1.04.0022,180,1276
#MURDERERS.1_R3,1.04.0022,180,1276
#MURDERERS.2_R3,1.04.0022,180,1276
#MURDERERS.2_R3,1.04.0023,3,20
#MURDERERS.1_R3,1.04.0024,7,50
#MURDERERS.2_R3,1.04.0024,7,50
#MURDERERS.1_R3,1.04.0025,5,46
#Buckingham_R3,2.01.0026,47,352
#Dorset_R3,2.01.0026,47,352
#EdwardIV_3H6,2.01.0026,47,352
#Grey_R3,2.01.0026,47,352
#Hastings_3H6,2.01.0026,47,352
#QueenElizabeth_3H6,2.01.0026,47,352
#Rivers_3H6,2.01.0026,47,352
#Scales_R3,2.01.0026,47,352
#Woodeville_R3,2.01.0026,47,352
#Buckingham_R3,2.01.0027,50,384
#Dorset_R3,2.01.0027,50,384
#EdwardIV_3H6,2.01.0027,50,384
#Grey_R3,2.01.0027,50,384
#Hastings_3H6,2.01.0027,50,384
#QueenElizabeth_3H6,2.01.0027,50,384
#Ratcliffe_R3,2.01.0027,50,384
#RichardIII_R3,2.01.0027,50,384
#Rivers_3H6,2.01.0027,50,384
#Scales_R3,2.01.0027,50,384
#Woodeville_R3,2.01.0027,50,384
#Buckingham_R3,2.01.0028,40,328
#Dorset_R3,2.01.0028,40,328
#EdwardIV_3H6,2.01.0028,40,328
#Grey_R3,2.01.0028,40,328
#Hastings_3H6,2.01.0028,40,328
#QueenElizabeth_3H6,2.01.0028,40,328
#Ratcliffe_R3,2.01.0028,40,328
#RichardIII_R3,2.01.0028,40,328
#Rivers_3H6,2.01.0028,40,328
#Scales_R3,2.01.0028,40,328
#Stanley_R3,2.01.0028,40,328
#Woodeville_R3,2.01.0028,40,328
#Buckingham_R3,2.01.0029,7,55
#Ratcliffe_R3,2.01.0029,7,55
#RichardIII_R3,2.01.0029,7,55
#ClarencesBoy_R3,2.02.0030,34,250
#ClarencesDaughter_R3,2.02.0030,34,250
#DuchessOfYork_R3,2.02.0030,34,250
#ClarencesBoy_R3,2.02.0031,69,538
#ClarencesDaughter_R3,2.02.0031,69,538
#Dorset_R3,2.02.0031,69,538
#DuchessOfYork_R3,2.02.0031,69,538
#QueenElizabeth_3H6,2.02.0031,69,538
#Rivers_3H6,2.02.0031,69,538
#Buckingham_R3,2.02.0032,47,353
#ClarencesBoy_R3,2.02.0032,47,353
#ClarencesDaughter_R3,2.02.0032,47,353
#Dorset_R3,2.02.0032,47,353
#DuchessOfYork_R3,2.02.0032,47,353
#Hastings_3H6,2.02.0032,47,353
#QueenElizabeth_3H6,2.02.0032,47,353
#Ratcliffe_R3,2.02.0032,47,353
#RichardIII_R3,2.02.0032,47,353
#Rivers_3H6,2.02.0032,47,353
#Stanley_R3,2.02.0032,47,353
#Buckingham_R3,2.02.0033,9,72
#RichardIII_R3,2.02.0033,9,72
#CITIZENS.1_R3,2.03.0034,6,43
#CITIZENS.2_R3,2.03.0034,6,43
#CITIZENS.1_R3,2.03.0035,45,356
#CITIZENS.2_R3,2.03.0035,45,356
#CITIZENS.3_R3,2.03.0035,45,356
#Archbishop_R3,2.04.0036,40,318
#DuchessOfYork_R3,2.04.0036,40,318
#QueenElizabeth_3H6,2.04.0036,40,318
#York_R3,2.04.0036,40,318
#Archbishop_R3,2.04.0037,40,274
#DuchessOfYork_R3,2.04.0037,40,274
#MESSENGERS.X.1_R3,2.04.0037,40,274
#QueenElizabeth_3H6,2.04.0037,40,274
#York_R3,2.04.0037,40,274
#ATTENDANTS_R3,3.01.0038,18,137
#Buckingham_R3,3.01.0038,18,137
#Cardinal_R3,3.01.0038,18,137
#Catesby_R3,3.01.0038,18,137
#EdwardV_R3,3.01.0038,18,137
#RichardIII_R3,3.01.0038,18,137
#ATTENDANTS.0_R3,3.01.0039,6,56
#ATTENDANTS_R3,3.01.0039,6,56
#Buckingham_R3,3.01.0039,6,56
#Cardinal_R3,3.01.0039,6,56
#Catesby_R3,3.01.0039,6,56
#EdwardV_R3,3.01.0039,6,56
#MayorOfLondon_R3,3.01.0039,6,56
#RichardIII_R3,3.01.0039,6,56
#ATTENDANTS.0_R3,3.01.0040,37,286
#ATTENDANTS_R3,3.01.0040,37,286
#Buckingham_R3,3.01.0040,37,286
#Cardinal_R3,3.01.0040,37,286
#Catesby_R3,3.01.0040,37,286
#EdwardV_R3,3.01.0040,37,286
#Hastings_3H6,3.01.0040,37,286
#MayorOfLondon_R3,3.01.0040,37,286
#RichardIII_R3,3.01.0040,37,286
#ATTENDANTS.0_R3,3.01.0041,34,254
#ATTENDANTS_R3,3.01.0041,34,254
#Buckingham_R3,3.01.0041,34,254
#Catesby_R3,3.01.0041,34,254
#EdwardV_R3,3.01.0041,34,254
#MayorOfLondon_R3,3.01.0041,34,254
#RichardIII_R3,3.01.0041,34,254
#ATTENDANTS.0_R3,3.01.0042,58,448
