node1,node2,n_lines,n_tokens
#Brakenbury_R3,1.01,166,1239
#Clarence_3H6,1.01,166,1239
#GUARDS_R3,1.01,166,1239
#Hastings_3H6,1.01,166,1239
#RichardIII_R3,1.01,166,1239
#GENTLEMEN.0.1_R3,1.02,284,2058
#GENTLEMEN_R3,1.02,284,2058
#GUARDS_R3,1.02,284,2058
#HenryVI_1H6,1.02,284,2058
#LadyAnne_R3,1.02,284,2058
#RichardIII_R3,1.02,284,2058
#Buckingham_R3,1.03,377,2849
#Catesby_R3,1.03,377,2849
#Dorset_R3,1.03,377,2849
#Grey_R3,1.03,377,2849
#Hastings_3H6,1.03,377,2849
#MURDERERS.1_R3,1.03,377,2849
#MURDERERS.2_R3,1.03,377,2849
#QueenElizabeth_3H6,1.03,377,2849
#QueenMargaret_1H6,1.03,377,2849
#RichardIII_R3,1.03,377,2849
#Rivers_3H6,1.03,377,2849
#Stanley_R3,1.03,377,2849
#Brakenbury_R3,1.04,297,2147
#Clarence_3H6,1.04,297,2147
#Jailer_R3,1.04,297,2147
#MURDERERS.1_R3,1.04,297,2147
#MURDERERS.2_R3,1.04,297,2147
#Buckingham_R3,2.01,144,1119
#Dorset_R3,2.01,144,1119
#EdwardIV_3H6,2.01,144,1119
#Grey_R3,2.01,144,1119
#Hastings_3H6,2.01,144,1119
#QueenElizabeth_3H6,2.01,144,1119
#Ratcliffe_R3,2.01,144,1119
#RichardIII_R3,2.01,144,1119
#Rivers_3H6,2.01,144,1119
#Scales_R3,2.01,144,1119
#Stanley_R3,2.01,144,1119
#Woodeville_R3,2.01,144,1119
#Buckingham_R3,2.02,159,1213
#ClarencesBoy_R3,2.02,159,1213
#ClarencesDaughter_R3,2.02,159,1213
#Dorset_R3,2.02,159,1213
#DuchessOfYork_R3,2.02,159,1213
#Hastings_3H6,2.02,159,1213
#QueenElizabeth_3H6,2.02,159,1213
#Ratcliffe_R3,2.02,159,1213
#RichardIII_R3,2.02,159,1213
#Rivers_3H6,2.02,159,1213
#Stanley_R3,2.02,159,1213
#CITIZENS.1_R3,2.03,51,399
#CITIZENS.2_R3,2.03,51,399
#CITIZENS.3_R3,2.03,51,399
#Archbishop_R3,2.04,80,592
#DuchessOfYork_R3,2.04,80,592
#MESSENGERS.X.1_R3,2.04,80,592
#QueenElizabeth_3H6,2.04,80,592
#York_R3,2.04,80,592
#ATTENDANTS.0_R3,3.01,203,1580
#ATTENDANTS_R3,3.01,203,1580
#Buckingham_R3,3.01,203,1580
#Cardinal_R3,3.01,203,1580
#Catesby_R3,3.01,203,1580
#EdwardV_R3,3.01,203,1580
#Hastings_3H6,3.01,203,1580
#MayorOfLondon_R3,3.01,203,1580
#RichardIII_R3,3.01,203,1580
#York_R3,3.01,203,1580
#Buckingham_R3,3.02,125,988
#Catesby_R3,3.02,125,988
#Hastings_3H6,3.02,125,988
#MESSENGERS.X.2_R3,3.02,125,988
#Pursuivant_R3,3.02,125,988
#SirJohn_R3,3.02,125,988
#Stanley_R3,3.02,125,988
#GUARDS_R3,3.03,26,197
#Grey_R3,3.03,26,197
#Ratcliffe_R3,3.03,26,197
#Rivers_3H6,3.03,26,197
#Vaughan_R3,3.03,26,197
#ATTENDANTS_R3,3.04,109,861
#BishopOfEly_R3,3.04,109,861
#Buckingham_R3,3.04,109,861
#Hastings_3H6,3.04,109,861
#Lovell_R3,3.04,109,861
#Norfolk_R3,3.04,109,861
#Ratcliffe_R3,3.04,109,861
#RichardIII_R3,3.04,109,861
#Stanley_R3,3.04,109,861
#Buckingham_R3,3.05,112,816
#Catesby_R3,3.05,112,816
#Lovell_R3,3.05,112,816
#MayorOfLondon_R3,3.05,112,816
#Ratcliffe_R3,3.05,112,816
#RichardIII_R3,3.05,112,816
#Scrivener_R3,3.06,14,116
#BISHOPS_R3,3.07,249,1883
#Buckingham_R3,3.07,249,1883
#CITIZENS.0_R3,3.07,249,1883
#CITIZENS_R3,3.07,249,1883
#Catesby_R3,3.07,249,1883
#MayorOfLondon_R3,3.07,249,1883
#RichardIII_R3,3.07,249,1883
#Brakenbury_R3,4.01,110,842
#ClarencesDaughter_R3,4.01,110,842
#Dorset_R3,4.01,110,842
#DuchessOfYork_R3,4.01,110,842
#LadyAnne_R3,4.01,110,842
#QueenElizabeth_3H6,4.01,110,842
#Stanley_R3,4.01,110,842
#ATTENDANTS.0.1_R3,4.02,127,922
#ATTENDANTS_R3,4.02,127,922
#Buckingham_R3,4.02,127,922
#Catesby_R3,4.02,127,922
#Lovell_R3,4.02,127,922
#Ratcliffe_R3,4.02,127,922
#RichardIII_R3,4.02,127,922
#Stanley_R3,4.02,127,922
#Tyrrel_R3,4.02,127,922
#Ratcliffe_R3,4.03,61,439
#RichardIII_R3,4.03,61,439
#Tyrrel_R3,4.03,61,439
#ATTENDANTS_R3,4.04,570,4266
#Catesby_R3,4.04,570,4266
#DuchessOfYork_R3,4.04,570,4266
#MESSENGERS.1_R3,4.04,570,4266
#MESSENGERS.2_R3,4.04,570,4266
#MESSENGERS.3_R3,4.04,570,4266
#MESSENGERS.4_R3,4.04,570,4266
#QueenElizabeth_3H6,4.04,570,4266
#QueenMargaret_1H6,4.04,570,4266
#Ratcliffe_R3,4.04,570,4266
#RichardIII_R3,4.04,570,4266
#Stanley_R3,4.04,570,4266
#SirChristopher_R3,4.05,21,157
#Stanley_R3,4.05,21,157
#Buckingham_R3,5.01,30,228
