source,target,n_lines,n_tokens,edge_type
#ATTENDANTS.0.1_R3,4.02.0082,6,36,active
#ATTENDANTS.RICHMOND.0.1_R3,5.03.0129,2,11,active
#ATTENDANTS.RICHMOND_R3,5.03.0128,1,3,active
#Archbishop_R3,2.04.0036,3,24,active
#Archbishop_R3,2.04.0037,8,54,active
#BISHOPS_R3,3.07.0077,1,1,active
#BishopOfEly_R3,3.04.0054,3,16,active
#BishopOfEly_R3,3.04.0055,2,17,active
#BishopOfEly_R3,3.04.0058,2,14,active
#Blunt_R3,5.02.0109,2,19,active
#Blunt_R3,5.03.0111,6,48,active
#Brakenbury_R3,1.01.0002,7,55,active
#Brakenbury_R3,1.04.0020,8,56,active
#Brakenbury_R3,1.04.0021,10,69,active
#Brakenbury_R3,4.01.0079,6,45,active
#Buckingham_R3,1.03.0012,6,46,active
#Buckingham_R3,1.03.0014,6,44,active
#Buckingham_R3,1.03.0015,1,10,active
#Buckingham_R3,2.01.0026,11,87,active
#Buckingham_R3,2.01.0027,1,9,active
#Buckingham_R3,2.01.0029,1,5,active
#Buckingham_R3,2.02.0032,20,148,active
#Buckingham_R3,2.02.0033,5,42,active
#Buckingham_R3,3.01.0038,1,8,active
#Buckingham_R3,3.01.0040,20,152,active
#Buckingham_R3,3.01.0041,4,23,active
#Buckingham_R3,3.01.0042,5,38,active
#Buckingham_R3,3.01.0043,25,193,active
#Buckingham_R3,3.01.0044,3,26,active
#Buckingham_R3,3.02.0052,7,53,active
#Buckingham_R3,3.04.0054,7,60,active
#Buckingham_R3,3.04.0055,3,25,active
#Buckingham_R3,3.04.0056,1,7,active
#Buckingham_R3,3.05.0061,8,55,active
#Buckingham_R3,3.05.0062,2,5,active
#Buckingham_R3,3.05.0063,2,15,active
#Buckingham_R3,3.05.0064,22,168,active
#Buckingham_R3,3.05.0065,5,41,active
#Buckingham_R3,3.07.0069,47,364,active
#Buckingham_R3,3.07.0070,2,16,active
#Buckingham_R3,3.07.0071,6,47,active
#Buckingham_R3,3.07.0072,11,84,active
#Buckingham_R3,3.07.0073,5,40,active
#Buckingham_R3,3.07.0074,3,21,active
#Buckingham_R3,3.07.0075,77,551,active
#Buckingham_R3,3.07.0077,5,37,active
#Buckingham_R3,4.02.0081,9,53,active
#Buckingham_R3,4.02.0087,16,108,active
#Buckingham_R3,4.02.0088,4,35,active
#Buckingham_R3,5.01.0108,28,219,active
#Buckingham_R3,5.03.0125,11,83,active
#CITIZENS.1_R3,2.03.0034,2,13,active
#CITIZENS.1_R3,2.03.0035,6,52,active
#CITIZENS.2_R3,2.03.0034,4,30,active
#CITIZENS.2_R3,2.03.0035,9,74,active
#CITIZENS.3_R3,2.03.0035,30,230,active
#CITIZENS_R3,3.07.0077,1,1,active
#Cardinal_R3,3.01.0040,9,74,active
#Catesby_R3,1.03.0016,3,16,active
#Catesby_R3,3.01.0043,5,42,active
#Catesby_R3,3.02.0047,15,117,active
#Catesby_R3,3.07.0071,7,50,active
#Catesby_R3,3.07.0073,4,33,active
#Catesby_R3,3.07.0075,1,8,active
#Catesby_R3,3.07.0076,2,18,active
#Catesby_R3,3.07.0077,1,1,active
#Catesby_R3,4.02.0082,1,9,active
#Catesby_R3,4.04.0099,5,31,active
#Catesby_R3,4.04.0106,4,34,active
#Catesby_R3,5.03.0113,2,17,active
#Catesby_R3,5.03.0114,1,2,active
#Catesby_R3,5.04.0133,6,48,active
#Catesby_R3,5.04.0134,1,9,active
#Clarence_3H6,1.01.0002,23,162,active
#Clarence_3H6,1.04.0019,69,520,active
#Clarence_3H6,1.04.0022,74,592,active
#Clarence_3H6,5.03.0120,9,64,active
#ClarencesBoy_R3,2.02.0030,17,137,active
#ClarencesBoy_R3,2.02.0031,5,44,active
#ClarencesDaughter_R3,2.02.0030,3,21,active
#ClarencesDaughter_R3,2.02.0031,5,37,active
#Dorset_R3,1.03.0014,3,23,active
#Dorset_R3,2.01.0026,2,13,active
#Dorset_R3,2.01.0027,2,18,active
#Dorset_R3,2.02.0031,7,53,active
#Dorset_R3,4.01.0080,2,15,active
