node,node_type
#ATTENDANTS.0.1_R3,character
#ATTENDANTS.0_R3,character
#ATTENDANTS.RICHMOND.0.1_R3,character
#ATTENDANTS.RICHMOND_R3,character
#ATTENDANTS_R3,character
#Archbishop_R3,character
#BISHOPS_R3,character
#BishopOfEly_R3,character
#Blunt_R3,character
#Brakenbury_R3,character
#Brandon_R3,character
#Buckingham_R3,character
#CITIZENS.0_R3,character
#CITIZENS.1_R3,character
#CITIZENS.2_R3,character
#CITIZENS.3_R3,character
#CITIZENS_R3,character
#Cardinal_R3,character
#Catesby_R3,character
#Clarence_3H6,character
#ClarencesBoy_R3,character
#ClarencesDaughter_R3,character
#Dorset_R3,character
#DuchessOfYork_R3,character
#EdwardIV_3H6,character
#EdwardV_R3,character
#GENTLEMEN.0.1_R3,character
#GENTLEMEN_R3,character
#GUARDS_R3,character
#Grey_R3,character
#Hastings_3H6,character
#HenryVII_R3,character
#HenryVI_1H6,character
#Herbert_R3,character
#Jailer_R3,character
#LadyAnne_R3,character
#Lovell_R3,character
#MESSENGERS.1_R3,character
#MESSENGERS.2_R3,character
#MESSENGERS.3_R3,character
#MESSENGERS.4_R3,character
#MESSENGERS.X.1_R3,character
#MESSENGERS.X.2_R3,character
#MESSENGERS.X.3_R3,character
#MURDERERS.1_R3,character
#MURDERERS.2_R3,character
#MayorOfLondon_R3,character
#Norfolk_R3,character
#Oxford_3H6,character
#PrinceEdward_3H6,character
#Pursuivant_R3,character
#QueenElizabeth_3H6,character
#QueenMargaret_1H6,character
#Ratcliffe_R3,character
#RichardIII_R3,character
#Rivers_3H6,character
#SOLDIERS.RICHARD_R3,character
#SOLDIERS.RICHMOND_R3,character
#Scales_R3,character
#Scrivener_R3,character
#Sheriff_R3,character
#SirChristopher_R3,character
#SirJohn_R3,character
#Stanley_R3,character
#Surrey_R3,character
#Tyrrel_R3,character
#Vaughan_R3,character
#Woodeville_R3,character
#York_R3,character
1.01.0001,text_unit
1.01.0002,text_unit
1.01.0003,text_unit
1.01.0004,text_unit
1.01.0005,text_unit
1.02.0006,text_unit
1.02.0007,text_unit
1.02.0008,text_unit
1.02.0009,text_unit
1.02.0010,text_unit
1.03.0011,text_unit
1.03.0012,text_unit
1.03.0013,text_unit
1.03.0014,text_unit
1.03.0015,text_unit
1.03.0016,text_unit
1.03.0017,text_unit
1.03.0018,text_unit
1.04.0019,text_unit
1.04.0020,text_unit
1.04.0021,text_unit
1.04.0022,text_unit
1.04.0023,text_unit
1.04.0024,text_unit
1.04.0025,text_unit
2.01.0026,text_unit
2.01.0027,text_unit
2.01.0028,text_unit
2.01.0029,text_unit
2.02.0030,text_unit
2.02.0031,text_unit
2.02.0032,text_unit
2.02.0033,text_unit
2.03.0034,text_unit
2.03.0035,text_unit
2.04.0036,text_unit
2.04.0037,text_unit
3.01.0038,text_unit
3.01.0039,text_unit
3.01.0040,text_unit
3.01.0041,text_unit
3.01.0042,text_unit
3.01.0043,text_unit
3.01.0044,text_unit
3.02.0045,text_unit
3.02.0046,text_unit
3.02.0047,text_unit
3.02.0048,text_unit
3.02.0049,text_unit
3.02.0050,text_unit
3.02.0051,text_unit
3.02.0052,text_unit
3.03.0053,text_unit
3.04.0054,text_unit
3.04.0055,text_unit
3.04.0056,text_unit
3.04.0057,text_unit
3.04.0058,text_unit
3.04.0059,text_unit
3.04.0060,text_unit
3.05.0061,text_unit
3.05.0062,text_unit
3.05.0063,text_unit
3.05.0064,text_unit
3.05.0065,text_unit
3.05.0066,text_unit
3.05.0067,text_unit
3.06.0068,text_unit
3.07.0069,text_unit
3.07.0070,text_unit
3.07.0071,text_unit
3.07.0072,text_unit
3.07.0073,text_unit
3.07.0074,text_unit
3.07.0075,text_unit
3.07.0076,text_unit
3.07.0077,text_unit
4.01.0078,text_unit
4.01.0079,text_unit
4.01.0080,text_unit
4.02.0081,text_unit
4.02.0082,text_unit
4.02.0083,text_unit
4.02.0084,text_unit
4.02.0085,text_unit
4.02.0086,text_unit
4.02.0087,text_unit
4.02.0088,text_unit
4.03.0089,text_unit
4.03.0090,text_unit
4.03.0091,text_unit
4.03.0092,text_unit
4.04.0093,text_unit
4.04.0094,text_unit
4.04.0095,text_unit
4.04.0096,text_unit
4.04.0097,text_unit
4.04.0098,text_unit
4.04.0099,text_unit
4.04.0100,text_unit
4.04.0101,text_unit
4.04.0102,text_unit
4.04.0103,text_unit
4.04.0104,text_unit
4.04.0105,text_unit
4.04.0106,text_unit
4.05.0107,text_unit
5.01.0108,text_unit
5.02.0109,text_unit
5.03.0110,text_unit
5.03.0111,text_unit
5.03.0112,text_unit
5.03.0113,text_unit
5.03.0114,text_unit
5.03.0115,text_unit
5.03.0116,text_unit
5.03.0117,text_unit
5.03.0118,text_unit
5.03.0119,text_unit
5.03.0120,text_unit
5.03.0121,text_unit
5.03.0122,text_unit
5.03.0123,text_unit
5.03.0124,text_unit
5.03.0125,text_unit
5.03.0126,text_unit
5.03.0127,text_unit
5.03.0128,text_unit
5.03.0129,text_unit
5.03.0130,text_unit
5.03.0131,text_unit
5.03.0132,text_unit
5.04.0133,text_unit
5.04.0134,text_unit
5.05.0135,text_unit
