node,node_type
#ATTENDANTS.PRINCE_Rom,character
#ATTENDANTS_Rom,character
#Apothecary_Rom,character
#Benvolio_Rom,character
#Boy_Rom,character
#CITIZENS.0.1_Rom,character
#CITIZENS_Rom,character
#Capulet_Rom,character
#Chorus_Rom,character
#Cousin_Rom,character
#FriarJohn_Rom,character
#FriarLawrence_Rom,character
#GUESTS_Rom,character
#Juliet_Rom,character
#LadyCapulet_Rom,character
#LadyMontague_Rom,character
#MASKERS_Rom,character
#MUSICIANS.0.1_Rom,character
#MUSICIANS.0.2_Rom,character
#MUSICIANS.0.3_Rom,character
#MUSICIANS_Rom,character
#Mercutio_Rom,character
#Montague_Rom,character
#Nurse_Rom,character
#Paris_Rom,character
#Petruchio_Rom,character
#PrinceEscalus_Rom,character
#Romeo_Rom,character
#SERVANTS.CAPULET.0.1_Rom,character
#SERVANTS.CAPULET.0.2_Rom,character
#SERVANTS.CAPULET.0.3_Rom,character
#SERVANTS.CAPULET.0_Rom,character
#SERVANTS.CAPULET.Gregory_Rom,character
#SERVANTS.CAPULET.Peter_Rom,character
#SERVANTS.CAPULET.Sampson_Rom,character
#SERVANTS.CAPULET.X.1_Rom,character
#SERVANTS.CAPULET.X.2_Rom,character
#SERVANTS.CAPULET_Rom,character
#SERVANTS.MONTAGUE.1_Rom,character
#SERVANTS.MONTAGUE.Abram_Rom,character
#SERVANTS.MONTAGUE.Balthasar_Rom,character
#SERVANTS.MONTAGUE_Rom,character
#SERVANTS.PARIS.1_Rom,character
#SERVANTS.TYBALT.1_Rom,character
#SERVANTS_Rom,character
#Tybalt_Rom,character
#WATCHMEN.0.1_Rom,character
#WATCHMEN.0.2_Rom,character
#WATCHMEN.0.3_Rom,character
#WATCHMEN_Rom,character
0.00,text_unit
1.01,text_unit
1.02,text_unit
1.03,text_unit
1.04,text_unit
1.05,text_unit
2.00,text_unit
2.01,text_unit
2.02,text_unit
2.03,text_unit
2.04,text_unit
2.05,text_unit
2.06,text_unit
3.01,text_unit
3.02,text_unit
3.03,text_unit
3.04,text_unit
3.05,text_unit
4.01,text_unit
4.02,text_unit
4.03,text_unit
4.04,text_unit
4.05,text_unit
5.01,text_unit
5.02,text_unit
5.03,text_unit
