source,target,n_lines,n_tokens,edge_type
#Apothecary_Rom,5.01.0113,7,53,active
#Benvolio_Rom,1.01.0004,2,12,active
#Benvolio_Rom,1.01.0005,2,19,active
#Benvolio_Rom,1.01.0010,26,197,active
#Benvolio_Rom,1.01.0011,2,17,active
#Benvolio_Rom,1.01.0012,20,131,active
#Benvolio_Rom,1.02.0015,8,57,active
#Benvolio_Rom,1.02.0016,12,98,active
#Benvolio_Rom,1.04.0021,13,93,active
#Benvolio_Rom,1.05.0030,1,8,active
#Benvolio_Rom,2.01.0036,9,66,active
#Benvolio_Rom,2.04.0047,8,45,active
#Benvolio_Rom,2.04.0048,3,18,active
#Benvolio_Rom,2.04.0049,1,7,active
#Benvolio_Rom,3.01.0056,9,70,active
#Benvolio_Rom,3.01.0057,5,37,active
#Benvolio_Rom,3.01.0059,1,4,active
#Benvolio_Rom,3.01.0061,3,22,active
#Benvolio_Rom,3.01.0062,6,38,active
#Benvolio_Rom,3.01.0063,1,4,active
#Benvolio_Rom,3.01.0064,29,217,active
#CITIZENS.0.1_Rom,3.01.0063,4,27,active
#CITIZENS_Rom,1.01.0006,2,16,active
#Capulet_Rom,1.01.0007,1,10,active
#Capulet_Rom,1.01.0008,2,16,active
#Capulet_Rom,1.02.0013,34,270,active
#Capulet_Rom,1.05.0025,27,196,active
#Capulet_Rom,1.05.0028,25,192,active
#Capulet_Rom,1.05.0030,7,52,active
#Capulet_Rom,3.04.0071,31,255,active
#Capulet_Rom,3.05.0077,64,501,active
#Capulet_Rom,4.02.0084,2,15,active
#Capulet_Rom,4.02.0085,2,8,active
#Capulet_Rom,4.02.0086,4,32,active
#Capulet_Rom,4.02.0087,10,82,active
#Capulet_Rom,4.02.0088,9,72,active
#Capulet_Rom,4.04.0093,6,47,active
#Capulet_Rom,4.04.0094,1,6,active
#Capulet_Rom,4.04.0095,2,5,active
#Capulet_Rom,4.04.0096,1,4,active
#Capulet_Rom,4.04.0097,2,13,active
#Capulet_Rom,4.04.0098,2,12,active
#Capulet_Rom,4.04.0099,4,30,active
#Capulet_Rom,4.04.0100,4,29,active
#Capulet_Rom,4.05.0103,8,71,active
#Capulet_Rom,4.05.0104,20,147,active
#Capulet_Rom,5.03.0128,5,40,active
#Capulet_Rom,5.03.0129,5,31,active
#Chorus_Rom,0.00.0001,14,106,active
#Chorus_Rom,2.00.0034,14,113,active
#Cousin_Rom,1.05.0025,3,18,active
#FriarJohn_Rom,5.02.0115,1,5,active
#FriarJohn_Rom,5.02.0116,12,92,active
#FriarLawrence_Rom,2.03.0045,22,172,active
#FriarLawrence_Rom,2.03.0046,54,389,active
#FriarLawrence_Rom,2.06.0054,9,66,active
#FriarLawrence_Rom,2.06.0055,9,71,active
#FriarLawrence_Rom,3.03.0067,3,20,active
#FriarLawrence_Rom,3.03.0068,27,183,active
#FriarLawrence_Rom,3.03.0069,54,409,active
#FriarLawrence_Rom,3.03.0070,8,60,active
#FriarLawrence_Rom,4.01.0081,5,44,active
#FriarLawrence_Rom,4.01.0082,3,19,active
#FriarLawrence_Rom,4.01.0083,48,384,active
#FriarLawrence_Rom,4.05.0104,25,207,active
#FriarLawrence_Rom,5.02.0116,10,73,active
#FriarLawrence_Rom,5.02.0117,7,54,active
#FriarLawrence_Rom,5.03.0121,20,137,active
#FriarLawrence_Rom,5.03.0122,9,69,active
#FriarLawrence_Rom,5.03.0129,46,365,active
#Juliet_Rom,1.03.0018,7,57,active
#Juliet_Rom,1.05.0029,8,65,active
#Juliet_Rom,1.05.0031,4,29,active
#Juliet_Rom,1.05.0032,2,13,active
#Juliet_Rom,1.05.0033,6,42,active
#Juliet_Rom,2.02.0038,78,622,active
#Juliet_Rom,2.02.0040,7,58,active
#Juliet_Rom,2.02.0041,6,37,active
#Juliet_Rom,2.02.0043,24,165,active
#Juliet_Rom,2.05.0051,17,135,active
#Juliet_Rom,2.05.0052,2,18,active
#Juliet_Rom,2.05.0053,27,201,active
