node1,node2,count
#ATTENDANTS_Err,#Duke_Err,1
#ATTENDANTS_Err,#Egeon_Err,1
#ATTENDANTS_Err,#OFFICERS.Jailer_Err,1
#Abbess_Err,#AntipholusOfSyracuse_Err,1
#Abbess_Err,#DromioOfSyracuse_Err,1
#Adriana_Err,#Abbess_Err,2
#Adriana_Err,#Angelo_Err,8
#Adriana_Err,#AntipholusOfEphesus_Err,5
#Adriana_Err,#AntipholusOfSyracuse_Err,4
#Adriana_Err,#Balthasar_Err,1
#Adriana_Err,#Courtesan_Err,11
#Adriana_Err,#DromioOfEphesus_Err,6
#Adriana_Err,#DromioOfSyracuse_Err,8
#Adriana_Err,#Headsman_Err,4
#Adriana_Err,#Luce_Err,1
#Adriana_Err,#Luciana_Err,19
#Adriana_Err,#Merchant2_Err,7
#Adriana_Err,#Messenger_Err,3
#Adriana_Err,#OFFICERS.X_Err,4
#Adriana_Err,#OFFICERS_Err,4
#Adriana_Err,#OTHERS_Err,7
#Adriana_Err,#Pinch_Err,2
#Adriana_Err,#SERVANTS.PINCH_Err,1
#Angelo_Err,#Abbess_Err,2
#Angelo_Err,#AntipholusOfEphesus_Err,10
#Angelo_Err,#AntipholusOfSyracuse_Err,4
#Angelo_Err,#Balthasar_Err,5
#Angelo_Err,#Courtesan_Err,7
#Angelo_Err,#DromioOfEphesus_Err,8
#Angelo_Err,#DromioOfSyracuse_Err,8
#Angelo_Err,#Headsman_Err,4
#Angelo_Err,#Luce_Err,2
#Angelo_Err,#Luciana_Err,7
#Angelo_Err,#Merchant2_Err,13
#Angelo_Err,#Messenger_Err,3
#Angelo_Err,#OFFICERS.X_Err,4
#Angelo_Err,#OFFICERS_Err,4
#Angelo_Err,#OTHERS_Err,7
#AntipholusOfEphesus_Err,#Abbess_Err,1
#AntipholusOfEphesus_Err,#AntipholusOfSyracuse_Err,2
#AntipholusOfEphesus_Err,#Balthasar_Err,5
#AntipholusOfEphesus_Err,#DromioOfEphesus_Err,12
#AntipholusOfEphesus_Err,#DromioOfSyracuse_Err,7
#AntipholusOfEphesus_Err,#Luce_Err,2
#AntipholusOfEphesus_Err,#OFFICERS.X_Err,7
#AntipholusOfEphesus_Err,#Pinch_Err,2
#AntipholusOfEphesus_Err,#SERVANTS.PINCH_Err,1
#AntipholusOfSyracuse_Err,#DromioOfSyracuse_Err,12
#AntipholusOfSyracuse_Err,#Merchant1_Err,2
#AntipholusOfSyracuse_Err,#OFFICERS.X_Err,1
#Balthasar_Err,#Luce_Err,2
#Courtesan_Err,#Abbess_Err,2
#Courtesan_Err,#AntipholusOfEphesus_Err,4
#Courtesan_Err,#AntipholusOfSyracuse_Err,4
#Courtesan_Err,#DromioOfEphesus_Err,4
#Courtesan_Err,#DromioOfSyracuse_Err,4
#Courtesan_Err,#Headsman_Err,4
#Courtesan_Err,#Luciana_Err,11
#Courtesan_Err,#Merchant2_Err,7
#Courtesan_Err,#Messenger_Err,3
#Courtesan_Err,#OFFICERS.X_Err,4
#Courtesan_Err,#OFFICERS_Err,4
#Courtesan_Err,#OTHERS_Err,7
#Courtesan_Err,#Pinch_Err,2
#Courtesan_Err,#SERVANTS.PINCH_Err,1
#DromioOfEphesus_Err,#Abbess_Err,1
#DromioOfEphesus_Err,#AntipholusOfSyracuse_Err,3
#DromioOfEphesus_Err,#Balthasar_Err,5
#DromioOfEphesus_Err,#DromioOfSyracuse_Err,7
#DromioOfEphesus_Err,#Luce_Err,2
#DromioOfEphesus_Err,#OFFICERS.X_Err,4
#DromioOfEphesus_Err,#Pinch_Err,2
#DromioOfEphesus_Err,#SERVANTS.PINCH_Err,1
#DromioOfSyracuse_Err,#Balthasar_Err,4
#DromioOfSyracuse_Err,#Luce_Err,2
#DromioOfSyracuse_Err,#Merchant1_Err,1
#DromioOfSyracuse_Err,#OFFICERS.X_Err,2
#Duke_Err,#Abbess_Err,1
#Duke_Err,#Adriana_Err,4
#Duke_Err,#Angelo_Err,4
#Duke_Err,#AntipholusOfEphesus_Err,2
#Duke_Err,#AntipholusOfSyracuse_Err,1
#Duke_Err,#Courtesan_Err,4
#Duke_Err,#DromioOfEphesus_Err,2
#Duke_Err,#DromioOfSyracuse_Err,1
#Duke_Err,#Egeon_Err,5
#Duke_Err,#Headsman_Err,4
#Duke_Err,#Luciana_Err,4
#Duke_Err,#Merchant2_Err,4
#Duke_Err,#Messenger_Err,3
#Duke_Err,#OFFICERS.Jailer_Err,1
#Duke_Err,#OFFICERS_Err,4
#Duke_Err,#OTHERS_Err,4
#Egeon_Err,#Abbess_Err,1
#Egeon_Err,#Adriana_Err,4
#Egeon_Err,#Angelo_Err,4
#Egeon_Err,#AntipholusOfEphesus_Err,2
#Egeon_Err,#AntipholusOfSyracuse_Err,1
#Egeon_Err,#Courtesan_Err,4
#Egeon_Err,#DromioOfEphesus_Err,2
#Egeon_Err,#DromioOfSyracuse_Err,1
#Egeon_Err,#Headsman_Err,4
#Egeon_Err,#Luciana_Err,4
#Egeon_Err,#Merchant2_Err,4
#Egeon_Err,#Messenger_Err,3
#Egeon_Err,#OFFICERS.Jailer_Err,1
#Egeon_Err,#OFFICERS_Err,4
#Egeon_Err,#OTHERS_Err,4
#Headsman_Err,#Abbess_Err,1
#Headsman_Err,#AntipholusOfEphesus_Err,2
#Headsman_Err,#AntipholusOfSyracuse_Err,1
#Headsman_Err,#DromioOfEphesus_Err,2
#Headsman_Err,#DromioOfSyracuse_Err,1
#Headsman_Err,#Luciana_Err,4
#Headsman_Err,#Merchant2_Err,4
#Headsman_Err,#Messenger_Err,3
#Headsman_Err,#OFFICERS_Err,4
#Headsman_Err,#OTHERS_Err,4
#Luciana_Err,#Abbess_Err,2
#Luciana_Err,#AntipholusOfEphesus_Err,4
#Luciana_Err,#AntipholusOfSyracuse_Err,5
#Luciana_Err,#DromioOfEphesus_Err,5
#Luciana_Err,#DromioOfSyracuse_Err,6
