act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
1,1,1,1,#Egeon_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,16,2
1,1,1,2,#Duke_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,159,23
1,1,1,3,#Egeon_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,17,2
1,1,1,4,#Duke_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,22,3
1,1,1,5,#Egeon_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,489,65
1,1,1,6,#Duke_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,17,2
1,1,1,7,#Egeon_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,183,23
1,1,1,8,#Duke_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,26,3
1,1,1,9,#Egeon_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,123,16
1,1,1,10,#Duke_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,122,16
1,1,1,11,#OFFICERS.Jailer_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,4,1
1,1,1,12,#Egeon_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,12,2
1,2,2,13,#Merchant1_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Merchant1_Err,60,8
1,2,2,14,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Merchant1_Err,61,8
1,2,2,15,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Merchant1_Err,17,2
1,2,3,16,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #Merchant1_Err,41,5
1,2,3,17,#Merchant1_Err,#AntipholusOfSyracuse_Err #Merchant1_Err,46,6
1,2,3,18,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #Merchant1_Err,17,2
1,2,3,19,#Merchant1_Err,#AntipholusOfSyracuse_Err #Merchant1_Err,8,1
1,2,4,20,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err,61,8
1,2,5,21,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,17,2
1,2,5,22,#DromioOfEphesus_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,83,10
1,2,5,23,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,20,2
1,2,5,24,#DromioOfEphesus_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,25,3
1,2,5,25,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,33,4
1,2,5,26,#DromioOfEphesus_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,52,7
1,2,5,27,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,27,3
1,2,5,28,#DromioOfEphesus_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,10,1
1,2,5,29,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,17,2
1,2,5,30,#DromioOfEphesus_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,27,3
1,2,5,31,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,43,5
1,2,5,32,#DromioOfEphesus_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,40,5
1,2,5,33,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,8,2
1,2,5,34,#DromioOfEphesus_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,28,3
1,2,5,35,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,17,2
1,2,5,36,#DromioOfEphesus_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,20,3
1,2,6,37,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err,80,11
2,1,7,38,#Adriana_Err,#Adriana_Err #Luciana_Err,23,3
2,1,7,39,#Luciana_Err,#Adriana_Err #Luciana_Err,48,6
2,1,7,40,#Adriana_Err,#Adriana_Err #Luciana_Err,8,1
2,1,7,41,#Luciana_Err,#Adriana_Err #Luciana_Err,8,1
2,1,7,42,#Adriana_Err,#Adriana_Err #Luciana_Err,10,1
2,1,7,43,#Luciana_Err,#Adriana_Err #Luciana_Err,9,1
2,1,7,44,#Adriana_Err,#Adriana_Err #Luciana_Err,8,1
2,1,7,45,#Luciana_Err,#Adriana_Err #Luciana_Err,85,11
2,1,7,46,#Adriana_Err,#Adriana_Err #Luciana_Err,7,1
2,1,7,47,#Luciana_Err,#Adriana_Err #Luciana_Err,8,1
2,1,7,48,#Adriana_Err,#Adriana_Err #Luciana_Err,9,1
2,1,7,49,#Luciana_Err,#Adriana_Err #Luciana_Err,8,1
2,1,7,50,#Adriana_Err,#Adriana_Err #Luciana_Err,7,1
2,1,7,51,#Luciana_Err,#Adriana_Err #Luciana_Err,8,1
2,1,7,52,#Adriana_Err,#Adriana_Err #Luciana_Err,82,10
2,1,7,53,#Luciana_Err,#Adriana_Err #Luciana_Err,18,2
2,1,8,54,#Adriana_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,8,1
2,1,8,55,#DromioOfEphesus_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,14,2
2,1,8,56,#Adriana_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,10,2
2,1,8,57,#DromioOfEphesus_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,17,2
2,1,8,58,#Luciana_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,10,2
2,1,8,59,#DromioOfEphesus_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,22,3
2,1,8,60,#Adriana_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,18,2
2,1,8,61,#DromioOfEphesus_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,8,1
2,1,8,62,#Adriana_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,4,1
2,1,8,63,#DromioOfEphesus_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,93,13
2,1,8,64,#Luciana_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,2,1
2,1,8,65,#DromioOfEphesus_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,38,6
2,1,8,66,#Adriana_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,9,1
2,1,8,67,#DromioOfEphesus_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,15,2
2,1,8,68,#Adriana_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,9,1
2,1,8,69,#DromioOfEphesus_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,17,2
2,1,8,70,#Adriana_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,7,1
2,1,8,71,#DromioOfEphesus_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,41,4
2,1,9,72,#Luciana_Err,#Adriana_Err #Luciana_Err,7,1
2,1,9,73,#Adriana_Err,#Adriana_Err #Luciana_Err,119,15
2,1,9,74,#Luciana_Err,#Adriana_Err #Luciana_Err,6,1
2,1,9,75,#Adriana_Err,#Adriana_Err #Luciana_Err,103,13
2,1,9,76,#Luciana_Err,#Adriana_Err #Luciana_Err,7,1
2,2,10,77,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err,51,6
2,2,11,78,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,51,6
2,2,11,79,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,9,1
2,2,11,80,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,9,1
2,2,11,81,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,20,2
2,2,11,82,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,25,3
2,2,11,83,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,20,2
2,2,11,84,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,20,2
2,2,11,85,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,18,2
2,2,11,86,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,73,9
2,2,11,87,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,52,6
2,2,11,88,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,4,1
2,2,11,89,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,7,2
2,2,11,90,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,5,1
2,2,11,91,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,12,2
2,2,11,92,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,16,3
2,2,11,93,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,27,4
2,2,11,94,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,5,1
2,2,11,95,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,11,2
