act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,1,1,#Duke_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,346,47
1,1,1,#Egeon_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,840,110
1,1,1,#OFFICERS.Jailer_Err,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,4,1
1,2,2,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Merchant1_Err,61,8
1,2,2,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Merchant1_Err,17,2
1,2,2,#Merchant1_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Merchant1_Err,60,8
1,2,3,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #Merchant1_Err,58,7
1,2,3,#Merchant1_Err,#AntipholusOfSyracuse_Err #Merchant1_Err,54,7
1,2,4,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err,61,8
1,2,5,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,182,22
1,2,5,#DromioOfEphesus_Err,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err,285,35
1,2,6,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err,80,11
2,1,7,#Adriana_Err,#Adriana_Err #Luciana_Err,154,19
2,1,7,#Luciana_Err,#Adriana_Err #Luciana_Err,192,24
2,1,8,#Adriana_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,65,9
2,1,8,#DromioOfEphesus_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,265,35
2,1,8,#Luciana_Err,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err,12,3
2,1,9,#Adriana_Err,#Adriana_Err #Luciana_Err,222,28
2,1,9,#Luciana_Err,#Adriana_Err #Luciana_Err,20,3
2,2,10,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err,51,6
2,2,11,#AntipholusOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,364,57
2,2,11,#DromioOfSyracuse_Err,#AntipholusOfSyracuse_Err #DromioOfSyracuse_Err,386,56
2,2,12,#Adriana_Err,#Adriana_Err #AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Luciana_Err,503,64
2,2,12,#AntipholusOfSyracuse_Err,#Adriana_Err #AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Luciana_Err,194,25
2,2,12,#DromioOfSyracuse_Err,#Adriana_Err #AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Luciana_Err,125,15
2,2,12,#Luciana_Err,#Adriana_Err #AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Luciana_Err,69,9
3,1,13,#AntipholusOfEphesus_Err,#Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err,180,26
3,1,13,#Balthasar_Err,#Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err,28,5
3,1,13,#DromioOfEphesus_Err,#Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err,87,11
3,1,14,#AntipholusOfEphesus_Err,#Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err,29,4
3,1,14,#DromioOfEphesus_Err,#Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err,57,9
3,1,14,#DromioOfSyracuse_Err,#Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err,88,15
3,1,15,#AntipholusOfEphesus_Err,#Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err #Luce_Err,27,3
3,1,15,#DromioOfEphesus_Err,#Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err #Luce_Err,37,6
3,1,15,#DromioOfSyracuse_Err,#Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err #Luce_Err,16,3
3,1,15,#Luce_Err,#Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err #Luce_Err,63,11
3,1,16,#Adriana_Err,#Adriana_Err #Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err #Luce_Err,21,2
3,1,16,#AntipholusOfEphesus_Err,#Adriana_Err #Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err #Luce_Err,9,1
