source,target,n_lines,n_tokens,edge_type
#Abbess_Err,5.01.0047,45,331,active
#Abbess_Err,5.01.0052,29,221,active
#Adriana_Err,2.01.0007,19,154,active
#Adriana_Err,2.01.0008,9,65,active
#Adriana_Err,2.01.0009,28,222,active
#Adriana_Err,2.02.0012,64,503,active
#Adriana_Err,3.01.0016,2,21,active
#Adriana_Err,4.02.0028,22,159,active
#Adriana_Err,4.02.0029,4,27,active
#Adriana_Err,4.02.0030,7,44,active
#Adriana_Err,4.02.0031,2,14,active
#Adriana_Err,4.02.0032,2,14,active
#Adriana_Err,4.04.0039,15,121,active
#Adriana_Err,4.04.0040,9,65,active
#Adriana_Err,4.04.0041,8,66,active
#Adriana_Err,4.04.0042,2,14,active
#Adriana_Err,5.01.0046,3,27,active
#Adriana_Err,5.01.0047,28,214,active
#Adriana_Err,5.01.0048,4,34,active
#Adriana_Err,5.01.0049,26,212,active
#Adriana_Err,5.01.0050,2,18,active
#Adriana_Err,5.01.0051,7,57,active
#Adriana_Err,5.01.0052,5,42,active
#Angelo_Err,3.01.0017,3,21,active
#Angelo_Err,3.02.0021,10,81,active
#Angelo_Err,4.01.0023,7,60,active
#Angelo_Err,4.01.0025,27,224,active
#Angelo_Err,5.01.0044,7,53,active
#Angelo_Err,5.01.0045,13,103,active
#Angelo_Err,5.01.0047,1,9,active
#Angelo_Err,5.01.0048,2,12,active
#Angelo_Err,5.01.0051,6,52,active
#Angelo_Err,5.01.0052,2,19,active
#AntipholusOfEphesus_Err,3.01.0013,26,180,active
#AntipholusOfEphesus_Err,3.01.0014,4,29,active
#AntipholusOfEphesus_Err,3.01.0015,3,27,active
#AntipholusOfEphesus_Err,3.01.0016,1,9,active
#AntipholusOfEphesus_Err,3.01.0017,21,170,active
#AntipholusOfEphesus_Err,4.01.0024,6,52,active
#AntipholusOfEphesus_Err,4.01.0025,30,255,active
#AntipholusOfEphesus_Err,4.01.0026,13,107,active
#AntipholusOfEphesus_Err,4.04.0037,7,58,active
#AntipholusOfEphesus_Err,4.04.0038,11,66,active
#AntipholusOfEphesus_Err,4.04.0039,25,188,active
#AntipholusOfEphesus_Err,4.04.0040,5,33,active
#AntipholusOfEphesus_Err,5.01.0051,66,508,active
#AntipholusOfEphesus_Err,5.01.0052,7,55,active
#AntipholusOfEphesus_Err,5.01.0053,1,8,active
#AntipholusOfSyracuse_Err,1.02.0002,8,61,active
#AntipholusOfSyracuse_Err,1.02.0003,7,58,active
#AntipholusOfSyracuse_Err,1.02.0004,8,61,active
#AntipholusOfSyracuse_Err,1.02.0005,22,182,active
#AntipholusOfSyracuse_Err,1.02.0006,11,80,active
#AntipholusOfSyracuse_Err,2.02.0010,6,51,active
#AntipholusOfSyracuse_Err,2.02.0011,57,364,active
#AntipholusOfSyracuse_Err,2.02.0012,25,194,active
#AntipholusOfSyracuse_Err,3.02.0018,37,302,active
#AntipholusOfSyracuse_Err,3.02.0019,32,148,active
#AntipholusOfSyracuse_Err,3.02.0020,9,70,active
#AntipholusOfSyracuse_Err,3.02.0021,5,40,active
#AntipholusOfSyracuse_Err,3.02.0022,7,63,active
#AntipholusOfSyracuse_Err,4.03.0033,11,83,active
#AntipholusOfSyracuse_Err,4.03.0034,10,57,active
#AntipholusOfSyracuse_Err,4.03.0035,7,48,active
#AntipholusOfSyracuse_Err,4.04.0043,5,42,active
#AntipholusOfSyracuse_Err,5.01.0045,5,40,active
#AntipholusOfSyracuse_Err,5.01.0052,15,114,active
#AntipholusOfSyracuse_Err,5.01.0053,3,25,active
#Balthasar_Err,3.01.0013,5,28,active
#Balthasar_Err,3.01.0017,24,174,active
#Courtesan_Err,4.03.0035,10,88,active
#Courtesan_Err,4.03.0036,16,129,active
#Courtesan_Err,4.04.0039,2,16,active
#Courtesan_Err,4.04.0041,4,33,active
#Courtesan_Err,5.01.0051,2,19,active
#Courtesan_Err,5.01.0052,1,8,active
#DromioOfEphesus_Err,1.02.0005,35,285,active
#DromioOfEphesus_Err,2.01.0008,35,265,active
#DromioOfEphesus_Err,3.01.0013,11,87,active
#DromioOfEphesus_Err,3.01.0014,9,57,active
#DromioOfEphesus_Err,3.01.0015,6,37,active
#DromioOfEphesus_Err,3.01.0017,21,129,active
#DromioOfEphesus_Err,4.01.0024,1,11,active
#DromioOfEphesus_Err,4.04.0038,23,188,active
#DromioOfEphesus_Err,4.04.0039,15,116,active
#DromioOfEphesus_Err,4.04.0040,4,22,active
#DromioOfEphesus_Err,5.01.0051,11,86,active
#DromioOfEphesus_Err,5.01.0052,3,16,active
#DromioOfEphesus_Err,5.01.0054,9,57,active
#DromioOfSyracuse_Err,1.02.0002,2,17,active
#DromioOfSyracuse_Err,2.02.0011,56,386,active
#DromioOfSyracuse_Err,2.02.0012,15,125,active
#DromioOfSyracuse_Err,3.01.0014,15,88,active
#DromioOfSyracuse_Err,3.01.0015,3,16,active
#DromioOfSyracuse_Err,3.01.0016,2,10,active
#DromioOfSyracuse_Err,3.01.0017,5,30,active
#DromioOfSyracuse_Err,3.02.0019,64,500,active
#DromioOfSyracuse_Err,4.01.0026,11,92,active
#DromioOfSyracuse_Err,4.01.0027,5,39,active
#DromioOfSyracuse_Err,4.02.0029,21,137,active
#DromioOfSyracuse_Err,4.02.0030,14,114,active
#DromioOfSyracuse_Err,4.03.0034,24,200,active
#DromioOfSyracuse_Err,4.03.0035,20,161,active
#DromioOfSyracuse_Err,4.04.0043,7,64,active
#DromioOfSyracuse_Err,5.01.0046,2,18,active
#DromioOfSyracuse_Err,5.01.0052,2,16,active
#DromioOfSyracuse_Err,5.01.0053,2,18,active
#DromioOfSyracuse_Err,5.01.0054,6,44,active
#Duke_Err,1.01.0001,47,346,active
#Duke_Err,5.01.0049,12,101,active
#Duke_Err,5.01.0050,2,9,active
#Duke_Err,5.01.0051,19,138,active
#Duke_Err,5.01.0052,13,99,active
#Egeon_Err,1.01.0001,110,840,active
#Egeon_Err,5.01.0051,30,232,active
#Egeon_Err,5.01.0052,3,25,active
#Luce_Err,3.01.0015,11,63,active
#Luciana_Err,2.01.0007,24,192,active
#Luciana_Err,2.01.0008,3,12,active
#Luciana_Err,2.01.0009,3,20,active
#Luciana_Err,2.02.0012,9,69,active
#Luciana_Err,3.02.0018,39,288,active
#Luciana_Err,4.02.0028,9,73,active
#Luciana_Err,4.02.0029,1,6,active
#Luciana_Err,4.04.0039,2,17,active
#Luciana_Err,4.04.0040,2,19,active
#Luciana_Err,4.04.0042,1,8,active
#Luciana_Err,5.01.0047,4,22,active
#Luciana_Err,5.01.0048,2,16,active
#Luciana_Err,5.01.0051,2,18,active
#Merchant1_Err,1.02.0002,8,60,active
#Merchant1_Err,1.02.0003,7,54,active
#Merchant2_Err,4.01.0023,6,45,active
#Merchant2_Err,4.01.0025,5,39,active
#Merchant2_Err,5.01.0044,2,17,active
#Merchant2_Err,5.01.0045,5,43,active
#Merchant2_Err,5.01.0047,1,10,active
#Merchant2_Err,5.01.0048,9,63,active
#Merchant2_Err,5.01.0051,6,51,active
#Messenger_Err,5.01.0050,16,130,active
#OFFICERS.Jailer_Err,1.01.0001,1,4,active
#OFFICERS.X_Err,4.01.0024,1,9,active
#OFFICERS.X_Err,4.01.0025,3,21,active
#OFFICERS.X_Err,4.04.0038,2,9,active
#OFFICERS.X_Err,4.04.0040,4,32,active
#OFFICERS.X_Err,4.04.0041,3,20,active
#OFFICERS.X_Err,4.04.0042,1,4,active
#Pinch_Err,4.04.0039,10,86,active
#Pinch_Err,4.04.0040,2,17,active
1.01.0001,#ATTENDANTS_Err,158,1190,passive
1.01.0001,#Duke_Err,111,844,passive
1.01.0001,#Egeon_Err,48,350,passive
1.01.0001,#OFFICERS.Jailer_Err,157,1186,passive
1.02.0002,#AntipholusOfSyracuse_Err,10,77,passive
1.02.0002,#DromioOfSyracuse_Err,16,121,passive
1.02.0002,#Merchant1_Err,10,78,passive
1.02.0003,#AntipholusOfSyracuse_Err,7,54,passive
1.02.0003,#Merchant1_Err,7,58,passive
1.02.0005,#AntipholusOfSyracuse_Err,35,285,passive
1.02.0005,#DromioOfEphesus_Err,22,182,passive
2.01.0007,#Adriana_Err,24,192,passive
2.01.0007,#Luciana_Err,19,154,passive
2.01.0008,#Adriana_Err,38,277,passive
2.01.0008,#DromioOfEphesus_Err,12,77,passive
2.01.0008,#Luciana_Err,44,330,passive
2.01.0009,#Adriana_Err,3,20,passive
2.01.0009,#Luciana_Err,28,222,passive
2.02.0011,#AntipholusOfSyracuse_Err,56,386,passive
2.02.0011,#DromioOfSyracuse_Err,57,364,passive
2.02.0012,#Adriana_Err,49,388,passive
2.02.0012,#AntipholusOfSyracuse_Err,88,697,passive
2.02.0012,#DromioOfSyracuse_Err,98,766,passive
2.02.0012,#Luciana_Err,104,822,passive
3.01.0013,#Angelo_Err,42,295,passive
3.01.0013,#AntipholusOfEphesus_Err,16,115,passive
3.01.0013,#Balthasar_Err,37,267,passive
3.01.0013,#DromioOfEphesus_Err,31,208,passive
3.01.0014,#Angelo_Err,28,174,passive
3.01.0014,#AntipholusOfEphesus_Err,24,145,passive
3.01.0014,#Balthasar_Err,28,174,passive
3.01.0014,#DromioOfEphesus_Err,19,117,passive
3.01.0014,#DromioOfSyracuse_Err,13,86,passive
3.01.0015,#Angelo_Err,23,143,passive
3.01.0015,#AntipholusOfEphesus_Err,20,116,passive
3.01.0015,#Balthasar_Err,23,143,passive
3.01.0015,#DromioOfEphesus_Err,17,106,passive
3.01.0015,#DromioOfSyracuse_Err,20,127,passive
3.01.0015,#Luce_Err,12,80,passive
3.01.0016,#Adriana_Err,3,19,passive
3.01.0016,#Angelo_Err,5,40,passive
3.01.0016,#AntipholusOfEphesus_Err,4,31,passive
3.01.0016,#Balthasar_Err,5,40,passive
3.01.0016,#DromioOfEphesus_Err,5,40,passive
3.01.0016,#DromioOfSyracuse_Err,3,30,passive
3.01.0016,#Luce_Err,5,40,passive
3.01.0017,#Angelo_Err,71,503,passive
3.01.0017,#AntipholusOfEphesus_Err,53,354,passive
3.01.0017,#Balthasar_Err,50,350,passive
3.01.0017,#DromioOfEphesus_Err,53,395,passive
3.01.0017,#DromioOfSyracuse_Err,69,494,passive
3.02.0018,#AntipholusOfSyracuse_Err,39,288,passive
3.02.0018,#Luciana_Err,37,302,passive
3.02.0019,#AntipholusOfSyracuse_Err,64,500,passive
3.02.0019,#DromioOfSyracuse_Err,32,148,passive
3.02.0021,#Angelo_Err,5,40,passive
3.02.0021,#AntipholusOfSyracuse_Err,10,81,passive
4.01.0023,#Angelo_Err,6,45,passive
4.01.0023,#Merchant2_Err,7,60,passive
4.01.0023,#OFFICERS.X_Err,13,105,passive
4.01.0024,#Angelo_Err,8,72,passive
4.01.0024,#AntipholusOfEphesus_Err,2,20,passive
4.01.0024,#DromioOfEphesus_Err,7,61,passive
4.01.0024,#Merchant2_Err,8,72,passive
4.01.0024,#OFFICERS.X_Err,7,63,passive
4.01.0025,#Angelo_Err,38,315,passive
4.01.0025,#AntipholusOfEphesus_Err,35,284,passive
4.01.0025,#Merchant2_Err,60,500,passive
4.01.0025,#OFFICERS.X_Err,62,518,passive
4.01.0026,#Angelo_Err,24,199,passive
4.01.0026,#AntipholusOfEphesus_Err,11,92,passive
4.01.0026,#DromioOfSyracuse_Err,13,107,passive
4.01.0026,#Merchant2_Err,24,199,passive
4.01.0026,#OFFICERS.X_Err,24,199,passive
4.02.0028,#Adriana_Err,9,73,passive
4.02.0028,#Luciana_Err,22,159,passive
4.02.0029,#Adriana_Err,22,143,passive
