node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#Antonio_MV,#Salarino_MV,0,1,1,1,459,59,1
#Antonio_MV,#Solanio_MV,0,1,1,1,459,59,1
#Salarino_MV,#Solanio_MV,0,1,1,1,459,59,1
#Antonio_MV,#Bassanio_MV,0,1,1,2,91,13,2
#Antonio_MV,#Gratiano_MV,0,1,1,2,91,13,2
#Antonio_MV,#Lorenzo_MV,0,1,1,2,91,13,2
#Antonio_MV,#Salarino_MV,1,1,1,2,91,13,2
#Antonio_MV,#Solanio_MV,1,1,1,2,91,13,2
#Bassanio_MV,#Gratiano_MV,0,1,1,2,91,13,2
#Bassanio_MV,#Lorenzo_MV,0,1,1,2,91,13,2
#Gratiano_MV,#Lorenzo_MV,0,1,1,2,91,13,2
#Salarino_MV,#Bassanio_MV,0,1,1,2,91,13,2
#Salarino_MV,#Gratiano_MV,0,1,1,2,91,13,2
#Salarino_MV,#Lorenzo_MV,0,1,1,2,91,13,2
#Salarino_MV,#Solanio_MV,1,1,1,2,91,13,2
#Solanio_MV,#Bassanio_MV,0,1,1,2,91,13,2
#Solanio_MV,#Gratiano_MV,0,1,1,2,91,13,2
#Solanio_MV,#Lorenzo_MV,0,1,1,2,91,13,2
#Antonio_MV,#Bassanio_MV,1,1,1,3,353,47,3
#Antonio_MV,#Gratiano_MV,1,1,1,3,353,47,3
#Antonio_MV,#Lorenzo_MV,1,1,1,3,353,47,3
#Bassanio_MV,#Gratiano_MV,1,1,1,3,353,47,3
#Bassanio_MV,#Lorenzo_MV,1,1,1,3,353,47,3
#Gratiano_MV,#Lorenzo_MV,1,1,1,3,353,47,3
#Antonio_MV,#Bassanio_MV,2,1,1,4,584,73,4
#Nerissa_MV,#Portia_MV,0,1,2,5,1034,121,5
#Nerissa_MV,#Portia_MV,1,1,2,6,107,13,6
#Nerissa_MV,#SERVANTS.1_MV,0,1,2,6,107,13,6
#Portia_MV,#SERVANTS.1_MV,0,1,2,6,107,13,6
#Bassanio_MV,#Shylock_MV,0,1,3,7,273,39,7
#Antonio_MV,#Bassanio_MV,3,1,3,8,1103,151,8
