node1,node2,count
#ATTENDANTS.ARRAGON_MV,#Arragon_MV,1
#ATTENDANTS.BASSANIO.1_MV,#ATTENDANTS.BASSANIO.2_MV,1
#ATTENDANTS.BASSANIO.1_MV,#ATTENDANTS.BASSANIO.Leonardo_MV,1
#ATTENDANTS.BASSANIO.1_MV,#OldGobbo_MV,1
#ATTENDANTS.BASSANIO.2_MV,#ATTENDANTS.BASSANIO.Leonardo_MV,2
#ATTENDANTS.BASSANIO.2_MV,#OldGobbo_MV,2
#ATTENDANTS.BASSANIO.Leonardo_MV,#OldGobbo_MV,3
#ATTENDANTS.BASSANIO_MV,#ATTENDANTS.PORTIA.Stephano_MV,1
#ATTENDANTS.BASSANIO_MV,#ATTENDANTS.PORTIA_MV,3
#ATTENDANTS.BASSANIO_MV,#Jessica_MV,2
#ATTENDANTS.BASSANIO_MV,#MUSICIANS_MV,3
#ATTENDANTS.DUKE.0_MV,#Portia_MV,3
#ATTENDANTS.DUKE_MV,#ATTENDANTS.DUKE.0_MV,2
#ATTENDANTS.DUKE_MV,#Duke_MV,5
#ATTENDANTS.DUKE_MV,#Nerissa_MV,3
#ATTENDANTS.DUKE_MV,#Portia_MV,2
#ATTENDANTS.DUKE_MV,#Salerio_MV,5
#ATTENDANTS.MOROCCO_MV,#Morocco_MV,2
#ATTENDANTS.PORTIA.Stephano_MV,#Jessica_MV,6
#ATTENDANTS.PORTIA.Stephano_MV,#LanceletGobbo_MV,1
#ATTENDANTS.PORTIA.Stephano_MV,#MUSICIANS_MV,3
#ATTENDANTS.PORTIA_MV,#ATTENDANTS.ARRAGON_MV,1
#ATTENDANTS.PORTIA_MV,#ATTENDANTS.MOROCCO_MV,2
#ATTENDANTS.PORTIA_MV,#Arragon_MV,1
#ATTENDANTS.PORTIA_MV,#Messenger_MV,1
#ATTENDANTS.PORTIA_MV,#Morocco_MV,2
#Antonio_MV,#ATTENDANTS.BASSANIO_MV,1
#Antonio_MV,#ATTENDANTS.DUKE.0_MV,5
#Antonio_MV,#ATTENDANTS.DUKE_MV,5
#Antonio_MV,#ATTENDANTS.PORTIA.Stephano_MV,1
#Antonio_MV,#Bassanio_MV,14
#Antonio_MV,#Duke_MV,5
#Antonio_MV,#Gratiano_MV,11
#Antonio_MV,#Jailer_MV,2
#Antonio_MV,#Jessica_MV,1
#Antonio_MV,#Lorenzo_MV,3
#Antonio_MV,#MUSICIANS_MV,1
#Antonio_MV,#Nerissa_MV,5
#Antonio_MV,#Portia_MV,4
#Antonio_MV,#Salarino_MV,2
#Antonio_MV,#Salerio_MV,8
#Antonio_MV,#Shylock_MV,5
#Antonio_MV,#Solanio_MV,4
#Bassanio_MV,#ATTENDANTS.BASSANIO.1_MV,1
#Bassanio_MV,#ATTENDANTS.BASSANIO.2_MV,2
#Bassanio_MV,#ATTENDANTS.BASSANIO.Leonardo_MV,5
#Bassanio_MV,#ATTENDANTS.BASSANIO_MV,4
#Bassanio_MV,#ATTENDANTS.DUKE.0_MV,5
#Bassanio_MV,#ATTENDANTS.DUKE_MV,5
#Bassanio_MV,#ATTENDANTS.PORTIA.Stephano_MV,1
#Bassanio_MV,#ATTENDANTS.PORTIA_MV,3
#Bassanio_MV,#Duke_MV,5
#Bassanio_MV,#Gratiano_MV,15
#Bassanio_MV,#Jessica_MV,2
#Bassanio_MV,#LanceletGobbo_MV,3
#Bassanio_MV,#Lorenzo_MV,4
#Bassanio_MV,#MUSICIANS_MV,3
#Bassanio_MV,#Nerissa_MV,8
#Bassanio_MV,#OldGobbo_MV,3
#Bassanio_MV,#Portia_MV,7
#Bassanio_MV,#Salerio_MV,9
#Bassanio_MV,#Shylock_MV,5
#Duke_MV,#ATTENDANTS.DUKE.0_MV,2
#Duke_MV,#Nerissa_MV,3
#Duke_MV,#Portia_MV,2
#Duke_MV,#Salerio_MV,5
#Gratiano_MV,#ATTENDANTS.BASSANIO.Leonardo_MV,1
#Gratiano_MV,#ATTENDANTS.BASSANIO_MV,4
#Gratiano_MV,#ATTENDANTS.DUKE.0_MV,4
#Gratiano_MV,#ATTENDANTS.DUKE_MV,5
#Gratiano_MV,#ATTENDANTS.PORTIA.Stephano_MV,1
#Gratiano_MV,#ATTENDANTS.PORTIA_MV,3
#Gratiano_MV,#Duke_MV,5
#Gratiano_MV,#Jessica_MV,4
#Gratiano_MV,#LanceletGobbo_MV,1
#Gratiano_MV,#Lorenzo_MV,12
#Gratiano_MV,#MUSICIANS_MV,3
#Gratiano_MV,#Nerissa_MV,10
#Gratiano_MV,#Portia_MV,8
#Gratiano_MV,#Salerio_MV,8
#Gratiano_MV,#Shylock_MV,3
#Jessica_MV,#ATTENDANTS.PORTIA.Balthazar_MV,1
#Jessica_MV,#ATTENDANTS.PORTIA_MV,1
#Jessica_MV,#LanceletGobbo_MV,5
#Jessica_MV,#MUSICIANS_MV,4
#LanceletGobbo_MV,#ATTENDANTS.BASSANIO.1_MV,1
#LanceletGobbo_MV,#ATTENDANTS.BASSANIO.2_MV,2
#LanceletGobbo_MV,#ATTENDANTS.BASSANIO.Leonardo_MV,3
#LanceletGobbo_MV,#OldGobbo_MV,4
#Lorenzo_MV,#ATTENDANTS.BASSANIO_MV,2
#Lorenzo_MV,#ATTENDANTS.PORTIA.Balthazar_MV,1
#Lorenzo_MV,#ATTENDANTS.PORTIA.Stephano_MV,6
#Lorenzo_MV,#ATTENDANTS.PORTIA_MV,1
#Lorenzo_MV,#Jessica_MV,14
#Lorenzo_MV,#LanceletGobbo_MV,3
#Lorenzo_MV,#MUSICIANS_MV,4
#Lorenzo_MV,#Nerissa_MV,4
#Lorenzo_MV,#Portia_MV,4
#Lorenzo_MV,#Salerio_MV,1
#MUSICIANS_MV,#ATTENDANTS.PORTIA_MV,2
#Nerissa_MV,#ATTENDANTS.ARRAGON_MV,1
#Nerissa_MV,#ATTENDANTS.BASSANIO_MV,4
#Nerissa_MV,#ATTENDANTS.DUKE.0_MV,3
#Nerissa_MV,#ATTENDANTS.MOROCCO_MV,2
#Nerissa_MV,#ATTENDANTS.PORTIA.Balthazar_MV,2
#Nerissa_MV,#ATTENDANTS.PORTIA.Stephano_MV,2
