act,scene,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,#Antonio_MV,364,46,1487,192
1,1,#Bassanio_MV,399,51,1028,133
1,1,#Gratiano_MV,263,36,444,60
1,1,#Lorenzo_MV,52,6,444,60
1,1,#Salarino_MV,236,30,550,72
1,1,#Solanio_MV,173,23,550,72
1,2,#Nerissa_MV,316,42,1141,134
1,2,#Portia_MV,790,88,1141,134
1,2,#SERVANTS.1_MV,35,4,107,13
1,3,#Antonio_MV,296,40,1138,155
1,3,#Bassanio_MV,89,16,1411,194
1,3,#Shylock_MV,1026,138,1376,190
2,1,#Morocco_MV,242,32,364,49
2,1,#Portia_MV,122,17,364,49
2,2,#ATTENDANTS.BASSANIO.Leonardo_MV,11,2,480,62
2,2,#Bassanio_MV,277,39,722,98
2,2,#Gratiano_MV,123,18,249,38
2,2,#LanceletGobbo_MV,965,113,1382,167
2,2,#OldGobbo_MV,292,38,1111,136
2,3,#Jessica_MV,125,16,163,21
2,3,#LanceletGobbo_MV,38,5,114,15
2,4,#Gratiano_MV,17,3,284,43
2,4,#LanceletGobbo_MV,36,5,87,14
2,4,#Lorenzo_MV,191,29,284,43
2,4,#Salarino_MV,21,3,190,31
2,4,#Solanio_MV,19,3,190,31
2,5,#Jessica_MV,29,4,369,48
2,5,#LanceletGobbo_MV,104,15,329,44
2,5,#Shylock_MV,304,39,421,56
2,6,#Antonio_MV,41,6,61,9
2,6,#Gratiano_MV,147,20,530,70
2,6,#Jessica_MV,146,18,214,28
2,6,#Lorenzo_MV,163,21,325,41
2,6,#Salarino_MV,33,5,469,61
2,7,#Morocco_MV,558,77,607,85
2,7,#Portia_MV,64,10,622,87
2,8,#Salarino_MV,247,34,413,56
2,8,#Solanio_MV,166,22,413,56
2,9,#Arragon_MV,496,71,569,81
2,9,#Messenger_MV,76,11,131,19
2,9,#Nerissa_MV,43,6,764,109
2,9,#Portia_MV,149,21,741,106
3,1,#SERVANTS.2_MV,15,2,41,6
3,1,#Salarino_MV,164,20,638,78
3,1,#Shylock_MV,594,68,857,107
3,1,#Solanio_MV,163,23,638,78
3,1,#Tubal_MV,96,16,411,54
3,2,#Bassanio_MV,1082,144,2568,339
3,2,#Gratiano_MV,235,31,2568,339
3,2,#Jessica_MV,56,7,877,117
3,2,#Lorenzo_MV,38,5,877,117
3,2,#MUSICIANS_MV,53,10,2057,275
3,2,#Nerissa_MV,40,5,2568,339
3,2,#Portia_MV,916,116,2568,339
3,2,#Salerio_MV,148,21,877,117
3,3,#Antonio_MV,135,19,294,39
3,3,#Shylock_MV,136,16,147,18
3,3,#Solanio_MV,23,4,294,39
3,4,#ATTENDANTS.PORTIA.Balthazar_MV,7,1,429,58
3,4,#Jessica_MV,7,1,335,45
3,4,#Lorenzo_MV,93,12,335,45
3,4,#Nerissa_MV,10,2,660,88
3,4,#Portia_MV,543,72,660,88
3,5,#Jessica_MV,212,27,725,91
3,5,#LanceletGobbo_MV,264,31,511,63
3,5,#Lorenzo_MV,249,33,510,66
4,1,#Antonio_MV,508,66,3689,475
4,1,#Bassanio_MV,407,51,3689,475
4,1,#Duke_MV,557,72,3282,425
4,1,#Gratiano_MV,268,34,3669,472
4,1,#Nerissa_MV,37,5,2673,346
4,1,#Portia_MV,1065,139,2281,298
4,1,#Salerio_MV,26,4,3689,475
4,1,#Shylock_MV,821,104,3115,402
4,2,#Gratiano_MV,29,5,125,18
4,2,#Nerissa_MV,34,5,158,23
4,2,#Portia_MV,95,13,148,22
5,1,#ATTENDANTS.PORTIA.Stephano_MV,54,8,2232,287
5,1,#Antonio_MV,90,12,1546,190
5,1,#Bassanio_MV,339,42,1546,190
5,1,#Gratiano_MV,291,34,1546,190
5,1,#Jessica_MV,85,14,2517,329
5,1,#LanceletGobbo_MV,45,7,52,10
5,1,#Lorenzo_MV,543,78,2517,329
5,1,#Nerissa_MV,215,25,1849,232
5,1,#Portia_MV,855,109,1849,232
2,1,#ATTENDANTS.MOROCCO_MV,0,0,364,49
2,1,#ATTENDANTS.PORTIA_MV,0,0,364,49
2,1,#Nerissa_MV,0,0,364,49
2,2,#ATTENDANTS.BASSANIO.1_MV,0,0,40,5
2,2,#ATTENDANTS.BASSANIO.2_MV,0,0,317,42
2,7,#ATTENDANTS.MOROCCO_MV,0,0,607,85
2,7,#ATTENDANTS.PORTIA_MV,0,0,622,87
2,7,#Nerissa_MV,0,0,622,87
2,9,#ATTENDANTS.ARRAGON_MV,0,0,569,81
2,9,#ATTENDANTS.PORTIA_MV,0,0,764,109
3,2,#ATTENDANTS.BASSANIO_MV,0,0,2568,339
3,2,#ATTENDANTS.PORTIA_MV,0,0,2568,339
3,3,#Jailer_MV,0,0,294,39
4,1,#ATTENDANTS.DUKE.0_MV,0,0,2344,307
4,1,#ATTENDANTS.DUKE_MV,0,0,3282,425
5,1,#ATTENDANTS.BASSANIO_MV,0,0,1546,190
5,1,#MUSICIANS_MV,0,0,2033,256
