node,node_type
#ATTENDANTS.ARRAGON_MV,character
#ATTENDANTS.BASSANIO.1_MV,character
#ATTENDANTS.BASSANIO.2_MV,character
#ATTENDANTS.BASSANIO.Leonardo_MV,character
#ATTENDANTS.BASSANIO_MV,character
#ATTENDANTS.DUKE.0_MV,character
#ATTENDANTS.DUKE_MV,character
#ATTENDANTS.MOROCCO_MV,character
#ATTENDANTS.PORTIA.Balthazar_MV,character
#ATTENDANTS.PORTIA.Stephano_MV,character
#ATTENDANTS.PORTIA_MV,character
#Antonio_MV,character
#Arragon_MV,character
#Bassanio_MV,character
#Duke_MV,character
#Gratiano_MV,character
#Jailer_MV,character
#Jessica_MV,character
#LanceletGobbo_MV,character
#Lorenzo_MV,character
#MUSICIANS_MV,character
#Messenger_MV,character
#Morocco_MV,character
#Nerissa_MV,character
#OldGobbo_MV,character
#Portia_MV,character
#SERVANTS.1_MV,character
#SERVANTS.2_MV,character
#Salarino_MV,character
#Salerio_MV,character
#Shylock_MV,character
#Solanio_MV,character
#Tubal_MV,character
1.01.0001,text_unit
1.01.0002,text_unit
1.01.0003,text_unit
1.01.0004,text_unit
1.02.0005,text_unit
1.02.0006,text_unit
1.03.0007,text_unit
1.03.0008,text_unit
1.03.0009,text_unit
2.01.0010,text_unit
2.02.0011,text_unit
2.02.0012,text_unit
2.02.0013,text_unit
2.02.0014,text_unit
2.02.0015,text_unit
2.02.0016,text_unit
2.02.0017,text_unit
2.02.0018,text_unit
2.03.0019,text_unit
2.03.0020,text_unit
2.04.0021,text_unit
2.04.0022,text_unit
2.04.0023,text_unit
2.04.0024,text_unit
2.05.0025,text_unit
2.05.0026,text_unit
2.05.0027,text_unit
2.05.0028,text_unit
2.06.0029,text_unit
2.06.0030,text_unit
2.06.0031,text_unit
2.06.0032,text_unit
2.06.0033,text_unit
2.06.0034,text_unit
2.07.0035,text_unit
2.07.0036,text_unit
2.08.0037,text_unit
2.09.0038,text_unit
2.09.0039,text_unit
2.09.0040,text_unit
2.09.0041,text_unit
3.01.0042,text_unit
3.01.0043,text_unit
3.01.0044,text_unit
3.01.0045,text_unit
3.01.0046,text_unit
3.02.0047,text_unit
3.02.0048,text_unit
3.02.0049,text_unit
3.03.0050,text_unit
3.03.0051,text_unit
3.04.0052,text_unit
3.04.0053,text_unit
3.04.0054,text_unit
3.05.0055,text_unit
3.05.0056,text_unit
3.05.0057,text_unit
4.01.0058,text_unit
4.01.0059,text_unit
4.01.0060,text_unit
4.01.0061,text_unit
4.01.0062,text_unit
4.01.0063,text_unit
4.01.0064,text_unit
4.01.0065,text_unit
4.02.0066,text_unit
4.02.0067,text_unit
4.02.0068,text_unit
5.01.0069,text_unit
5.01.0070,text_unit
5.01.0071,text_unit
5.01.0072,text_unit
5.01.0073,text_unit
5.01.0074,text_unit
5.01.0075,text_unit
5.01.0076,text_unit
