node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#HughEvans_Wiv,#Shallow_2H4,0,1,1,1,515,72,1
#HughEvans_Wiv,#Slender_Wiv,0,1,1,1,515,72,1
#Shallow_2H4,#Slender_Wiv,0,1,1,1,515,72,1
#HughEvans_Wiv,#MasterPage_Wiv,0,1,1,2,250,34,2
#HughEvans_Wiv,#Shallow_2H4,1,1,1,2,250,34,2
#HughEvans_Wiv,#Slender_Wiv,1,1,1,2,250,34,2
#Shallow_2H4,#MasterPage_Wiv,0,1,1,2,250,34,2
#Shallow_2H4,#Slender_Wiv,1,1,1,2,250,34,2
#Slender_Wiv,#MasterPage_Wiv,0,1,1,2,250,34,2
#Bardolph_1H4,#Falstaff_1H4,0,1,1,3,525,77,3
#Bardolph_1H4,#Nym_H5,0,1,1,3,525,77,3
#Bardolph_1H4,#Pistol_2H4,0,1,1,3,525,77,3
#Falstaff_1H4,#Nym_H5,0,1,1,3,525,77,3
#Falstaff_1H4,#Pistol_2H4,0,1,1,3,525,77,3
#HughEvans_Wiv,#Bardolph_1H4,0,1,1,3,525,77,3
#HughEvans_Wiv,#Falstaff_1H4,0,1,1,3,525,77,3
#HughEvans_Wiv,#MasterPage_Wiv,1,1,1,3,525,77,3
#HughEvans_Wiv,#Nym_H5,0,1,1,3,525,77,3
#HughEvans_Wiv,#Pistol_2H4,0,1,1,3,525,77,3
#HughEvans_Wiv,#Shallow_2H4,2,1,1,3,525,77,3
#HughEvans_Wiv,#Slender_Wiv,2,1,1,3,525,77,3
#MasterPage_Wiv,#Bardolph_1H4,0,1,1,3,525,77,3
#MasterPage_Wiv,#Falstaff_1H4,0,1,1,3,525,77,3
#MasterPage_Wiv,#Nym_H5,0,1,1,3,525,77,3
#MasterPage_Wiv,#Pistol_2H4,0,1,1,3,525,77,3
#Nym_H5,#Pistol_2H4,0,1,1,3,525,77,3
#Shallow_2H4,#Bardolph_1H4,0,1,1,3,525,77,3
#Shallow_2H4,#Falstaff_1H4,0,1,1,3,525,77,3
#Shallow_2H4,#MasterPage_Wiv,1,1,1,3,525,77,3
#Shallow_2H4,#Nym_H5,0,1,1,3,525,77,3
#Shallow_2H4,#Pistol_2H4,0,1,1,3,525,77,3
#Shallow_2H4,#Slender_Wiv,2,1,1,3,525,77,3
#Slender_Wiv,#Bardolph_1H4,0,1,1,3,525,77,3
#Slender_Wiv,#Falstaff_1H4,0,1,1,3,525,77,3
#Slender_Wiv,#MasterPage_Wiv,1,1,1,3,525,77,3
#Slender_Wiv,#Nym_H5,0,1,1,3,525,77,3
#Slender_Wiv,#Pistol_2H4,0,1,1,3,525,77,3
#Bardolph_1H4,#AnnePage_Wiv,0,1,1,4,9,2,4
#Bardolph_1H4,#Falstaff_1H4,1,1,1,4,9,2,4
#Bardolph_1H4,#Nym_H5,1,1,1,4,9,2,4
#Bardolph_1H4,#Pistol_2H4,1,1,1,4,9,2,4
#Falstaff_1H4,#AnnePage_Wiv,0,1,1,4,9,2,4
#Falstaff_1H4,#Nym_H5,1,1,1,4,9,2,4
#Falstaff_1H4,#Pistol_2H4,1,1,1,4,9,2,4
#HughEvans_Wiv,#AnnePage_Wiv,0,1,1,4,9,2,4
#HughEvans_Wiv,#Bardolph_1H4,1,1,1,4,9,2,4
#HughEvans_Wiv,#Falstaff_1H4,1,1,1,4,9,2,4
#HughEvans_Wiv,#MasterPage_Wiv,2,1,1,4,9,2,4
#HughEvans_Wiv,#Nym_H5,1,1,1,4,9,2,4
#HughEvans_Wiv,#Pistol_2H4,1,1,1,4,9,2,4
#HughEvans_Wiv,#Shallow_2H4,3,1,1,4,9,2,4
#HughEvans_Wiv,#Slender_Wiv,3,1,1,4,9,2,4
#MasterPage_Wiv,#AnnePage_Wiv,0,1,1,4,9,2,4
#MasterPage_Wiv,#Bardolph_1H4,1,1,1,4,9,2,4
#MasterPage_Wiv,#Falstaff_1H4,1,1,1,4,9,2,4
#MasterPage_Wiv,#Nym_H5,1,1,1,4,9,2,4
#MasterPage_Wiv,#Pistol_2H4,1,1,1,4,9,2,4
#Nym_H5,#AnnePage_Wiv,0,1,1,4,9,2,4
#Nym_H5,#Pistol_2H4,1,1,1,4,9,2,4
#Pistol_2H4,#AnnePage_Wiv,0,1,1,4,9,2,4
#Shallow_2H4,#AnnePage_Wiv,0,1,1,4,9,2,4
#Shallow_2H4,#Bardolph_1H4,1,1,1,4,9,2,4
#Shallow_2H4,#Falstaff_1H4,1,1,1,4,9,2,4
#Shallow_2H4,#MasterPage_Wiv,2,1,1,4,9,2,4
#Shallow_2H4,#Nym_H5,1,1,1,4,9,2,4
#Shallow_2H4,#Pistol_2H4,1,1,1,4,9,2,4
#Shallow_2H4,#Slender_Wiv,3,1,1,4,9,2,4
#Slender_Wiv,#AnnePage_Wiv,0,1,1,4,9,2,4
#Slender_Wiv,#Bardolph_1H4,1,1,1,4,9,2,4
#Slender_Wiv,#Falstaff_1H4,1,1,1,4,9,2,4
#Slender_Wiv,#MasterPage_Wiv,2,1,1,4,9,2,4
#Slender_Wiv,#Nym_H5,1,1,1,4,9,2,4
#Slender_Wiv,#Pistol_2H4,1,1,1,4,9,2,4
#Bardolph_1H4,#Falstaff_1H4,2,1,1,5,7,1,5
#Bardolph_1H4,#Nym_H5,2,1,1,5,7,1,5
#Bardolph_1H4,#Pistol_2H4,2,1,1,5,7,1,5
#Falstaff_1H4,#Nym_H5,2,1,1,5,7,1,5
#Falstaff_1H4,#Pistol_2H4,2,1,1,5,7,1,5
#HughEvans_Wiv,#Bardolph_1H4,2,1,1,5,7,1,5
#HughEvans_Wiv,#Falstaff_1H4,2,1,1,5,7,1,5
#HughEvans_Wiv,#MasterPage_Wiv,3,1,1,5,7,1,5
#HughEvans_Wiv,#Nym_H5,2,1,1,5,7,1,5
#HughEvans_Wiv,#Pistol_2H4,2,1,1,5,7,1,5
#HughEvans_Wiv,#Shallow_2H4,4,1,1,5,7,1,5
#HughEvans_Wiv,#Slender_Wiv,4,1,1,5,7,1,5
#MasterPage_Wiv,#Bardolph_1H4,2,1,1,5,7,1,5
#MasterPage_Wiv,#Falstaff_1H4,2,1,1,5,7,1,5
#MasterPage_Wiv,#Nym_H5,2,1,1,5,7,1,5
#MasterPage_Wiv,#Pistol_2H4,2,1,1,5,7,1,5
#Nym_H5,#Pistol_2H4,2,1,1,5,7,1,5
#Shallow_2H4,#Bardolph_1H4,2,1,1,5,7,1,5
#Shallow_2H4,#Falstaff_1H4,2,1,1,5,7,1,5
#Shallow_2H4,#MasterPage_Wiv,3,1,1,5,7,1,5
#Shallow_2H4,#Nym_H5,2,1,1,5,7,1,5
#Shallow_2H4,#Pistol_2H4,2,1,1,5,7,1,5
#Shallow_2H4,#Slender_Wiv,4,1,1,5,7,1,5
#Slender_Wiv,#Bardolph_1H4,2,1,1,5,7,1,5
#Slender_Wiv,#Falstaff_1H4,2,1,1,5,7,1,5
#Slender_Wiv,#MasterPage_Wiv,3,1,1,5,7,1,5
#Slender_Wiv,#Nym_H5,2,1,1,5,7,1,5
#Slender_Wiv,#Pistol_2H4,2,1,1,5,7,1,5
#Bardolph_1H4,#Falstaff_1H4,3,1,1,6,43,6,6
#Bardolph_1H4,#MistressFord_Wiv,0,1,1,6,43,6,6
#Bardolph_1H4,#MistressPage_Wiv,0,1,1,6,43,6,6
#Bardolph_1H4,#Nym_H5,3,1,1,6,43,6,6
#Bardolph_1H4,#Pistol_2H4,3,1,1,6,43,6,6
#Falstaff_1H4,#MistressFord_Wiv,0,1,1,6,43,6,6
#Falstaff_1H4,#MistressPage_Wiv,0,1,1,6,43,6,6
