node1,node2,key,act,scene,n_tokens,n_lines,edge_index
#AnnePage_Wiv,#Bardolph_1H4,0,1,1,2190,308,1
#AnnePage_Wiv,#Falstaff_1H4,0,1,1,2190,308,1
#AnnePage_Wiv,#HughEvans_Wiv,0,1,1,2190,308,1
#AnnePage_Wiv,#MasterPage_Wiv,0,1,1,2190,308,1
#AnnePage_Wiv,#MistressFord_Wiv,0,1,1,2190,308,1
#AnnePage_Wiv,#MistressPage_Wiv,0,1,1,2190,308,1
#AnnePage_Wiv,#Nym_H5,0,1,1,2190,308,1
#AnnePage_Wiv,#Pistol_2H4,0,1,1,2190,308,1
#AnnePage_Wiv,#Shallow_2H4,0,1,1,2190,308,1
#AnnePage_Wiv,#Simple_Wiv,0,1,1,2190,308,1
#AnnePage_Wiv,#Slender_Wiv,0,1,1,2190,308,1
#Bardolph_1H4,#Falstaff_1H4,0,1,1,2190,308,1
#Bardolph_1H4,#HughEvans_Wiv,0,1,1,2190,308,1
#Bardolph_1H4,#MasterPage_Wiv,0,1,1,2190,308,1
#Bardolph_1H4,#MistressFord_Wiv,0,1,1,2190,308,1
#Bardolph_1H4,#MistressPage_Wiv,0,1,1,2190,308,1
#Bardolph_1H4,#Nym_H5,0,1,1,2190,308,1
#Bardolph_1H4,#Pistol_2H4,0,1,1,2190,308,1
#Bardolph_1H4,#Shallow_2H4,0,1,1,2190,308,1
#Bardolph_1H4,#Simple_Wiv,0,1,1,2190,308,1
#Bardolph_1H4,#Slender_Wiv,0,1,1,2190,308,1
#Falstaff_1H4,#HughEvans_Wiv,0,1,1,2190,308,1
#Falstaff_1H4,#MasterPage_Wiv,0,1,1,2190,308,1
#Falstaff_1H4,#MistressFord_Wiv,0,1,1,2190,308,1
#Falstaff_1H4,#MistressPage_Wiv,0,1,1,2190,308,1
#Falstaff_1H4,#Nym_H5,0,1,1,2190,308,1
#Falstaff_1H4,#Pistol_2H4,0,1,1,2190,308,1
#Falstaff_1H4,#Shallow_2H4,0,1,1,2190,308,1
#Falstaff_1H4,#Simple_Wiv,0,1,1,2190,308,1
#Falstaff_1H4,#Slender_Wiv,0,1,1,2190,308,1
#HughEvans_Wiv,#MasterPage_Wiv,0,1,1,2190,308,1
#HughEvans_Wiv,#MistressFord_Wiv,0,1,1,2190,308,1
#HughEvans_Wiv,#MistressPage_Wiv,0,1,1,2190,308,1
#HughEvans_Wiv,#Nym_H5,0,1,1,2190,308,1
#HughEvans_Wiv,#Pistol_2H4,0,1,1,2190,308,1
#HughEvans_Wiv,#Shallow_2H4,0,1,1,2190,308,1
#HughEvans_Wiv,#Simple_Wiv,0,1,1,2190,308,1
#HughEvans_Wiv,#Slender_Wiv,0,1,1,2190,308,1
#MasterPage_Wiv,#MistressFord_Wiv,0,1,1,2190,308,1
#MasterPage_Wiv,#MistressPage_Wiv,0,1,1,2190,308,1
#MasterPage_Wiv,#Nym_H5,0,1,1,2190,308,1
#MasterPage_Wiv,#Pistol_2H4,0,1,1,2190,308,1
#MasterPage_Wiv,#Shallow_2H4,0,1,1,2190,308,1
#MasterPage_Wiv,#Simple_Wiv,0,1,1,2190,308,1
#MasterPage_Wiv,#Slender_Wiv,0,1,1,2190,308,1
#MistressFord_Wiv,#MistressPage_Wiv,0,1,1,2190,308,1
#MistressFord_Wiv,#Nym_H5,0,1,1,2190,308,1
#MistressFord_Wiv,#Pistol_2H4,0,1,1,2190,308,1
#MistressFord_Wiv,#Shallow_2H4,0,1,1,2190,308,1
#MistressFord_Wiv,#Simple_Wiv,0,1,1,2190,308,1
#MistressFord_Wiv,#Slender_Wiv,0,1,1,2190,308,1
#MistressPage_Wiv,#Nym_H5,0,1,1,2190,308,1
#MistressPage_Wiv,#Pistol_2H4,0,1,1,2190,308,1
#MistressPage_Wiv,#Shallow_2H4,0,1,1,2190,308,1
#MistressPage_Wiv,#Simple_Wiv,0,1,1,2190,308,1
#MistressPage_Wiv,#Slender_Wiv,0,1,1,2190,308,1
#Nym_H5,#Pistol_2H4,0,1,1,2190,308,1
#Nym_H5,#Shallow_2H4,0,1,1,2190,308,1
#Nym_H5,#Simple_Wiv,0,1,1,2190,308,1
#Nym_H5,#Slender_Wiv,0,1,1,2190,308,1
#Pistol_2H4,#Shallow_2H4,0,1,1,2190,308,1
#Pistol_2H4,#Simple_Wiv,0,1,1,2190,308,1
#Pistol_2H4,#Slender_Wiv,0,1,1,2190,308,1
#Shallow_2H4,#Simple_Wiv,0,1,1,2190,308,1
#Shallow_2H4,#Slender_Wiv,0,1,1,2190,308,1
#Simple_Wiv,#Slender_Wiv,0,1,1,2190,308,1
#HughEvans_Wiv,#Simple_Wiv,1,1,2,102,13,2
#Bardolph_1H4,#Falstaff_1H4,1,1,3,752,107,3
#Bardolph_1H4,#Host_Wiv,0,1,3,752,107,3
#Bardolph_1H4,#Nym_H5,1,1,3,752,107,3
#Bardolph_1H4,#Pistol_2H4,1,1,3,752,107,3
#Bardolph_1H4,#Robin_Wiv,0,1,3,752,107,3
#Falstaff_1H4,#Host_Wiv,0,1,3,752,107,3
#Falstaff_1H4,#Nym_H5,1,1,3,752,107,3
#Falstaff_1H4,#Pistol_2H4,1,1,3,752,107,3
#Falstaff_1H4,#Robin_Wiv,0,1,3,752,107,3
#Host_Wiv,#Robin_Wiv,0,1,3,752,107,3
#Nym_H5,#Host_Wiv,0,1,3,752,107,3
#Nym_H5,#Pistol_2H4,1,1,3,752,107,3
#Nym_H5,#Robin_Wiv,0,1,3,752,107,3
#Pistol_2H4,#Host_Wiv,0,1,3,752,107,3
#Pistol_2H4,#Robin_Wiv,0,1,3,752,107,3
#DoctorCaius_Wiv,#Fenton_Wiv,0,1,4,1250,173,4
#DoctorCaius_Wiv,#MistressQuickly_1H4,0,1,4,1250,173,4
#DoctorCaius_Wiv,#Rugby_Wiv,0,1,4,1250,173,4
#Fenton_Wiv,#MistressQuickly_1H4,0,1,4,1250,173,4
#Fenton_Wiv,#Rugby_Wiv,0,1,4,1250,173,4
#MistressQuickly_1H4,#Rugby_Wiv,0,1,4,1250,173,4
#Simple_Wiv,#DoctorCaius_Wiv,0,1,4,1250,173,4
#Simple_Wiv,#Fenton_Wiv,0,1,4,1250,173,4
#Simple_Wiv,#MistressQuickly_1H4,0,1,4,1250,173,4
#Simple_Wiv,#Rugby_Wiv,0,1,4,1250,173,4
#Host_Wiv,#MasterFord_Wiv,0,2,1,1759,235,5
#Host_Wiv,#MistressQuickly_1H4,0,2,1,1759,235,5
#MasterPage_Wiv,#Host_Wiv,0,2,1,1759,235,5
#MasterPage_Wiv,#MasterFord_Wiv,0,2,1,1759,235,5
#MasterPage_Wiv,#MistressFord_Wiv,1,2,1,1759,235,5
#MasterPage_Wiv,#MistressPage_Wiv,1,2,1,1759,235,5
#MasterPage_Wiv,#MistressQuickly_1H4,0,2,1,1759,235,5
#MasterPage_Wiv,#Nym_H5,1,2,1,1759,235,5
#MasterPage_Wiv,#Pistol_2H4,1,2,1,1759,235,5
#MasterPage_Wiv,#Shallow_2H4,1,2,1,1759,235,5
#MistressFord_Wiv,#Host_Wiv,0,2,1,1759,235,5
#MistressFord_Wiv,#MasterFord_Wiv,0,2,1,1759,235,5
#MistressFord_Wiv,#MistressPage_Wiv,1,2,1,1759,235,5
#MistressFord_Wiv,#MistressQuickly_1H4,0,2,1,1759,235,5
#MistressFord_Wiv,#Nym_H5,1,2,1,1759,235,5
#MistressFord_Wiv,#Pistol_2H4,1,2,1,1759,235,5
#MistressFord_Wiv,#Shallow_2H4,1,2,1,1759,235,5
#MistressPage_Wiv,#Host_Wiv,0,2,1,1759,235,5
#MistressPage_Wiv,#MasterFord_Wiv,0,2,1,1759,235,5
#MistressPage_Wiv,#MistressQuickly_1H4,0,2,1,1759,235,5
#MistressPage_Wiv,#Nym_H5,1,2,1,1759,235,5
#MistressPage_Wiv,#Pistol_2H4,1,2,1,1759,235,5
#MistressPage_Wiv,#Shallow_2H4,1,2,1,1759,235,5
#MistressQuickly_1H4,#MasterFord_Wiv,0,2,1,1759,235,5
#Nym_H5,#Host_Wiv,1,2,1,1759,235,5
#Nym_H5,#MasterFord_Wiv,0,2,1,1759,235,5
#Nym_H5,#MistressQuickly_1H4,0,2,1,1759,235,5
#Nym_H5,#Pistol_2H4,2,2,1,1759,235,5
#Nym_H5,#Shallow_2H4,1,2,1,1759,235,5
#Pistol_2H4,#Host_Wiv,1,2,1,1759,235,5
#Pistol_2H4,#MasterFord_Wiv,0,2,1,1759,235,5
#Pistol_2H4,#MistressQuickly_1H4,0,2,1,1759,235,5
#Pistol_2H4,#Shallow_2H4,1,2,1,1759,235,5
#Shallow_2H4,#Host_Wiv,0,2,1,1759,235,5
#Shallow_2H4,#MasterFord_Wiv,0,2,1,1759,235,5
#Shallow_2H4,#MistressQuickly_1H4,0,2,1,1759,235,5
#Bardolph_1H4,#Falstaff_1H4,2,2,2,2482,321,6
#Bardolph_1H4,#MasterFord_Wiv,0,2,2,2482,321,6
#Bardolph_1H4,#MistressQuickly_1H4,0,2,2,2482,321,6
#Bardolph_1H4,#Pistol_2H4,2,2,2,2482,321,6
#Bardolph_1H4,#Robin_Wiv,1,2,2,2482,321,6
#Falstaff_1H4,#MasterFord_Wiv,0,2,2,2482,321,6
#Falstaff_1H4,#MistressQuickly_1H4,0,2,2,2482,321,6
#Falstaff_1H4,#Pistol_2H4,2,2,2,2482,321,6
#Falstaff_1H4,#Robin_Wiv,1,2,2,2482,321,6
#MistressQuickly_1H4,#MasterFord_Wiv,1,2,2,2482,321,6
#Pistol_2H4,#MasterFord_Wiv,1,2,2,2482,321,6
#Pistol_2H4,#MistressQuickly_1H4,1,2,2,2482,321,6
#Pistol_2H4,#Robin_Wiv,1,2,2,2482,321,6
#Robin_Wiv,#MasterFord_Wiv,0,2,2,2482,321,6
#Robin_Wiv,#MistressQuickly_1H4,0,2,2,2482,321,6
#DoctorCaius_Wiv,#Rugby_Wiv,1,2,3,671,98,7
#Host_Wiv,#DoctorCaius_Wiv,0,2,3,671,98,7
#Host_Wiv,#Rugby_Wiv,0,2,3,671,98,7
#MasterPage_Wiv,#DoctorCaius_Wiv,0,2,3,671,98,7
#MasterPage_Wiv,#Host_Wiv,1,2,3,671,98,7
#MasterPage_Wiv,#Rugby_Wiv,0,2,3,671,98,7
#MasterPage_Wiv,#Shallow_2H4,2,2,3,671,98,7
#MasterPage_Wiv,#Slender_Wiv,1,2,3,671,98,7
#Shallow_2H4,#DoctorCaius_Wiv,0,2,3,671,98,7
#Shallow_2H4,#Host_Wiv,1,2,3,671,98,7
#Shallow_2H4,#Rugby_Wiv,0,2,3,671,98,7
#Shallow_2H4,#Slender_Wiv,1,2,3,671,98,7
#Slender_Wiv,#DoctorCaius_Wiv,0,2,3,671,98,7
#Slender_Wiv,#Host_Wiv,0,2,3,671,98,7
#Slender_Wiv,#Rugby_Wiv,0,2,3,671,98,7
#DoctorCaius_Wiv,#Rugby_Wiv,2,3,1,830,126,8
#Host_Wiv,#DoctorCaius_Wiv,1,3,1,830,126,8
#Host_Wiv,#Rugby_Wiv,1,3,1,830,126,8
#HughEvans_Wiv,#DoctorCaius_Wiv,0,3,1,830,126,8
#HughEvans_Wiv,#Host_Wiv,0,3,1,830,126,8
#HughEvans_Wiv,#MasterPage_Wiv,1,3,1,830,126,8
#HughEvans_Wiv,#Rugby_Wiv,0,3,1,830,126,8
#HughEvans_Wiv,#Shallow_2H4,1,3,1,830,126,8
#HughEvans_Wiv,#Simple_Wiv,2,3,1,830,126,8
#HughEvans_Wiv,#Slender_Wiv,1,3,1,830,126,8
#MasterPage_Wiv,#DoctorCaius_Wiv,1,3,1,830,126,8
#MasterPage_Wiv,#Host_Wiv,2,3,1,830,126,8
#MasterPage_Wiv,#Rugby_Wiv,1,3,1,830,126,8
#MasterPage_Wiv,#Shallow_2H4,3,3,1,830,126,8
#MasterPage_Wiv,#Simple_Wiv,1,3,1,830,126,8
#MasterPage_Wiv,#Slender_Wiv,2,3,1,830,126,8
#Shallow_2H4,#DoctorCaius_Wiv,1,3,1,830,126,8
#Shallow_2H4,#Host_Wiv,2,3,1,830,126,8
