node1,node2,count
#AnnePage_Wiv,#BOYS_Wiv,1
#AnnePage_Wiv,#Bardolph_1H4,1
#AnnePage_Wiv,#DoctorCaius_Wiv,1
#AnnePage_Wiv,#Falstaff_1H4,2
#AnnePage_Wiv,#Fenton_Wiv,2
#AnnePage_Wiv,#HughEvans_Wiv,2
#AnnePage_Wiv,#MasterFord_Wiv,1
#AnnePage_Wiv,#MasterPage_Wiv,3
#AnnePage_Wiv,#MistressFord_Wiv,2
#AnnePage_Wiv,#MistressPage_Wiv,3
#AnnePage_Wiv,#MistressQuickly_1H4,2
#AnnePage_Wiv,#Nym_H5,1
#AnnePage_Wiv,#Pistol_2H4,2
#AnnePage_Wiv,#Shallow_2H4,2
#AnnePage_Wiv,#Simple_Wiv,1
#AnnePage_Wiv,#Slender_Wiv,3
#BOYS_Wiv,#DoctorCaius_Wiv,1
#BOYS_Wiv,#MasterFord_Wiv,1
#Bardolph_1H4,#DoctorCaius_Wiv,1
#Bardolph_1H4,#Falstaff_1H4,5
#Bardolph_1H4,#Host_Wiv,3
#Bardolph_1H4,#HughEvans_Wiv,2
#Bardolph_1H4,#MasterFord_Wiv,2
#Bardolph_1H4,#MasterPage_Wiv,1
#Bardolph_1H4,#MistressFord_Wiv,1
#Bardolph_1H4,#MistressPage_Wiv,1
#Bardolph_1H4,#MistressQuickly_1H4,3
#Bardolph_1H4,#Nym_H5,2
#Bardolph_1H4,#Pistol_2H4,3
#Bardolph_1H4,#Robin_Wiv,2
#Bardolph_1H4,#Shallow_2H4,1
#Bardolph_1H4,#Simple_Wiv,2
#Bardolph_1H4,#Slender_Wiv,1
#DoctorCaius_Wiv,#Host_Wiv,4
#DoctorCaius_Wiv,#John_Wiv,2
#DoctorCaius_Wiv,#MasterFord_Wiv,4
#DoctorCaius_Wiv,#Robert_Wiv,2
#DoctorCaius_Wiv,#Robin_Wiv,2
#DoctorCaius_Wiv,#Rugby_Wiv,4
#Falstaff_1H4,#BOYS_Wiv,1
#Falstaff_1H4,#DoctorCaius_Wiv,4
#Falstaff_1H4,#Fenton_Wiv,1
#Falstaff_1H4,#Host_Wiv,2
#Falstaff_1H4,#HughEvans_Wiv,5
#Falstaff_1H4,#John_Wiv,2
#Falstaff_1H4,#MasterFord_Wiv,6
#Falstaff_1H4,#MasterPage_Wiv,4
#Falstaff_1H4,#MistressFord_Wiv,4
#Falstaff_1H4,#MistressPage_Wiv,4
#Falstaff_1H4,#MistressQuickly_1H4,5
#Falstaff_1H4,#Nym_H5,2
#Falstaff_1H4,#Pistol_2H4,4
#Falstaff_1H4,#Robert_Wiv,2
#Falstaff_1H4,#Robin_Wiv,3
#Falstaff_1H4,#Shallow_2H4,2
#Falstaff_1H4,#Simple_Wiv,2
#Falstaff_1H4,#Slender_Wiv,2
#Fenton_Wiv,#BOYS_Wiv,1
#Fenton_Wiv,#DoctorCaius_Wiv,2
#Fenton_Wiv,#Host_Wiv,1
#Fenton_Wiv,#MasterFord_Wiv,1
#Fenton_Wiv,#MistressQuickly_1H4,3
#Fenton_Wiv,#Rugby_Wiv,1
#Host_Wiv,#Robin_Wiv,2
#Host_Wiv,#Rugby_Wiv,3
#HughEvans_Wiv,#BOYS_Wiv,2
#HughEvans_Wiv,#DoctorCaius_Wiv,6
#HughEvans_Wiv,#Fenton_Wiv,1
#HughEvans_Wiv,#Host_Wiv,3
#HughEvans_Wiv,#John_Wiv,2
#HughEvans_Wiv,#MasterFord_Wiv,5
#HughEvans_Wiv,#MasterPage_Wiv,7
#HughEvans_Wiv,#MistressFord_Wiv,5
#HughEvans_Wiv,#MistressPage_Wiv,7
#HughEvans_Wiv,#MistressQuickly_1H4,3
#HughEvans_Wiv,#Nym_H5,1
#HughEvans_Wiv,#Pistol_2H4,2
#HughEvans_Wiv,#Robert_Wiv,2
#HughEvans_Wiv,#Robin_Wiv,2
#HughEvans_Wiv,#Rugby_Wiv,2
#HughEvans_Wiv,#Shallow_2H4,4
#HughEvans_Wiv,#Simple_Wiv,4
#HughEvans_Wiv,#Slender_Wiv,4
#HughEvans_Wiv,#WilliamPage_Wiv,1
#John_Wiv,#Robert_Wiv,2
#MasterFord_Wiv,#Host_Wiv,2
#MasterFord_Wiv,#John_Wiv,2
#MasterFord_Wiv,#Robert_Wiv,2
#MasterFord_Wiv,#Robin_Wiv,3
#MasterFord_Wiv,#Rugby_Wiv,1
#MasterPage_Wiv,#BOYS_Wiv,1
#MasterPage_Wiv,#DoctorCaius_Wiv,6
#MasterPage_Wiv,#Fenton_Wiv,2
#MasterPage_Wiv,#Host_Wiv,4
#MasterPage_Wiv,#John_Wiv,2
#MasterPage_Wiv,#MasterFord_Wiv,6
#MasterPage_Wiv,#MistressFord_Wiv,6
#MasterPage_Wiv,#MistressPage_Wiv,8
#MasterPage_Wiv,#MistressQuickly_1H4,3
#MasterPage_Wiv,#Nym_H5,2
#MasterPage_Wiv,#Pistol_2H4,3
#MasterPage_Wiv,#Robert_Wiv,2
#MasterPage_Wiv,#Robin_Wiv,2
#MasterPage_Wiv,#Rugby_Wiv,3
#MasterPage_Wiv,#Shallow_2H4,8
#MasterPage_Wiv,#Simple_Wiv,2
#MasterPage_Wiv,#Slender_Wiv,7
#MistressFord_Wiv,#BOYS_Wiv,1
#MistressFord_Wiv,#DoctorCaius_Wiv,4
#MistressFord_Wiv,#Fenton_Wiv,1
#MistressFord_Wiv,#Host_Wiv,1
#MistressFord_Wiv,#John_Wiv,2
#MistressFord_Wiv,#MasterFord_Wiv,5
#MistressFord_Wiv,#MistressPage_Wiv,7
#MistressFord_Wiv,#MistressQuickly_1H4,2
#MistressFord_Wiv,#Nym_H5,2
#MistressFord_Wiv,#Pistol_2H4,3
#MistressFord_Wiv,#Robert_Wiv,2
#MistressFord_Wiv,#Robin_Wiv,1
#MistressFord_Wiv,#Shallow_2H4,3
#MistressFord_Wiv,#Simple_Wiv,1
#MistressFord_Wiv,#Slender_Wiv,2
#MistressPage_Wiv,#BOYS_Wiv,1
#MistressPage_Wiv,#DoctorCaius_Wiv,5
#MistressPage_Wiv,#Fenton_Wiv,2
#MistressPage_Wiv,#Host_Wiv,2
#MistressPage_Wiv,#John_Wiv,2
