act,scene,n_tokens,n_lines,onstage
1,1,2190,308,#AnnePage_Wiv #Bardolph_1H4 #Falstaff_1H4 #HughEvans_Wiv #MasterPage_Wiv #MistressFord_Wiv #MistressPage_Wiv #Nym_H5 #Pistol_2H4 #Shallow_2H4 #Simple_Wiv #Slender_Wiv
1,2,102,13,#HughEvans_Wiv #Simple_Wiv
1,3,752,107,#Bardolph_1H4 #Falstaff_1H4 #Host_Wiv #Nym_H5 #Pistol_2H4 #Robin_Wiv
1,4,1250,173,#DoctorCaius_Wiv #Fenton_Wiv #MistressQuickly_1H4 #Rugby_Wiv #Simple_Wiv
2,1,1759,235,#Host_Wiv #MasterFord_Wiv #MasterPage_Wiv #MistressFord_Wiv #MistressPage_Wiv #MistressQuickly_1H4 #Nym_H5 #Pistol_2H4 #Shallow_2H4
2,2,2482,321,#Bardolph_1H4 #Falstaff_1H4 #MasterFord_Wiv #MistressQuickly_1H4 #Pistol_2H4 #Robin_Wiv
2,3,671,98,#DoctorCaius_Wiv #Host_Wiv #MasterPage_Wiv #Rugby_Wiv #Shallow_2H4 #Slender_Wiv
3,1,830,126,#DoctorCaius_Wiv #Host_Wiv #HughEvans_Wiv #MasterPage_Wiv #Rugby_Wiv #Shallow_2H4 #Simple_Wiv #Slender_Wiv
3,2,691,91,#DoctorCaius_Wiv #Host_Wiv #HughEvans_Wiv #MasterFord_Wiv #MasterPage_Wiv #MistressPage_Wiv #Robin_Wiv #Rugby_Wiv #Shallow_2H4 #Slender_Wiv
3,3,1671,241,#DoctorCaius_Wiv #Falstaff_1H4 #HughEvans_Wiv #John_Wiv #MasterFord_Wiv #MasterPage_Wiv #MistressFord_Wiv #MistressPage_Wiv #Robert_Wiv #Robin_Wiv
3,4,843,113,#AnnePage_Wiv #Fenton_Wiv #MasterPage_Wiv #MistressPage_Wiv #MistressQuickly_1H4 #Shallow_2H4 #Slender_Wiv
3,5,1168,154,#Bardolph_1H4 #Falstaff_1H4 #MasterFord_Wiv #MistressQuickly_1H4
4,1,460,86,#HughEvans_Wiv #MistressPage_Wiv #MistressQuickly_1H4 #WilliamPage_Wiv
4,2,1565,224,#DoctorCaius_Wiv #Falstaff_1H4 #HughEvans_Wiv #John_Wiv #MasterFord_Wiv #MasterPage_Wiv #MistressFord_Wiv #MistressPage_Wiv #Robert_Wiv #Shallow_2H4
4,3,94,11,#Bardolph_1H4 #Host_Wiv
4,4,718,97,#HughEvans_Wiv #MasterFord_Wiv #MasterPage_Wiv #MistressFord_Wiv #MistressPage_Wiv
4,5,932,129,#Bardolph_1H4 #DoctorCaius_Wiv #Falstaff_1H4 #Host_Wiv #HughEvans_Wiv #MistressQuickly_1H4 #Simple_Wiv
4,6,440,55,#Fenton_Wiv #Host_Wiv
5,1,262,32,#Falstaff_1H4 #MasterFord_Wiv #MistressQuickly_1H4
5,2,114,14,#MasterPage_Wiv #Shallow_2H4 #Slender_Wiv
5,3,183,26,#DoctorCaius_Wiv #MistressFord_Wiv #MistressPage_Wiv
5,4,33,4,#BOYS_Wiv #HughEvans_Wiv
5,5,1903,254,#AnnePage_Wiv #BOYS_Wiv #DoctorCaius_Wiv #Falstaff_1H4 #Fenton_Wiv #HughEvans_Wiv #MasterFord_Wiv #MasterPage_Wiv #MistressFord_Wiv #MistressPage_Wiv #MistressQuickly_1H4 #Pistol_2H4 #Slender_Wiv
