source,target,n_lines,n_tokens,edge_type
#AnnePage_Wiv,1.01.0009,2,12,active
#AnnePage_Wiv,1.01.0010,3,14,active
#AnnePage_Wiv,1.01.0011,5,34,active
#AnnePage_Wiv,1.01.0012,2,11,active
#AnnePage_Wiv,3.04.0088,6,33,active
#AnnePage_Wiv,3.04.0089,8,49,active
#AnnePage_Wiv,3.04.0091,3,25,active
#AnnePage_Wiv,5.05.0147,1,7,active
#BOYS_Wiv,5.05.0143,10,59,active
#Bardolph_1H4,1.01.0003,6,35,active
#Bardolph_1H4,1.03.0015,1,11,active
#Bardolph_1H4,2.02.0048,5,29,active
#Bardolph_1H4,3.05.0095,1,2,active
#Bardolph_1H4,3.05.0097,3,11,active
#Bardolph_1H4,3.05.0098,1,3,active
#Bardolph_1H4,4.03.0119,4,32,active
#Bardolph_1H4,4.05.0126,7,45,active
#DoctorCaius_Wiv,1.04.0023,4,35,active
#DoctorCaius_Wiv,1.04.0024,2,19,active
#DoctorCaius_Wiv,1.04.0025,2,12,active
#DoctorCaius_Wiv,1.04.0026,7,49,active
#DoctorCaius_Wiv,1.04.0028,20,126,active
#DoctorCaius_Wiv,1.04.0029,9,76,active
#DoctorCaius_Wiv,2.03.0053,10,72,active
#DoctorCaius_Wiv,2.03.0054,15,98,active
#DoctorCaius_Wiv,2.03.0055,8,58,active
#DoctorCaius_Wiv,3.01.0060,9,59,active
#DoctorCaius_Wiv,3.01.0062,5,35,active
#DoctorCaius_Wiv,3.02.0066,2,15,active
#DoctorCaius_Wiv,3.02.0067,1,7,active
#DoctorCaius_Wiv,3.02.0069,2,7,active
#DoctorCaius_Wiv,3.03.0083,2,14,active
#DoctorCaius_Wiv,3.03.0085,2,16,active
#DoctorCaius_Wiv,3.03.0086,2,11,active
#DoctorCaius_Wiv,3.03.0087,1,9,active
#DoctorCaius_Wiv,4.05.0128,5,48,active
#DoctorCaius_Wiv,5.03.0136,1,8,active
#DoctorCaius_Wiv,5.05.0146,6,45,active
#Falstaff_1H4,1.01.0003,16,87,active
#Falstaff_1H4,1.01.0006,2,15,active
#Falstaff_1H4,1.03.0014,5,28,active
#Falstaff_1H4,1.03.0015,3,24,active
#Falstaff_1H4,1.03.0016,41,345,active
#Falstaff_1H4,2.02.0043,25,222,active
#Falstaff_1H4,2.02.0044,1,3,active
#Falstaff_1H4,2.02.0045,24,142,active
#Falstaff_1H4,2.02.0046,2,4,active
#Falstaff_1H4,2.02.0047,6,56,active
#Falstaff_1H4,2.02.0048,3,17,active
#Falstaff_1H4,2.02.0049,2,14,active
#Falstaff_1H4,2.02.0050,3,17,active
#Falstaff_1H4,2.02.0051,49,348,active
#Falstaff_1H4,3.03.0076,30,248,active
#Falstaff_1H4,3.03.0077,2,12,active
#Falstaff_1H4,3.03.0078,4,36,active
#Falstaff_1H4,3.05.0094,1,3,active
#Falstaff_1H4,3.05.0095,1,12,active
#Falstaff_1H4,3.05.0096,15,148,active
#Falstaff_1H4,3.05.0097,4,31,active
#Falstaff_1H4,3.05.0098,4,22,active
#Falstaff_1H4,3.05.0099,11,76,active
#Falstaff_1H4,3.05.0100,2,20,active
#Falstaff_1H4,3.05.0101,66,528,active
#Falstaff_1H4,4.02.0105,6,53,active
#Falstaff_1H4,4.02.0108,8,43,active
#Falstaff_1H4,4.05.0124,14,84,active
#Falstaff_1H4,4.05.0125,4,34,active
#Falstaff_1H4,4.05.0130,11,96,active
#Falstaff_1H4,4.05.0131,14,109,active
#Falstaff_1H4,5.01.0133,7,48,active
#Falstaff_1H4,5.01.0134,21,182,active
#Falstaff_1H4,5.05.0139,15,147,active
#Falstaff_1H4,5.05.0140,14,105,active
#Falstaff_1H4,5.05.0141,3,27,active
#Falstaff_1H4,5.05.0142,5,39,active
#Falstaff_1H4,5.05.0144,22,196,active
#Falstaff_1H4,5.05.0147,4,28,active
#Fenton_Wiv,1.04.0031,11,73,active
#Fenton_Wiv,3.04.0088,17,134,active
#Fenton_Wiv,3.04.0090,2,11,active
#Fenton_Wiv,3.04.0091,6,46,active
#Fenton_Wiv,3.04.0092,2,19,active
#Fenton_Wiv,4.06.0132,48,384,active
#Fenton_Wiv,5.05.0147,11,83,active
#Host_Wiv,1.03.0014,9,59,active
#Host_Wiv,2.01.0040,2,11,active
#Host_Wiv,2.01.0041,9,56,active
#Host_Wiv,2.03.0054,24,164,active
#Host_Wiv,2.03.0055,8,61,active
#Host_Wiv,3.01.0060,17,136,active
#Host_Wiv,3.02.0066,5,43,active
#Host_Wiv,3.02.0068,2,15,active
#Host_Wiv,4.03.0119,7,62,active
#Host_Wiv,4.05.0123,12,82,active
#Host_Wiv,4.05.0124,6,34,active
#Host_Wiv,4.05.0125,2,15,active
#Host_Wiv,4.05.0126,4,28,active
#Host_Wiv,4.05.0127,1,5,active
#Host_Wiv,4.05.0128,2,8,active
#Host_Wiv,4.05.0129,3,20,active
#Host_Wiv,4.06.0132,7,56,active
#HughEvans_Wiv,1.01.0001,38,318,active
#HughEvans_Wiv,1.01.0002,5,37,active
#HughEvans_Wiv,1.01.0003,15,122,active
#HughEvans_Wiv,1.01.0008,18,131,active
#HughEvans_Wiv,1.01.0009,2,11,active
#HughEvans_Wiv,1.02.0013,12,100,active
#HughEvans_Wiv,3.01.0056,6,39,active
#HughEvans_Wiv,3.01.0057,16,105,active
#HughEvans_Wiv,3.01.0058,5,29,active
#HughEvans_Wiv,3.01.0059,11,72,active
#HughEvans_Wiv,3.01.0060,10,68,active
#HughEvans_Wiv,3.01.0062,7,48,active
#HughEvans_Wiv,3.02.0069,2,7,active
#HughEvans_Wiv,3.03.0083,2,7,active
#HughEvans_Wiv,3.03.0085,6,52,active
#HughEvans_Wiv,3.03.0086,2,11,active
#HughEvans_Wiv,3.03.0087,4,22,active
#HughEvans_Wiv,4.01.0104,36,200,active
#HughEvans_Wiv,4.02.0113,2,11,active
#HughEvans_Wiv,4.02.0114,5,28,active
#HughEvans_Wiv,4.02.0117,3,30,active
#HughEvans_Wiv,4.04.0120,12,89,active
#HughEvans_Wiv,4.05.0127,9,69,active
#HughEvans_Wiv,5.04.0138,4,33,active
#HughEvans_Wiv,5.05.0142,12,92,active
#HughEvans_Wiv,5.05.0143,10,59,active
#HughEvans_Wiv,5.05.0144,10,59,active
#John_Wiv,3.03.0081,1,4,active
#John_Wiv,4.02.0112,1,9,active
#MasterFord_Wiv,2.01.0035,4,20,active
#MasterFord_Wiv,2.01.0036,1,9,active
#MasterFord_Wiv,2.01.0037,5,27,active
#MasterFord_Wiv,2.01.0039,9,70,active
#MasterFord_Wiv,2.01.0041,4,39,active
#MasterFord_Wiv,2.01.0042,7,72,active
#MasterFord_Wiv,2.02.0050,3,15,active
#MasterFord_Wiv,2.02.0051,84,653,active
#MasterFord_Wiv,2.02.0052,28,241,active
#MasterFord_Wiv,3.02.0064,7,43,active
#MasterFord_Wiv,3.02.0065,20,175,active
#MasterFord_Wiv,3.02.0066,7,59,active
#MasterFord_Wiv,3.02.0069,3,18,active
#MasterFord_Wiv,3.03.0081,7,57,active
#MasterFord_Wiv,3.03.0082,7,51,active
#MasterFord_Wiv,3.03.0085,11,77,active
#MasterFord_Wiv,3.03.0086,2,6,active
#MasterFord_Wiv,3.05.0101,15,78,active
#MasterFord_Wiv,3.05.0102,14,130,active
#MasterFord_Wiv,4.02.0113,10,72,active
#MasterFord_Wiv,4.02.0114,20,158,active
#MasterFord_Wiv,4.02.0115,9,76,active
#MasterFord_Wiv,4.02.0116,4,25,active
#MasterFord_Wiv,4.02.0117,5,33,active
#MasterFord_Wiv,4.04.0120,15,106,active
#MasterFord_Wiv,5.01.0134,2,14,active
#MasterFord_Wiv,5.05.0144,20,149,active
#MasterFord_Wiv,5.05.0146,1,9,active
#MasterFord_Wiv,5.05.0147,6,48,active
#MasterPage_Wiv,1.01.0002,10,63,active
#MasterPage_Wiv,1.01.0003,2,14,active
#MasterPage_Wiv,1.01.0004,2,9,active
#MasterPage_Wiv,1.01.0006,4,28,active
#MasterPage_Wiv,1.01.0012,5,23,active
#MasterPage_Wiv,2.01.0037,8,45,active
#MasterPage_Wiv,2.01.0039,11,90,active
#MasterPage_Wiv,2.01.0040,4,30,active
#MasterPage_Wiv,2.01.0041,4,22,active
#MasterPage_Wiv,2.03.0054,7,33,active
#MasterPage_Wiv,3.01.0059,14,81,active
#MasterPage_Wiv,3.01.0060,1,8,active
#MasterPage_Wiv,3.02.0066,12,95,active
#MasterPage_Wiv,3.02.0069,2,7,active
#MasterPage_Wiv,3.03.0082,2,10,active
#MasterPage_Wiv,3.03.0083,2,10,active
#MasterPage_Wiv,3.03.0085,4,30,active
#MasterPage_Wiv,3.03.0086,6,37,active
#MasterPage_Wiv,3.04.0090,8,59,active
#MasterPage_Wiv,4.02.0113,2,17,active
#MasterPage_Wiv,4.02.0114,3,13,active
#MasterPage_Wiv,4.02.0117,2,9,active
#MasterPage_Wiv,4.04.0120,22,162,active
#MasterPage_Wiv,5.02.0135,7,54,active
#MasterPage_Wiv,5.05.0144,8,68,active
#MasterPage_Wiv,5.05.0145,7,40,active
#MasterPage_Wiv,5.05.0147,6,37,active
#MistressFord_Wiv,2.01.0034,37,288,active
#MistressFord_Wiv,2.01.0037,4,22,active
#MistressFord_Wiv,2.01.0038,1,9,active
#MistressFord_Wiv,3.03.0070,2,10,active
#MistressFord_Wiv,3.03.0071,12,90,active
#MistressFord_Wiv,3.03.0073,3,17,active
#MistressFord_Wiv,3.03.0074,2,6,active
#MistressFord_Wiv,3.03.0075,3,19,active
#MistressFord_Wiv,3.03.0076,13,80,active
#MistressFord_Wiv,3.03.0077,2,9,active
#MistressFord_Wiv,3.03.0078,11,72,active
#MistressFord_Wiv,3.03.0079,1,4,active
#MistressFord_Wiv,3.03.0080,3,24,active
#MistressFord_Wiv,3.03.0081,2,16,active
#MistressFord_Wiv,3.03.0084,12,88,active
#MistressFord_Wiv,3.03.0085,3,15,active
#MistressFord_Wiv,4.02.0105,1,5,active
#MistressFord_Wiv,4.02.0106,1,6,active
#MistressFord_Wiv,4.02.0107,10,48,active
#MistressFord_Wiv,4.02.0108,12,82,active
#MistressFord_Wiv,4.02.0109,11,84,active
#MistressFord_Wiv,4.02.0111,3,26,active
#MistressFord_Wiv,4.02.0114,7,36,active
#MistressFord_Wiv,4.02.0115,6,39,active
#MistressFord_Wiv,4.02.0117,2,11,active
#MistressFord_Wiv,4.02.0118,10,70,active
#MistressFord_Wiv,4.04.0120,4,32,active
#MistressFord_Wiv,5.03.0137,6,34,active
#MistressFord_Wiv,5.05.0140,6,23,active
#MistressFord_Wiv,5.05.0144,3,28,active
#MistressPage_Wiv,2.01.0033,31,256,active
#MistressPage_Wiv,2.01.0034,40,312,active
#MistressPage_Wiv,2.01.0037,4,18,active
#MistressPage_Wiv,2.01.0038,5,30,active
#MistressPage_Wiv,3.02.0063,6,44,active
#MistressPage_Wiv,3.02.0064,11,75,active
#MistressPage_Wiv,3.03.0070,1,5,active
#MistressPage_Wiv,3.03.0071,4,16,active
#MistressPage_Wiv,3.03.0072,1,4,active
#MistressPage_Wiv,3.03.0073,5,37,active
#MistressPage_Wiv,3.03.0074,2,11,active
#MistressPage_Wiv,3.03.0078,36,265,active
#MistressPage_Wiv,3.03.0084,10,79,active
#MistressPage_Wiv,3.03.0085,4,10,active
#MistressPage_Wiv,3.04.0090,1,8,active
#MistressPage_Wiv,3.04.0091,7,57,active
#MistressPage_Wiv,4.01.0103,4,24,active
#MistressPage_Wiv,4.01.0104,15,84,active
#MistressPage_Wiv,4.02.0106,2,6,active
#MistressPage_Wiv,4.02.0107,27,194,active
#MistressPage_Wiv,4.02.0108,16,119,active
#MistressPage_Wiv,4.02.0109,7,46,active
#MistressPage_Wiv,4.02.0110,6,46,active
#MistressPage_Wiv,4.02.0116,2,8,active
#MistressPage_Wiv,4.02.0117,2,12,active
#MistressPage_Wiv,4.02.0118,14,114,active
#MistressPage_Wiv,4.04.0120,35,259,active
#MistressPage_Wiv,4.04.0121,2,12,active
#MistressPage_Wiv,4.04.0122,7,58,active
#MistressPage_Wiv,5.03.0136,6,41,active
#MistressPage_Wiv,5.03.0137,13,100,active
#MistressPage_Wiv,5.05.0140,2,5,active
#MistressPage_Wiv,5.05.0144,13,93,active
