node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#Hostess_Shr,#Sly_Shr,0,0,1,1,73,12,1
#HUNTSMEN_Shr,#Lord_Shr,0,0,1,3,48,6,3
#HUNTSMEN_Shr,#SERVANTS.LORD_Shr,0,0,1,3,48,6,3
#Lord_Shr,#SERVANTS.LORD_Shr,0,0,1,3,48,6,3
#Sly_Shr,#HUNTSMEN_Shr,0,0,1,3,48,6,3
#Sly_Shr,#Lord_Shr,0,0,1,3,48,6,3
#Sly_Shr,#SERVANTS.LORD_Shr,0,0,1,3,48,6,3
#HUNTSMEN_Shr,#HUNTSMEN.0.1_Shr,0,0,1,4,70,9,4
#HUNTSMEN_Shr,#Lord_Shr,1,0,1,4,70,9,4
#HUNTSMEN_Shr,#SERVANTS.LORD_Shr,1,0,1,4,70,9,4
#Lord_Shr,#HUNTSMEN.0.1_Shr,0,0,1,4,70,9,4
#Lord_Shr,#SERVANTS.LORD_Shr,1,0,1,4,70,9,4
#SERVANTS.LORD_Shr,#HUNTSMEN.0.1_Shr,0,0,1,4,70,9,4
#Sly_Shr,#HUNTSMEN.0.1_Shr,0,0,1,4,70,9,4
#Sly_Shr,#HUNTSMEN_Shr,1,0,1,4,70,9,4
#Sly_Shr,#Lord_Shr,1,0,1,4,70,9,4
#Sly_Shr,#SERVANTS.LORD_Shr,1,0,1,4,70,9,4
#HUNTSMEN_Shr,#Lord_Shr,2,0,1,5,10,2,5
#HUNTSMEN_Shr,#SERVANTS.LORD_Shr,2,0,1,5,10,2,5
#Lord_Shr,#SERVANTS.LORD_Shr,2,0,1,5,10,2,5
#Sly_Shr,#HUNTSMEN_Shr,2,0,1,5,10,2,5
#Sly_Shr,#Lord_Shr,2,0,1,5,10,2,5
#Sly_Shr,#SERVANTS.LORD_Shr,2,0,1,5,10,2,5
#HUNTSMEN_Shr,#HUNTSMEN.0.2_Shr,0,0,1,6,86,11,6
#HUNTSMEN_Shr,#Lord_Shr,3,0,1,6,86,11,6
#HUNTSMEN_Shr,#SERVANTS.LORD_Shr,3,0,1,6,86,11,6
#Lord_Shr,#HUNTSMEN.0.2_Shr,0,0,1,6,86,11,6
#Lord_Shr,#SERVANTS.LORD_Shr,3,0,1,6,86,11,6
#SERVANTS.LORD_Shr,#HUNTSMEN.0.2_Shr,0,0,1,6,86,11,6
#Sly_Shr,#HUNTSMEN.0.2_Shr,0,0,1,6,86,11,6
#Sly_Shr,#HUNTSMEN_Shr,3,0,1,6,86,11,6
#Sly_Shr,#Lord_Shr,3,0,1,6,86,11,6
#Sly_Shr,#SERVANTS.LORD_Shr,3,0,1,6,86,11,6
#HUNTSMEN.0.2_Shr,#HUNTSMEN.0.3_Shr,0,0,1,7,260,33,7
#HUNTSMEN_Shr,#HUNTSMEN.0.2_Shr,1,0,1,7,260,33,7
#HUNTSMEN_Shr,#HUNTSMEN.0.3_Shr,0,0,1,7,260,33,7
#HUNTSMEN_Shr,#Lord_Shr,4,0,1,7,260,33,7
#HUNTSMEN_Shr,#SERVANTS.LORD_Shr,4,0,1,7,260,33,7
#Lord_Shr,#HUNTSMEN.0.2_Shr,1,0,1,7,260,33,7
#Lord_Shr,#HUNTSMEN.0.3_Shr,0,0,1,7,260,33,7
#Lord_Shr,#SERVANTS.LORD_Shr,4,0,1,7,260,33,7
#SERVANTS.LORD_Shr,#HUNTSMEN.0.2_Shr,1,0,1,7,260,33,7
#SERVANTS.LORD_Shr,#HUNTSMEN.0.3_Shr,0,0,1,7,260,33,7
#Sly_Shr,#HUNTSMEN.0.2_Shr,1,0,1,7,260,33,7
#Sly_Shr,#HUNTSMEN.0.3_Shr,0,0,1,7,260,33,7
#Sly_Shr,#HUNTSMEN_Shr,4,0,1,7,260,33,7
#Sly_Shr,#Lord_Shr,4,0,1,7,260,33,7
#Sly_Shr,#SERVANTS.LORD_Shr,4,0,1,7,260,33,7
#HUNTSMEN.0.2_Shr,#HUNTSMEN.0.3_Shr,1,0,1,8,21,3,8
#Lord_Shr,#HUNTSMEN.0.2_Shr,2,0,1,8,21,3,8
#Lord_Shr,#HUNTSMEN.0.3_Shr,1,0,1,8,21,3,8
#Lord_Shr,#SERVANTS.LORD_Shr,5,0,1,8,21,3,8
